SOSR_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
SOSR501,..,2878,9059,1499,1349,1339,1342,931,456,697,19538,..,1978,7803,1884,1722,1755,2092,900,280,618,19021,..,24,88,61,89,171,381,275,224,145,1448,..,0,14,12,3,14,34,31,27,20,152,..,2002,7905,1954,1817,1938,2497,1199,527,783,20620,..,9,12,4,6,9,3,7,6,40,89,..,4883,16977,3456,3172,3281,3839,2139,984,1523,40251,5847,15127,7188,647,582,669,875,492,181,627,32222,2047,10268,8969,1992,2058,2655,3432,1532,184,479,33605,51,87,126,84,121,167,243,140,54,51,1100,5,28,18,0,4,3,6,0,0,12,73,2098,10374,9111,2073,2176,2824,3680,1668,237,537,34775,12,23,23,0,8,3,3,6,0,96,167,7954,25522,16317,2724,2761,3500,4557,2155,415,1258,67169,15421,10330,11645,1613,1537,1696,2066,954,377,876,46503,7054,13889,18606,4887,4510,5654,6700,2244,411,891,64847,151,570,1256,397,439,502,680,232,77,131,4440,6,25,26,6,8,15,12,0,0,19,106,7212,14482
SOSR511,..,96,205,27,33,28,29,13,10,27,475,..,33,142,30,35,26,45,12,3,19,355,..,0,0,0,0,0,3,4,7,0,16,..,0,0,0,0,0,0,0,0,0,3,..,33,145,30,35,29,47,21,8,19,376,..,0,0,0,0,0,0,0,0,0,0,..,129,353,64,71,58,75,36,16,42,851,111,366,165,9,8,8,15,8,12,15,730,14,146,130,20,20,12,18,20,3,9,384,0,0,0,0,3,0,8,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,147,130,20,21,14,26,22,3,9,398,0,0,0,0,0,0,0,0,0,7,5,130,520,295,29,36,19,37,32,14,26,1135,266,236,212,27,24,34,36,14,9,21,885,33,144,276,78,79,96,80,28,17,7,828,0,3,10,0,13,29,43,9,0,0,121,0,0,0,0,0,0,0,0,0,0,0,33,150
SOSR512,..,117,279,43,48,63,42,39,20,29,672,..,53,215,69,59,52,56,29,25,23,585,..,0,4,7,0,6,4,8,27,3,59,..,0,0,0,0,0,0,0,0,0,0,..,53,216,76,59,61,68,42,52,26,649,..,0,0,0,0,0,0,0,0,0,3,..,170,494,117,105,125,104,83,74,55,1326,135,382,227,15,19,25,41,7,10,20,883,19,228,215,48,43,45,51,15,12,0,683,0,0,10,7,0,3,11,0,6,0,37,0,0,0,0,0,0,0,0,0,0,5,20,233,221,57,44,51,59,22,16,0,722,0,0,0,0,0,0,0,0,0,14,12,156,613,450,70,66,71,104,30,30,34,1620,400,296,318,54,57,84,80,27,17,25,1365,64,255,466,96,98,139,185,77,33,12,1424,4,4,43,14,4,5,23,10,11,0,112,0,0,0,0,0,0,0,0,0,0,3,68,259
SOSR513,..,83,246,40,33,34,38,33,10,22,536,..,27,107,32,38,33,62,20,8,11,331,..,0,0,0,0,0,0,5,0,3,8,..,0,0,0,0,0,0,3,0,0,3,..,27,112,32,44,33,63,27,10,5,347,..,0,0,0,0,0,0,0,0,0,0,..,107,352,67,74,72,97,58,17,30,884,64,305,200,7,18,20,31,19,13,12,679,12,104,126,29,26,30,53,15,6,4,420,0,0,0,0,0,6,8,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,13,111,129,29,26,34,57,23,6,4,434,0,0,0,0,0,0,0,0,0,0,3,74,415,327,34,44,53,89,37,18,20,1117,389,346,390,56,36,48,91,27,11,30,1434,61,203,338,110,78,118,189,78,24,30,1227,5,4,9,4,6,11,18,8,0,0,67,0,0,0,0,0,0,0,0,0,0,0,63,205
SOSR514,..,21,58,11,10,11,10,13,5,5,141,..,6,32,11,4,4,6,0,3,0,77,..,0,0,0,0,5,4,5,0,3,8,..,0,0,0,0,0,0,0,0,0,0,..,6,32,11,4,7,8,6,5,8,87,..,0,0,0,0,0,0,0,0,0,0,..,25,89,25,16,14,18,16,8,11,226,21,63,36,0,4,3,5,3,0,5,142,0,23,12,4,3,8,10,5,0,0,72,0,0,0,0,0,0,3,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,23,16,4,3,8,13,7,0,12,91,0,0,0,0,0,0,0,0,0,0,3,18,86,51,4,10,10,20,9,3,22,237,90,52,100,34,12,25,39,4,4,13,375,5,34,99,19,33,45,63,24,5,0,334,0,0,6,3,0,4,7,0,0,26,44,0,0,0,0,0,0,0,0,0,0,4,9,41
SOSR515,..,57,151,26,39,33,34,25,9,40,413,..,23,80,41,35,33,54,22,12,13,313,..,0,0,4,3,3,9,3,3,6,32,..,0,0,0,0,0,0,0,0,0,4,..,23,77,47,39,38,64,22,13,12,345,..,0,0,0,0,0,3,0,0,0,6,..,82,230,69,73,71,102,45,24,61,766,75,224,100,7,15,6,22,9,10,21,488,16,127,118,29,20,33,47,29,20,14,451,0,4,0,0,0,4,4,3,4,0,23,0,0,0,0,0,0,0,0,0,0,0,16,128,118,29,22,40,53,30,21,18,475,0,0,0,0,0,0,0,0,0,0,4,90,353,222,34,32,48,76,41,30,43,966,334,274,268,47,40,52,65,32,19,36,1163,45,171,250,87,80,118,203,69,48,29,1111,4,12,21,8,13,26,32,13,5,0,124,3,0,0,0,0,0,0,6,0,0,10,52,178
SOSR521,..,16,45,10,16,10,7,4,3,12,133,..,9,20,9,9,7,6,19,0,0,84,..,0,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,3,..,9,23,9,9,7,12,19,3,4,94,..,0,0,0,0,0,0,0,0,5,5,..,22,70,24,30,16,20,21,13,19,225,34,52,29,0,0,11,9,3,3,8,144,3,33,26,12,7,8,11,5,10,4,111,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,3,3,33,21,13,7,8,11,5,16,6,122,0,0,0,0,0,0,0,0,0,0,5,40,84,51,16,8,17,24,6,13,14,271,112,71,98,21,17,22,27,7,0,16,389,19,45,86,25,14,40,59,20,22,12,341,4,0,4,0,4,15,14,9,9,0,52,0,0,0,0,0,0,0,0,0,0,4,22,44
SOSR522,..,6,19,5,9,6,0,5,0,0,51,..,0,4,3,0,0,8,6,0,0,24,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,4,3,0,0,8,6,0,0,24,..,0,0,0,0,0,0,0,0,0,0,..,6,29,11,7,0,9,6,0,0,72,14,32,17,7,7,10,7,0,0,6,97,3,6,5,3,0,5,6,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,0,5,8,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,17,41,19,6,3,20,15,0,0,6,132,53,35,57,17,8,10,23,8,3,12,211,0,18,32,8,10,25,29,10,0,0,125,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18
SOSR531,..,84,201,40,9,20,37,15,4,39,456,..,24,59,11,24,21,27,5,5,11,187,..,0,0,0,0,3,4,6,3,0,12,..,0,0,0,0,0,0,0,0,0,4,..,27,59,14,24,21,33,6,6,8,203,..,0,0,0,0,0,0,0,0,3,3,..,111,262,54,33,39,63,25,12,54,656,193,367,157,17,13,17,40,15,15,29,862,5,132,93,19,8,21,48,24,13,15,383,4,0,0,0,0,3,3,3,0,3,21,0,0,0,0,0,0,0,0,0,4,3,11,132,93,19,16,22,54,25,17,26,414,0,0,0,0,0,0,0,0,0,49,53,202,495,253,32,25,45,97,45,38,100,1332,523,327,371,64,45,89,121,29,17,67,1651,70,139,267,51,86,131,251,71,46,47,1145,0,3,12,0,4,24,30,16,9,5,111,0,0,0,0,0,0,3,0,0,5,11,77,145
SOSR579,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,7,3,7,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
