SOSR_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR501,446,444,1636,2583,3314,4835,8836,10967,6951,40010,94,232,1317,1854,2098,2162,1879,1542,1141,12309,4140,6346,17615,15600,13232,11130,10097,9509,7228,94894,52586,128109,295678,297739,263499,229502,182178,99453,39903,1588634
SOSR511,17,21,58,67,91,171,394,544,310,1683,5,0,27,19,27,44,30,32,24,207,177,220,644,564,584,569,516,375,281,3920,2025,3838,9325,9920,9794,9373,7665,4120,1522,57582
SOSR512,38,37,97,144,191,377,687,992,667,3237,3,19,71,78,95,79,73,62,66,533,477,510,1328,1287,1225,1192,994,837,546,8400,3445,6281,14681,15090,15685,15222,12588,7161,2923,93077
SOSR513,32,13,48,85,120,148,217,212,103,978,6,9,21,45,43,34,30,20,13,208,469,550,1682,1512,1278,926,425,275,120,7242,1944,3481,11393,11288,9044,6917,3592,1678,503,49852
SOSR514,11,20,45,29,41,67,163,184,109,666,0,3,11,9,4,4,18,8,5,58,135,114,308,350,357,271,254,234,159,2182,748,1144,3227,3973,3763,3468,3298,1623,567,21808
SOSR515,59,34,99,142,207,307,560,772,394,2569,3,15,67,55,79,68,71,65,41,466,583,583,1546,1480,1428,1257,1042,743,383,9041,2572,4478,11917,11847,11832,11800,9831,5082,1829,71188
SOSR521,41,37,65,72,105,176,346,357,184,1382,0,6,14,17,14,19,27,31,14,143,168,231,561,578,683,697,530,388,151,3975,1062,1740,4343,4472,4985,5560,4659,2344,754,29926
SOSR522,30,24,52,55,78,137,195,198,86,859,7,6,11,8,21,24,31,24,14,148,111,119,276,274,306,385,327,195,81,2075,750,1168,2554,2415,2604,3062,2656,1337,375,16922
SOSR531,53,37,149,168,302,477,960,965,355,3464,15,16,44,87,136,108,71,90,37,607,778,1179,2943,3001,3160,2879,1992,980,199,17114,4397,7715,17358,20796,25401,27120,19966,8076,1649,132476
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
SOSR599,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
