SED_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
SED50106,6573,3891,3842,3930,4579,4891,4326,2652,1087,35772,6,13,7,9,12,24,19,15,7,111,7,0,3,4,0,8,14,0,0,45,0,0,3,6,0,13,13,0,0,33,6,0,3,3,8,7,3,0,0,30,0,4,5,0,0,0,0,0,0,12,205,289,287,265,284,333,201,109,45,2024,0,5,0,0,0,0,3,0,0,9,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,299,304,280,296,366,245,112,45,2161,226,306,310,289,304,394,270,124,58,2272,0,8,17,6,0,11,8,3,4,56,6800,4206,4170,4217,4883,5293,4596,2786,1142,38102
SED50202,10901,5987,7448,6840,5562,5145,4032,2090,715,48725,19,11,12,13,8,7,12,10,0,98,0,0,4,3,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,10,0,0,0,6,3,0,3,0,0,9,0,0,0,0,0,3,0,0,0,5,173,198,175,149,151,111,89,68,44,1149,0,0,0,0,0,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,171,199,179,158,153,121,102,69,46,1200,194,211,196,170,160,125,114,81,47,1297,5,3,7,3,7,14,20,9,0,57,11097,6204,7649,7016,5735,5292,4166,2171,760,50085
SED50304,6812,4299,8508,7172,5147,4489,3679,2354,1068,43531,4,0,7,4,6,13,0,8,7,52,0,0,5,6,0,5,3,0,0,12,0,0,8,4,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,99,101,171,120,91,83,72,80,47,862,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,106,184,141,95,92,74,85,47,910,103,108,187,143,93,102,74,97,58,963,0,11,16,8,15,17,20,7,0,90,6913,4416,8711,7317,5252,4611,3781,2459,1126,44589
SED50405,14554,6659,8993,8637,6313,4343,2910,1509,317,54240,0,0,0,6,4,11,15,12,5,44,3,0,5,4,7,0,0,0,0,18,0,6,3,3,6,4,6,0,0,19,8,0,3,7,9,0,0,0,0,21,0,0,0,0,3,0,0,0,0,6,166,176,158,118,89,114,80,41,11,950,5,6,0,0,0,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,175,181,171,127,114,130,92,45,11,1048,174,186,175,133,115,140,104,50,14,1092,10,0,7,8,15,25,19,3,0,81,14744,6847,9172,8780,6439,4505,3032,1565,336,55420
SED50502,7959,4808,5712,5927,5316,5169,3866,1887,710,41359,10,5,15,8,9,9,11,4,3,67,0,0,0,7,0,4,0,0,0,16,0,4,0,0,0,0,4,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,134,149,137,101,103,68,53,33,17,782,0,0,0,0,0,4,3,0,0,4,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,132,153,134,112,106,85,64,39,17,842,147,163,151,114,114,88,75,46,19,910,4,0,10,8,13,21,20,4,0,82,8107,4976,5871,6055,5448,5274,3959,1939,728,42353
SED50605,7482,5387,4285,5594,5619,5395,4887,2680,1139,42458,0,0,0,0,0,5,6,4,3,26,0,7,5,3,9,6,0,4,0,28,3,3,0,4,5,7,0,0,0,26,0,0,0,0,0,6,0,0,0,9,0,0,0,3,0,4,0,0,0,3,78,115,114,79,70,82,66,32,23,658,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,90,127,126,94,86,100,80,37,21,759,90,129,126,94,90,103,82,43,24,777,24,9,18,36,24,29,37,13,3,188,7585,5525,4430,5719,5725,5533,5003,2732,1167,43421
SED50702,7638,5250,8934,7131,5464,4913,3639,1977,910,45857,12,0,19,7,7,10,10,9,3,80,0,4,14,13,20,8,4,0,0,72,0,4,16,14,20,30,12,0,0,97,0,8,20,32,29,26,11,0,0,121,0,3,16,21,36,16,6,0,0,98,186,297,390,344,393,309,152,81,16,2178,0,3,10,10,18,13,16,3,0,60,0,0,8,3,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,188,313,472,438,526,399,207,86,23,2660,194,319,488,448,528,416,217,97,28,2738,0,18,35,22,32,48,18,10,0,181,7835,5581,9458,7600,6024,5370,3882,2090,937,48776
SED50805,6809,4374,3843,4749,5404,4634,3654,2281,1349,37094,9,0,5,11,9,9,5,10,4,66,0,3,4,5,3,0,10,4,0,27,3,0,10,5,0,5,5,0,0,39,0,0,0,0,6,3,4,0,0,20,0,0,0,0,0,0,0,0,0,4,78,126,132,92,85,102,65,64,30,769,0,0,0,0,0,0,0,5,0,10,6,0,0,6,0,4,0,0,0,10,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,81,132,149,100,91,120,94,75,30,865,94,132,157,109,104,129,100,79,28,931,7,7,23,10,12,14,11,8,0,94,6915,4507,4021,4874,5520,4772,3761,2367,1381,38123
SED50906,7972,4811,5103,5341,5560,5095,4192,2310,952,41333,3,3,11,0,18,20,17,10,3,96,0,3,3,0,4,3,7,0,0,29,0,5,10,6,9,14,3,0,0,49,4,0,0,8,4,8,0,0,0,22,4,0,5,0,0,0,0,0,0,12,147,267,283,249,259,267,134,64,52,1715,0,0,0,0,0,3,3,0,0,13,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,155,272,297,268,273,297,161,64,53,1848,160,279,316,272,292,317,176,73,58,1943,3,8,19,10,9,9,4,0,0,60,8137,5098,5431,5616,5864,5419,4372,2389,1015,43336
SED51004,8851,6193,5276,5716,6910,5590,3056,1404,425,43426,9,10,3,3,12,11,8,4,5,63,0,6,0,0,3,3,0,0,0,10,0,5,4,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,107,118,139,68,58,54,45,9,8,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,120,143,71,61,59,55,14,8,636,115,129,146,73,75,67,60,21,10,704,12,14,9,11,8,10,11,0,0,76,8976,6334,5435,5804,6991,5674,3130,1431,434,44208
