SED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SED50106,927,1886,872,454,858,280,11,5293,557,1232,823,728,979,266,8,4596,337,580,407,414,859,180,3,2786,152,157,96,104,508,122,4,1142,6084,8978,4201,3209,6567,2217,52,31301
SED50202,924,1454,636,452,1501,307,14,5292,525,913,573,534,1385,221,20,4166,230,398,254,232,849,209,9,2171,82,89,44,46,355,144,0,760,7388,9575,3959,3613,11570,2830,54,38993
SED50304,852,1390,526,381,1230,216,17,4611,503,956,564,421,1150,164,20,3781,302,527,352,252,878,140,7,2459,140,205,88,42,579,74,0,1126,8215,10327,3754,2692,10643,1955,90,37678
SED50405,742,1373,637,424,1151,152,25,4505,356,725,424,365,986,149,19,3032,159,306,205,167,606,120,3,1565,41,52,25,13,146,55,0,336,8279,11148,4555,3850,10871,1899,76,40673
SED50502,905,1593,669,456,1428,210,21,5274,487,1040,595,440,1213,163,20,3959,232,384,227,218,752,115,4,1939,88,106,58,43,376,59,0,728,6951,9146,3728,2820,9842,1681,81,34248
SED50605,999,2036,934,534,860,138,29,5533,667,1498,973,693,1024,109,37,5003,340,677,489,363,788,69,13,2732,152,221,138,72,527,57,3,1167,8381,10542,4806,3354,7632,964,161,35834
SED50702,994,1509,594,421,1422,391,48,5370,485,994,567,397,1179,234,18,3882,253,415,239,187,808,179,10,2090,105,141,65,47,456,134,0,937,8452,10469,3739,2850,12031,3217,180,40938
SED50805,1001,1824,769,357,685,126,14,4772,524,1196,638,459,816,123,11,3761,282,570,347,260,756,145,8,2367,165,194,119,74,687,134,0,1381,7520,9820,3995,2605,6045,1142,84,31207
SED50906,962,1728,806,494,1122,292,9,5419,536,1074,779,525,1203,259,4,4372,280,495,332,314,799,161,0,2389,88,156,70,58,472,175,0,1015,6956,9507,4253,3225,8543,2655,56,35200
SED51004,1011,1966,767,483,1274,166,10,5674,417,826,517,369,896,86,11,3130,181,296,212,168,490,79,0,1431,53,63,28,15,226,49,0,434,8133,10064,4049,2867,8747,1306,65,35231
SED51104,843,1462,635,414,1238,191,13,4802,376,889,548,432,1031,138,6,3416,218,413,280,204,787,148,3,2051,74,107,60,37,399,82,0,749,8447,10960,4496,3798,11306,1986,104,41095
SED51205,796,1448,611,457,1373,212,38,4936,521,983,656,494,1235,161,35,4088,282,443,284,242,724,158,14,2134,82,128,58,43,364,102,7,771,7976,10034,4102,3411,14174,2555,161,42410
SED51304,936,1968,846,439,620,69,8,4888,688,1698,1126,698,954,89,8,5267,323,697,508,387,753,110,0,2782,100,148,82,48,421,45,0,848,7523,10438,5038,3149,5809,700,57,32721
SED51401,974,1637,817,652,1269,682,4,6031,661,1109,759,765,1346,517,3,5155,313,438,343,374,805,359,4,2636,101,116,69,51,414,146,0,895,5520,7530,3726,3492,7315,4209,38,31841
SED51504,997,1946,789,376,542,76,14,4744,535,1175,703,410,679,112,17,3630,283,598,440,308,657,104,11,2400,181,210,117,83,632,81,5,1306,8510,10600,4579,2893,7116,903,100,34706
SED51605,933,1536,641,428,1130,146,18,4836,424,818,479,372,901,127,25,3138,170,306,198,152,504,116,7,1449,64,65,38,30,201,61,0,451,8389,10454,4131,3199,9395,1369,92,37025
SED51706,893,1864,965,710,1081,271,12,5795,552,1160,855,837,1154,291,11,4852,269,475,379,390,770,243,0,2525,83,123,70,66,294,178,0,815,6365,9410,4669,4148,7375,2077,68,34107
SED51804,1142,2131,865,459,661,174,27,5460,744,1547,860,489,810,185,20,4662,485,835,558,352,792,180,7,3208,188,260,145,83,609,202,4,1497,9033,10713,4673,2980,6575,1518,163,35650
SED51902,880,1756,853,624,1005,207,12,5338,439,995,742,628,866,149,11,3833,180,329,307,283,555,94,3,1757,48,65,35,32,233,45,0,468,7286,10099,4545,4042,7725,1653,53,35413
SED52006,946,1804,876,587,1175,131,3,5521,668,1573,1117,950,1635,178,13,6140,414,781,570,544,1238,168,3,3730,114,153,82,95,536,107,0,1089,6056,8966,4417,3867,8540,1216,47,33107
SED52102,821,1469,646,447,1196,210,16,4798,434,887,619,482,1126,128,9,3679,195,419,248,233,667,105,0,1868,81,89,46,32,348,53,0,651,6695,8771,3701,3043,8966,1639,40,32864
SED52205,1137,2017,715,414,1072,349,27,5731,637,1333,740,447,1171,304,12,4639,286,552,323,247,847,259,3,2508,136,164,69,69,532,237,3,1206,8296,11039,4133,2724,8120,2754,190,37251
SED52301,768,1575,711,476,1077,380,8,4992,472,978,623,570,1073,332,3,4051,225,381,265,273,742,258,9,2160,83,109,67,56,378,146,5,840,5573,8253,3613,2990,7339,3132,46,30954
SED52404,991,1861,858,482,866,112,9,5169,540,1326,898,595,983,83,5,4435,232,430,309,243,577,83,4,1878,72,97,60,39,238,40,0,549,7404,10012,4554,3008,6722,894,41,32644
SED52505,966,1813,823,512,1044,157,49,5362,459,1075,716,542,965,99,64,3914,176,319,194,155,442,74,14,1374,41,74,30,19,156,35,4,358,9010,11939,5224,3950,10454,2264,172,43008
SED52604,1148,2123,927,481,1076,212,5,5978,541,1128,773,500,1015,158,4,4123,196,368,272,195,612,182,3,1826,83,87,50,28,345,151,3,740,7785,9683,4112,2661,7729,1589,54,33617
