SUA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5000,698,1279,1981,368,537,906,421,1362,1785,456,2255,2713,1543,5410,6951,1466,2970,4436,4557,2675,7230,3679,3233,6912,4121,3572,7697,4584,2933,7511,3103,2254,5348,3530,1989,5525,7254,3649,10904,5411,756,6164,4420,1232,5651,2663,393,3058,6521,2097,8613,8322,559,8876,1196,2974,4178,64313,42129,106443
5001,79,143,218,45,68,113,32,165,200,62,337,397,194,844,1040,213,621,836,712,347,1064,576,412,990,696,414,1110,797,252,1042,558,233,788,571,158,731,1167,255,1420,860,26,885,608,58,665,328,14,338,679,105,783,807,57,865,108,211,322,9075,4726,13804
5002,22,73,88,10,32,38,17,57,73,28,137,165,40,151,190,54,103,154,82,172,251,80,178,259,111,279,388,113,248,362,104,181,287,122,212,329,385,312,692,345,131,472,358,128,484,227,54,283,555,268,824,489,79,568,71,153,224,3201,2939,6138
5003,151,236,392,68,86,150,91,283,378,111,601,715,368,1427,1789,451,844,1299,1330,615,1943,1085,694,1777,1252,742,1997,1357,579,1934,1049,512,1561,1192,406,1593,2563,676,3237,1997,67,2062,1668,194,1866,933,39,969,2148,233,2383,2217,143,2366,178,331,509,20220,8702,28922
5004,101,118,223,53,52,101,55,172,220,50,301,355,198,730,928,207,565,779,745,377,1124,604,382,988,813,387,1198,834,295,1129,569,202,773,590,156,746,1273,278,1552,964,66,1033,732,96,830,454,33,486,1124,194,1319,1332,106,1441,119,216,335,10831,4727,15561
5005,25,46,67,13,24,40,20,65,84,21,109,128,58,268,333,52,159,208,170,110,280,145,122,271,179,147,324,202,105,309,145,70,214,177,65,245,397,122,522,266,21,288,236,35,272,108,10,118,296,60,350,396,24,420,45,103,149,2950,1669,4621
5006,111,139,249,39,57,94,61,189,247,57,337,396,173,725,900,203,474,682,618,348,962,519,396,909,536,406,937,625,325,945,528,235,763,516,228,746,1195,370,1563,969,41,1007,788,91,876,474,14,491,1007,109,1114,1206,77,1285,122,211,334,9737,4776,14511
5007,40,101,137,22,35,57,28,127,156,22,123,147,60,275,335,92,146,240,191,122,313,174,205,370,196,266,463,253,251,501,220,333,558,282,294,576,825,572,1393,759,49,809,795,169,966,526,35,560,1577,207,1785,721,85,805,111,301,414,6890,3698,10587
5008,12,28,43,7,8,16,4,21,21,7,28,41,16,41,62,16,32,49,23,53,74,28,69,94,53,99,154,63,113,175,81,148,232,132,171,303,373,337,710,327,36,364,452,137,587,317,26,345,1415,245,1664,435,45,473,23,138,163,3774,1792,5570
5009,5212,7624,12837,2073,2709,4781,2410,7111,9519,2757,13786,16545,7914,30956,38867,9445,20582,30029,26002,13702,39708,24307,17022,41329,29827,19899,49725,34357,16871,51230,27552,14858,42415,29484,11638,41129,66729,20697,87427,52918,2682,55605,46573,5614,52181,30513,1195,31709,96314,8398,104711,53266,5553,58822,4930,7384,12314,552581,228287,780874
5010,24,41,69,7,10,19,12,48,61,18,62,81,28,41,62,30,49,74,48,66,112,53,55,106,63,117,183,74,127,202,73,167,240,118,163,281,315,437,754,308,35,344,400,171,575,303,31,330,1041,265,1304,386,43,429,69,262,336,3367,2192,5557
