SA3_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
50101,19992,49588,1464,2396,354,682,1814,3083,78,141,0,0,20,33,0,0,33,73,130,242,226,397,312,564,110,146,23,62,672,1162,104,206,22716,54276,7343,..,30050,54276
50102,36694,92964,3421,5377,503,930,3921,6311,627,952,123,194,24,35,36,60,11,34,821,1270,381,569,220,318,128,148,42,83,770,1114,101,170,42309,101829,4999,..,47310,101829
50103,9413,21719,330,457,5,16,339,470,59,69,0,0,0,0,0,0,7,13,69,84,69,148,36,55,39,57,13,14,152,281,87,123,10060,22678,2366,..,12428,22678
50201,36786,90419,3937,6026,1163,1955,5097,7979,474,686,203,378,212,385,170,321,45,79,1105,1846,291,423,169,244,68,102,20,21,548,785,59,101,43597,101142,8308,..,51906,101142
50301,17833,51469,1730,3525,1879,3911,3613,7436,1304,2220,1541,2288,1599,2658,419,695,20,47,4879,7909,0,0,0,0,5,3,5,10,9,18,22,47,26355,66878,2894,..,29250,66878
50302,17913,47310,2924,5618,5169,10520,8095,16138,3576,5857,6059,9858,7806,12635,6272,10833,24,38,23728,39222,6,10,0,0,419,422,82,150,504,578,106,159,50349,103410,7562,..,57913,103410
50401,25455,64196,4457,8399,2286,4335,6744,12731,1622,2539,639,970,488,706,281,457,21,40,3057,4703,0,0,0,0,31,35,8,22,42,56,47,94,35348,81771,3578,..,38918,81771
50402,14984,38813,759,1134,47,81,811,1212,7,14,0,0,0,0,0,0,18,44,30,56,19,33,4,4,6,7,8,8,34,53,18,39,15867,40167,1154,..,17026,40167
50403,46653,132301,3725,6956,940,1736,4666,8697,396,622,375,582,110,181,63,91,69,129,1019,1612,105,170,173,244,408,427,27,57,709,889,111,216,53156,143725,3611,..,56766,143725
50501,52099,142750,3751,6603,1334,2723,5090,9325,495,713,495,795,522,863,0,0,88,166,1595,2534,100,147,10,16,116,113,23,53,251,342,48,84,59093,155029,3311,..,62402,155029
50502,50735,134174,22592,43387,6043,12847,28637,56237,4487,6971,873,1336,862,1414,176,319,46,92,6440,10127,73,145,28,55,46,61,8,10,153,274,78,135,86042,200944,7272,..,93316,200944
50503,67321,191273,4548,8296,745,1423,5296,9716,89,143,154,257,3,7,0,0,78,170,323,578,130,157,24,34,68,96,15,40,241,333,53,107,73237,202008,4548,..,77785,202008
50601,30340,85366,2960,5476,54,103,3014,5577,156,238,59,90,0,0,0,0,36,92,252,418,116,151,139,186,32,39,20,50,312,419,43,87,33956,91866,2329,..,36279,91866
50602,19511,48067,4403,8656,2909,5990,7313,14650,1356,2400,1304,2109,1584,2508,1459,2563,16,36,5721,9618,29,39,4,12,20,18,10,23,62,91,68,116,32679,72541,3900,..,36576,72541
50603,27873,78712,5236,11640,826,1978,6065,13621,1214,2376,146,241,332,538,115,179,46,107,1850,3443,27,38,0,0,12,14,19,67,62,121,71,125,35928,96018,2833,..,38761,96018
50604,39238,112849,3459,6673,525,1032,3983,7700,520,1007,278,483,0,0,0,0,56,122,855,1612,135,182,3,0,31,34,68,132,247,354,56,86,44372,122611,2725,..,47097,122611
50605,20462,54050,1015,1647,82,144,1093,1795,50,80,0,0,0,0,0,0,41,91,96,173,36,85,109,158,75,104,36,96,262,441,29,60,21938,56510,1374,..,23315,56510
50606,10308,30274,82,159,0,0,82,159,15,20,0,0,0,0,0,0,21,41,35,57,13,17,95,152,3,17,17,30,127,215,27,49,10578,30759,676,..,11250,30759
50607,8961,23947,2862,5095,3603,6938,6466,12033,971,1631,840,1281,621,1061,562,907,7,15,2996,4895,0,0,0,0,0,0,4,4,6,5,30,46,18452,40927,2401,..,20856,40927
50701,35563,97041,4294,7917,1017,2006,5316,9926,681,986,924,1411,1032,1676,308,473,72,148,3021,4699,15,18,272,402,47,56,5,5,328,483,44,71,44274,112209,3136,..,47413,112209
50702,10213,25839,1840,3390,1899,3625,3744,7014,473,684,777,1173,1439,2315,99,164,57,106,2849,4439,7,14,169,265,121,127,36,71,342,483,67,107,17214,37878,2039,..,19246,37878
50703,15129,41395,482,832,94,171,584,999,359,504,222,379,11,8,0,0,11,27,603,911,0,4,0,0,33,38,4,3,38,43,19,35,16373,43395,1242,..,17616,43395
50704,30739,84011,6096,11221,1355,3105,7447,14328,923,1402,428,639,639,1098,182,297,43,95,2220,3529,0,0,0,3,16,18,4,14,20,35,50,110,40478,102013,3328,..,43811,102013
50705,45323,121389,2258,3438,626,1014,2882,4453,1127,1612,208,301,318,481,34,54,39,100,1720,2542,177,272,113,167,42,44,54,82,392,566,64,130,50382,129085,4486,..,54871,129085
50901,22812,54627,1462,2347,132,205,1595,2549,79,106,0,6,0,0,0,0,27,47,100,160,245,398,201,295,167,188,21,29,634,909,107,203,25248,58445,5113,..,30362,58445
50902,21589,49894,648,1060,37,73,689,1134,104,159,0,0,0,0,5,4,10,7,109,175,328,542,116,192,82,131,45,79,572,944,205,360,23168,52506,7260,..,30428,52506
