SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50101,1056,464,573,671,694,671,546,269,106,5040,11086,4902,5567,7555,7704,7512,7165,3577,1317,56381
50102,1761,1118,1174,1157,1235,1062,798,491,301,9109,20660,11748,12095,13325,13864,13554,11082,5819,2126,104271
50103,411,202,188,258,347,357,298,190,39,2302,3966,2052,2058,2578,3128,3935,3509,1769,497,23485
50201,1679,970,806,867,982,870,812,669,451,8112,18841,10970,10293,11150,12292,13259,13743,8732,3054,102337
50301,699,691,473,482,519,522,461,386,278,4501,12632,11274,6741,7750,9844,8631,7282,4953,2251,71359
50302,936,1108,2153,1577,1348,1044,815,438,250,9680,15132,12433,24064,18658,13832,11808,9025,4554,2284,111791
50401,875,637,804,777,684,586,417,276,177,5237,13705,8783,13228,12556,10504,9420,7882,4533,1923,82535
50402,527,556,933,857,688,491,289,161,67,4557,7377,4866,4737,5303,5943,5854,4735,2587,828,42232
50403,2384,1418,1586,1545,1378,1045,675,336,190,10545,32392,18430,21932,21699,18520,15689,10253,4953,1674,145546
50501,1574,1091,920,1130,1274,1055,737,450,278,8508,29966,19135,15885,20835,22055,20790,17329,7740,2849,156583
50502,2365,1578,2189,2013,1651,1271,1019,740,404,13224,35540,22119,32688,30944,25407,21626,18002,11774,5416,203530
50503,3218,1843,1706,1823,1695,1193,772,429,166,12844,45828,26795,27902,29783,27356,20711,14273,7576,2571,202806
50601,1709,904,1014,978,801,610,371,235,131,6743,22012,10594,13720,15076,10646,9021,6873,3278,1023,92236
50602,918,826,1257,1028,871,666,384,240,147,6334,11584,8917,15407,12060,9087,7917,5728,2869,1279,74844
50603,931,867,970,768,655,533,369,401,373,5858,17646,14052,14986,13984,11632,9960,8151,4786,2184,97376
50604,1994,1381,1653,1571,1208,817,587,379,256,9846,26295,16183,17259,19420,15724,12590,9967,5071,1864,124367
50605,740,451,396,504,437,387,275,196,99,3492,11346,6677,6197,7748,7552,6896,5990,3511,1264,57181
50606,560,240,318,385,314,228,147,64,20,2278,8022,3625,4661,4557,3856,3223,2067,929,254,31182
50607,383,364,419,313,316,318,274,219,232,2823,6292,5959,6368,5629,5142,5007,4596,2467,1234,42695
50701,1413,954,1020,1013,922,697,524,327,182,7046,22522,13538,17009,17588,14958,12086,8861,4578,1772,112922
50702,449,382,492,481,518,423,328,236,222,3531,5947,4173,5175,5382,5483,5469,4398,2388,1131,39553
50703,826,613,935,843,568,307,180,79,22,4376,10369,5553,7507,7488,5470,3998,2640,1293,410,44736
50704,967,734,650,713,791,730,659,528,417,6185,18348,12945,10931,13447,13776,12960,11751,6826,3443,104437
50705,2417,1433,1455,1327,1199,912,612,497,341,10192,29349,16518,17549,17475,16928,14660,10422,6039,2055,131013
50901,1151,685,799,830,834,823,669,355,159,6309,11067,6237,6372,6929,7866,8840,7621,4249,1625,60802
50902,1113,733,944,947,1127,1163,920,503,160,7601,9245,5070,5736,6244,7572,9066,7965,3850,1145,55896
50903,485,263,268,309,332,355,249,157,50,2473,3470,1730,2071,2338,2690,3023,2445,1281,476,19530
51001,1850,922,1428,1243,1263,1261,895,303,60,9221,9392,4925,7595,6807,6321,7259,6307,1679,216,50507
51002,796,834,2598,2493,2170,1515,371,72,12,10853,5463,3338,8622,8146,6744,4983,1662,337,52,39342
51003,1189,907,2259,2305,2092,1560,574,119,13,11013,7393,3628,8114,8402,7073,5295,2429,598,41,42976
51101,413,239,274,260,328,285,191,128,31,2139,3083,1724,2019,2004,2293,2287,1702,1017,316,16439
51102,376,234,332,280,320,386,394,160,26,2502,2439,1240,2172,1952,2069,3058,3560,1241,156,17887
51103,1141,1119,2262,2018,1875,1469,588,136,35,10642,7898,5314,8468,7625,7142,6047,2932,919,231,46567
51104,1580,1099,1557,1552,1509,1369,971,479,158,10270,10411,6194,7350,7641,8320,8807,7416,3509,1122,60769
59797,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
