IARE_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
IARE501001,5,15,9,27,0,0,0,0,0,0,0,0,0,0,0,0,154,160,311,2746,2920,5662,542,612,1148,3438,3693,7126,164,174,339,2770,2955,5725,542,623,1160,3482,3749,7224,1328,1431,2757,4061,4215,8278,44,37,78,5432,5685,11115,167,211,379,4,6,13,0,0,0,178,219,391,13,8,21,504,683,1186,9,11,15,517,701,1219,4,7,11,0,0,0,0,0,0,4,7,11,159,203,362,4,6,13,0,0,0,166,214,380,4,5,9,46,127,174,0,4,4,49,134,186,808,997,1801,1398,1694,3089,26,19,44,2232,2713,4940,0,0,0,33,24,58,0,0,0,33,24,58,4,3,3,43,35,78,0,0,0,47,37,83,0,0,0,4,3,3,0,0,0,4,3,3,8,15,29,0,0,0,0,0,0,8,15,29,0,7,6,20,25,42,0,0,0,20,29,48,16,21,36,20,25,42,0,0,0,35,46,79,634,600,1233,2930
IARE501002,4,8,12,22,0,0,0,0,0,0,0,0,0,0,0,0,49,36,81,1101,1121,2216,128,106,236,1280,1257,2538,53,35,88,1103,1125,2220,131,112,247,1290,1271,2557,452,458,909,194,201,388,9,0,17,654,658,1313,185,210,403,0,7,5,0,0,0,191,218,402,0,0,0,29,24,57,0,0,0,29,26,56,8,11,18,0,0,0,0,0,0,8,11,18,170,187,360,0,7,5,0,0,0,170,192,360,0,0,0,4,4,6,0,0,0,4,3,8,479,514,984,88,99,179,7,0,15,569,611,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,4,3,8,131,120,247,132
IARE502001,0,7,4,12,0,0,0,0,0,0,0,0,0,0,0,0,15,23,43,723,674,1401,98,69,173,847,771,1615,13,29,50,738,685,1419,98,69,173,856,789,1640,345,423,775,1377,1170,2545,20,17,36,1746,1607,3362,18,10,28,0,0,0,0,0,0,18,10,28,0,0,0,285,308,595,8,3,13,293,315,611,0,0,0,0,0,0,0,0,0,0,0,0,17,10,29,0,0,0,0,0,0,17,10,29,0,3,3,53,51,107,0,0,0,53,53,106,175,260,440,791,731,1526,24,13,32,986,1006,1994,0,0,0,17,13,26,0,0,0,17,13,26,0,0,0,22,16,37,0,0,4,24,10,37,0,0,0,3,0,4,0,0,0,3,0,4,13,5,16,0,0,0,0,0,0,13,5,16,0,0,0,3,9,17,0,0,0,8,14,13,17,9,19,3,9,17,0,0,0,19,14,31,166,155,323,755
IARE502002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,38,845,315,1165,692,187,880,1572,513,2085,29,13,40,845,315,1169,698,186,889,1577,514,2094,94,71,165,392,254,639,0,0,6,482,320,806,5,11,12,0,0,0,0,0,0,8,9,16,6,0,0,30,18,50,0,0,0,36,21,56,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,0,0,0,0,0,0,8,9,16,0,0,0,0,12,10,0,0,0,4,12,11,39,40,83,191,125,312,0,0,0,229,161,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,3,0,3,7,0,0,0,3,6,9,46,38,85,212
IARE502003,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,17,34,750,726,1474,128,114,237,887,859,1747,16,17,33,761,737,1500,131,113,240,908,869,1780,144,155,295,2281,2051,4334,32,25,57,2461,2227,4695,11,9,16,0,0,0,0,0,0,10,9,16,0,0,3,63,77,141,0,0,4,63,82,149,4,0,0,0,0,0,0,0,0,4,0,0,7,4,13,0,0,0,0,0,0,6,4,16,0,0,4,21,26,45,0,0,0,21,27,47,67,66,133,1143,1188,2332,23,17,36,1228,1269,2502,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,10,7,20,0,0,0,10,14,21,3,4,12,10,7,20,0,0,0,14,11,25,84,75,160,1099
IARE502004,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,159,149,312,901,877,1773,198,158,360,1257,1186,2442,165,157,320,934,906,1841,204,159,366,1300,1223,2525,1508,1695,3200,14092,14452,28535,97,94,190,15694,16231,31927,75,80,159,3,4,4,0,0,0,75,85,163,11,11,23,1252,1479,2727,3,3,13,1272,1499,2765,0,0,5,0,0,0,0,0,0,0,0,5,67,82,151,3,4,4,0,0,0,69,84,152,0,4,4,104,226,334,5,5,7,113,234,343,678,852,1536,7092,8467,15565,55,60,113,7831,9376,17212,0,0,0,92,73,169,0,0,0,92,73,169,3,4,8,261,290,558,0,0,0,268,294,565,0,0,0,3,10,12,0,0,0,3,10,12,0,3,10,0,0,0,0,0,0,0,3,10,4,4,7,62,76,141,0,0,0,67,78,146,4,7,11,62,76,141,0,0,0,67,85,151,906,935,1837,7483
IARE502005,5,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,14,14,23,669,413,1081,362,141,501,1041,564,1609,12,14,24,685,427,1111,362,141,501,1059,580,1644,156,189,349,3042,2830,5868,30,25,54,3223,3042,6274,3,0,7,0,0,0,0,0,0,3,0,4,0,0,0,88,91,185,0,0,0,88,94,182,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,4,0,0,0,7,34,43,0,0,0,7,34,43,50,71,125,1383,1510,2891,14,14,25,1445,1593,3037,0,0,0,6,9,10,0,0,0,6,9,10,0,0,0,6,13,15,0,0,0,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,21,0,0,0,6,13,21,0,0,0,6,13,21,0,0,0,6,17,15,96,114,206,1661
IARE502006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,36,608,186,793,328,80,400,959,275,1235,27,10,43,607,186,798,329,76,409,965,278,1247,151,170,317,281,119,398,10,6,10,432,300,731,44,39,79,0,0,0,0,0,0,44,39,79,0,0,0,60,36,94,0,0,3,59,36,98,9,4,8,0,0,0,0,0,0,9,4,8,32,33,69,0,0,0,0,0,0,32,33,69,0,0,0,7,5,7,0,0,0,7,5,7,67,74,136,150,79,224,0,0,5,216,152,370,0,0,0,6,0,3,0,0,0,6,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,5,4,3,0,0,0,3,0,4,0,0,0,3,0,4,5,4,3,3,0,4,0,0,0,6,4,13,95,112,202,163
IARE502007,4,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,11,15,34,1710,1574,3289,260,242,500,1986,1830,3816,18,16,33,1729,1590,3311,260,242,500,2002,1844,3848,105,77,180,516,506,1021,5,4,5,626,588,1214,13,0,20,0,0,0,0,0,0,13,0,20,0,0,3,54,72,121,0,5,5,52,75,128,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20,0,0,0,0,0,0,13,0,20,0,0,0,7,15,24,0,0,0,7,21,26,36,18,54,209,231,445,0,3,3,249,258,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,3,0,4,73,52,127,340
IARE503001,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,65,63,127,920,454,1372,240,78,320,1231,593,1822,65,67,133,944,483,1429,241,86,325,1258,637,1888,299,311,617,6496,6352,12843,49,61,113,6842,6724,13572,16,9,25,0,6,0,0,0,0,16,14,32,4,3,8,322,378,696,4,4,9,328,381,711,0,0,0,0,0,0,0,0,0,0,0,0,16,9,25,0,6,0,0,0,0,16,14,32,0,0,0,36,62,100,0,0,0,36,69,101,114,122,237,2659,2984,5642,28,33,62,2795,3146,5940,0,0,0,8,6,16,0,0,0,8,4,20,0,0,0,12,14,24,0,0,0,12,15,29,0,0,0,3,5,8,0,0,0,3,5,8,3,3,7,0,0,0,0,0,0,3,3,9,0,0,0,14,20,38,0,0,0,14,20,38,3,3,7,14,26,39,0,0,0,18,26,44,206,199,405,3929
IARE503002,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,15,50,905,275,1172,708,173,874,1637,462,2098,37,19,56,905,274,1178,706,171,875,1646,467,2110,182,183,363,1522,1197,2726,28,30,58,1728,1410,3137,10,23,32,0,0,0,0,0,0,10,23,32,6,0,3,102,111,209,0,4,4,105,117,222,0,0,0,0,0,0,0,0,0,0,0,0,10,17,29,0,0,0,0,0,0,10,17,29,0,0,0,16,29,45,0,0,0,17,29,46,77,98,181,605,545,1150,11,11,18,696,656,1353,0,0,0,10,0,11,0,0,0,10,0,11,0,0,0,6,10,15,0,0,0,6,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,21,0,0,0,12,9,17,0,0,0,9,9,21,0,0,0,12,9,17,104,96,204,937
IARE503003,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,112,97,215,976,506,1481,503,195,697,1596,800,2398,124,103,225,1003,522,1523,503,195,706,1628,827,2452,843,803,1644,10678,9741,20411,64,43,104,11579,10579,22162,71,85,152,6,4,7,0,0,0,74,87,157,10,7,18,1773,1770,3537,5,5,18,1788,1786,3570,3,5,9,0,0,0,0,0,0,3,5,6,61,83,142,6,4,7,0,0,0,63,80,153,0,0,3,110,195,305,0,6,6,118,199,317,356,408,761,5108,5341,10445,41,26,69,5506,5777,11282,0,0,0,197,171,378,0,0,0,197,173,375,0,0,0,162,106,274,0,0,0,162,111,276,0,0,0,3,0,7,0,0,0,3,0,6,0,0,5,0,0,0,0,0,0,0,5,4,0,3,4,72,90,159,0,0,0,73,89,166,5,5,7,72,90,164,0,0,0,76,89,169,555,480,1035,6507
IARE503004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,84,1070,266,1339,1139,203,1343,2248,513,2761,47,52,96,1097,272,1372,1158,214,1370,2303,534,2838,93,66,160,374,163,539,5,4,6,469,236,701,393,450,838,0,0,0,0,0,3,391,449,844,6,7,7,48,20,68,0,0,0,56,25,75,27,25,51,0,0,0,0,0,0,27,25,51,357,421,777,0,0,0,0,0,3,356,422,777,0,0,0,6,0,7,0,0,0,6,0,7,177,173,353,161,73,235,0,0,4,343,251,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,52,58,113,0,0,0,0,0,0,52,58,113,0,0,0,3,0,3,0,0,0,3,0,3,52,58,113,3,0,3,0,0,0,56,58,111,153,186,339,234
IARE503005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37,87,1271,305,1577,1223,252,1476,2543,596,3139,49,35,87,1276,308,1584,1226,258,1484,2555,604,3156,73,61,138,649,387,1035,4,4,5,727,456,1182,49,72,118,3,0,3,0,0,0,51,72,124,0,3,4,93,50,151,0,0,0,94,53,149,4,5,4,0,0,0,0,0,0,4,5,4,45,68,112,3,0,3,0,0,0,47,68,115,0,0,0,10,10,19,0,0,0,10,10,19,52,75,125,251,163,413,0,0,3,300,235,541,0,0,0,7,5,9,0,0,0,7,5,9,0,0,0,17,7,19,0,0,0,17,7,19,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,7,3,11,0,0,0,7,3,11,3,0,3,7,3,11,0,0,0,11,3,12,68,62,129,441
IARE503006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,14,12,28,0,0,3,19,19,38,3,8,11,14,12,28,0,0,3,24,21,40,9,4,16,34,26,52,0,0,0,37,27,65,190,220,403,0,0,0,0,0,0,190,220,403,0,0,3,4,8,7,0,0,0,6,7,10,13,12,28,0,0,0,0,0,0,13,12,28,174,196,372,0,0,0,0,0,0,174,196,372,0,0,0,0,0,0,0,0,0,0,0,0,105,106,216,11,12,20,0,0,0,113,117,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,58,0,0,0,0,0,0,26,31,58,0,0,0,0,0,0,0,0,0,0,0,0,26,31,58,0,0,0,0,0,0,26,31,58,72,77,150,21
IARE503007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,24,349,94,444,279,51,330,640,160,799,14,15,27,353,94,449,278,51,331,643,165,808,14,13,27,137,55,195,0,0,0,157,73,223,50,53,97,0,0,0,0,0,0,50,53,97,0,0,0,16,11,32,0,0,0,16,15,31,0,0,4,0,0,0,0,0,0,0,0,4,47,49,93,0,0,0,0,0,0,47,49,93,0,0,0,0,0,3,0,0,0,0,0,3,12,21,34,68,39,100,0,0,0,81,59,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,81,86
IARE504001,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,31,9,36,582,459,1043,66,19,82,677,485,1164,30,9,44,582,459,1043,76,22,99,687,493,1177,103,109,209,91,66,156,0,0,0,197,177,366,174,178,353,0,0,0,0,0,0,177,178,353,0,0,0,8,13,21,0,0,0,15,13,27,10,6,16,0,0,0,0,0,0,10,6,16,169,165,331,0,0,0,0,0,0,171,165,336,0,0,0,0,4,4,0,0,0,0,4,4,192,185,383,30,28,57,0,0,0,225,212,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,24,56,0,0,0,0,0,0,28,24,56,0,0,0,0,0,0,0,0,0,3,0,4,31,24,57,0,0,0,0,0,0,33,24,57,42,55,95,53
IARE504002,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,35,13,50,298,303,601,67,47,109,397,363,766,40,26,67,303,303,600,67,46,120,415,377,789,46,35,81,54,62,114,3,0,3,108,102,204,395,399,788,0,0,0,0,0,0,394,402,794,4,0,4,7,6,11,0,0,0,7,6,15,28,27,60,0,0,0,0,0,0,28,26,57,350,356,706,0,0,0,0,0,0,350,360,707,0,0,0,0,0,0,0,0,0,0,0,0,346,349,699,29,40,70,0,0,0,379,388,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,33,0,0,0,0,0,0,20,17,33,0,0,0,0,0,0,0,0,0,0,0,0,20,17,33,0,0,0,0,0,0,20,17,33,52,44,95,31
IARE504003,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,18,35,150,109,252,69,34,105,227,162,389,19,27,52,152,108,258,67,42,108,239,179,421,358,393,748,110,96,205,18,18,34,486,512,994,140,178,312,3,0,3,0,0,0,135,182,317,3,3,6,32,33,65,0,0,6,36,41,78,16,14,27,0,0,0,0,0,0,16,14,27,110,155,271,3,0,3,0,0,0,115,155,272,0,0,0,3,6,9,0,0,0,3,6,9,314,394,705,69,67,131,16,13,26,391,477,870,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,5,0,5,4,8,8,0,0,0,0,0,0,6,8,11,141,139,275,74
IARE504004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,117,88,201,13,17,26,135,111,245,6,12,19,117,88,201,13,17,26,135,114,246,25,29,55,29,12,47,4,0,3,62,43,107,120,112,237,0,0,0,0,0,0,125,112,237,3,3,4,4,0,4,0,0,0,0,6,6,11,3,13,0,0,0,0,0,0,11,3,13,107,100,207,0,0,0,0,0,0,109,100,211,0,0,0,0,0,0,0,0,0,0,0,0,110,91,195,15,8,27,4,0,3,127,100,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,42,0,0,0,0,0,0,19,21,42,0,0,0,0,0,3,0,0,0,0,0,3,19,21,42,0,0,3,0,0,0,20,26,45,17,26,42,13
IARE504005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,12,23,7,0,0,16,15,29,4,3,6,7,12,23,4,0,9,18,20,37,134,136,271,10,13,19,0,0,0,145,146,295,25,27,51,0,0,0,0,0,0,25,27,51,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,16,27,45,0,0,0,0,0,0,16,27,45,0,0,0,0,0,0,0,0,0,0,0,0,162,166,328,3,6,8,0,0,0,165,174,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,8,4,0,0,0,4
IARE504006,0,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,43,40,81,643,673,1323,49,70,121,739,788,1521,50,44,90,660,691,1349,46,71,120,758,809,1568,436,551,988,1149,1106,2252,20,25,51,1600,1690,3289,93,107,207,0,4,4,0,0,0,93,115,211,12,9,28,156,212,360,3,0,3,173,220,389,0,0,0,0,0,0,0,0,0,0,0,0,93,105,198,0,4,4,0,0,0,93,109,200,3,0,3,13,36,53,0,0,0,15,36,51,239,356,593,406,506,914,3,7,14,653,874,1522,0,0,0,18,12,28,0,0,0,18,12,28,0,0,0,10,12,21,0,0,0,10,12,21,0,0,0,0,5,3,0,0,0,0,5,3,8,15,23,0,0,0,0,0,0,8,15,23,0,0,3,7,4,13,0,0,0,7,8,17,11,8,26,7,4,13,0,0,0,15,18,36,278,269,546,811
IARE504007,0,5,8,11,0,0,0,0,0,0,0,0,0,0,0,0,31,13,43,522,359,879,134,52,182,690,422,1110,31,13,43,522,359,879,137,51,187,685,425,1117,89,90,177,348,342,689,7,5,16,446,434,881,20,22,46,0,0,0,0,0,4,22,24,48,0,0,0,36,26,59,0,0,0,36,26,59,6,4,7,0,0,0,0,0,0,6,4,7,17,21,41,0,0,0,0,0,4,16,24,43,0,0,0,0,3,0,0,0,0,0,3,0,59,62,125,139,153,288,6,0,9,205,219,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,18,0,0,0,0,0,0,11,13,18,0,0,0,0,0,5,0,0,0,0,0,5,11,13,18,0,0,5,0,0,0,10,7,24,33,21,56,232
IARE504008,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,13,20,90,52,141,58,26,86,157,90,252,6,12,24,94,52,143,58,26,86,164,97,253,177,200,384,101,76,181,0,0,0,280,279,558,20,25,46,0,0,3,0,4,4,25,29,51,0,0,3,10,0,17,0,0,0,10,6,18,0,0,0,0,0,0,0,0,0,0,0,0,20,25,46,0,0,3,0,4,4,25,29,51,0,0,0,4,0,5,0,0,0,4,0,5,98,111,204,35,32,66,0,0,0,130,140,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,10,20,0,0,0,0,4,4,8,11,23,0,0,0,0,0,0,0,0,0,0,0,0,8,10,20,0,0,0,0,4,4,8,11,23,84,105,186,71
