SA4_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
501,2232,2635,2718,5355,3813,3722,7537,5577,5445,11021,405,484,890,575,597,1167,817,840,1660,414,416,826,569,615,1188,768,798,1567,336,397,735,535,547,1086,734,730,1460,326,399,729,492,476,962,602,615,1213,328,369,695,426,508,933,595,630,1222,1814,2067,3884,2588,2743,5334,3510,3616,7127,1331,1643,2972,1568,1953,3516,2139,2381,4526,891,1561,2453,1274,2039,3317,1602,2381,3986,78957,79148,158106,87176,89149,176328,93269,95483,188747
502,1661,2256,2163,4420,2708,2803,5507,3666,3793,7461,365,385,755,481,483,960,586,602,1189,326,398,722,452,457,911,572,609,1182,331,311,641,419,457,879,537,564,1100,286,284,571,431,422,849,498,524,1020,272,282,557,358,401,761,480,498,979,1592,1654,3245,2145,2218,4357,2665,2793,5461,1111,1267,2381,1310,1524,2837,1836,1951,3783,693,1044,1731,1031,1384,2418,1301,1794,3095,40868,42426,83294,47152,49589,96738,51979,55660,107641
503,1510,2184,2344,4532,2868,2836,5702,3763,3939,7705,350,430,784,433,514,947,634,648,1285,333,431,766,444,428,868,554,556,1113,303,354,662,405,463,861,539,584,1130,323,374,701,340,475,811,468,508,978,272,387,659,360,418,778,492,520,1008,1583,1983,3570,1974,2299,4268,2689,2823,5513,1264,1857,3116,1342,1851,3190,1751,2098,3852,1126,2485,3611,1347,2613,3958,1644,2769,4406,77731,78619,156350,83609,85694,169299,90025,92241,182267
504,2227,3009,3284,6289,3833,4067,7902,5193,5627,10821,504,540,1037,614,673,1293,836,899,1737,483,525,1010,628,610,1238,768,812,1579,458,503,959,526,626,1153,704,730,1434,417,472,887,500,586,1088,593,673,1270,341,402,751,443,513,951,588,670,1255,2204,2436,4638,2714,3007,5719,3494,3786,7274,1493,1945,3441,1764,2100,3862,2277,2689,4967,1078,2007,3089,1407,2366,3766,1725,2763,4488,110308,109592,219894,125600,125416,251020,138101,138478,276573
505,4815,6397,7136,13531,7931,8797,16725,11405,12669,24073,1041,1277,2320,1197,1499,2698,1714,1939,3655,997,1160,2154,1244,1489,2727,1625,1890,3514,893,1109,1998,1201,1316,2515,1612,1793,3402,866,1118,1983,1122,1314,2431,1356,1520,2879,876,1091,1968,966,1254,2215,1327,1574,2902,4672,5756,10427,5730,6867,12596,7642,8714,16350,3403,4624,8027,3841,5170,9010,4931,6382,11314,2544,4770,7311,3243,5580,8827,4162,6762,10928,238244,244707,482951,263604,271511,535114,283068,294235,577297
506,4076,5832,6435,12266,7179,7574,14753,10040,10674,20707,928,1101,2030,1175,1323,2500,1530,1581,3108,877,1062,1946,1071,1289,2361,1419,1468,2894,769,1010,1777,1016,1197,2214,1293,1492,2781,759,942,1706,968,1128,2089,1147,1314,2463,701,956,1656,922,1050,1975,1156,1232,2388,4036,5076,9112,5147,5987,11143,6544,7097,13641,3015,4132,7141,3244,4359,7604,4249,5334,9583,2253,4531,6781,2904,5175,8080,3540,5616,9154,217065,216565,433627,244963,243388,488357,264141,265325,529466
507,3567,4929,5492,10425,6343,6667,13005,8589,9472,18058,894,1030,1927,1018,1196,2213,1373,1428,2802,852,937,1793,940,1069,2007,1307,1404,2715,750,912,1663,964,1101,2063,1285,1338,2621,714,877,1598,861,1046,1907,1043,1205,2243,675,849,1517,818,944,1768,1086,1144,2227,3884,4609,8491,4609,5355,9960,6092,6523,12613,2831,3859,6689,3290,4173,7462,3935,4814,8744,1999,3729,5732,2740,4854,7598,3417,5338,8752,174089,178656,352746,198610,204729,403336,217864,225539,443407
509,1708,2748,2578,5325,3446,3259,6708,4591,4143,8732,505,399,911,601,517,1120,700,654,1350,431,401,829,516,540,1054,649,588,1236,336,356,687,480,517,996,609,576,1181,351,389,741,467,476,945,514,520,1032,318,329,645,414,387,800,529,523,1049,1945,1875,3816,2478,2436,4913,2996,2861,5854,1299,1444,2743,1525,1638,3166,1894,1974,3867,842,1394,2240,1188,1657,2841,1416,1888,3308,65910,63530,129439,69060,66291,135356,69616,67561,137175
510,199,410,276,692,536,387,928,649,548,1195,58,49,105,57,63,125,82,77,161,43,28,68,77,46,128,81,54,138,36,26,61,49,32,77,64,59,121,41,21,60,47,41,85,54,52,103,30,28,51,31,28,62,46,51,98,199,162,358,257,214,469,326,291,619,124,122,241,110,124,231,179,153,332,81,83,163,80,100,186,91,113,204,55390,39295,94682,53307,40614,93920,48124,41999,90128
511,970,1741,1472,3212,2085,1859,3947,2759,2369,5131,274,231,505,317,272,584,374,364,741,226,244,465,280,301,581,384,349,732,219,232,450,277,258,536,362,359,722,206,211,412,254,242,503,290,305,595,159,205,370,238,234,470,351,297,652,1083,1124,2206,1367,1311,2678,1765,1672,3442,762,751,1507,793,888,1682,1050,1056,2106,406,694,1097,610,796,1408,734,1015,1749,62950,57413,120363,61395,57172,118568,61579,57177,118758
