RA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
RA50,7,5,52,398,2097,1798,9168,10318,1739,1247,1182,1496,537,167,493,30697,194,93,168,369,2243,660,568,510,60,61,62,54,29,5,97,5187,67,138,444,1463,2388,2312,4601,1786,348,383,374,417,310,51,242,15328,19,85,417,1598,3565,5085,16302,6742,898,726,857,963,515,267,417,38466,48,79,187,375,826,828,2362,1994,257,248,286,681,298,26,110,8615,0,0,3,17,239,358,675,1161,153,149,202,289,59,15,69,3394,4,4,40,195,739,826,2734,1758,429,344,359,379,201,71,233,8326,2191,6478,35488,28168,29586,19187,44404,22916,2151,1764,1751,1903,1093,396,4013,201480,29,82,447,789,971,1077,1981,1402,284,273,312,413,334,135,215,8743,5,0,25,1643,4649,2739,2817,2147,506,515,438,588,313,77,636,17109,847,1394,6749,7454,11263,14274,32444,18273,4019,3797,4228,5554,2357,535,2175,115366,6407,20102,59330,59281,90675,78992,196914,128023,20336,18400,20492,25573,11883,3388,14975,754765
RA51,0,0,0,26,113,105,638,682,142,107,103,124,53,12,58,2163,29,7,9,13,89,17,18,22,0,0,0,0,4,0,9,217,5,14,29,39,46,40,75,27,4,3,10,11,9,0,18,315,0,5,47,131,261,333,1305,566,62,77,46,79,35,17,64,3027,5,9,3,0,13,18,36,40,10,10,3,11,0,5,21,184,0,0,0,0,7,4,33,85,14,20,44,75,22,0,8,312,0,0,0,14,29,34,149,73,20,11,25,36,21,0,21,441,339,953,4702,3214,2492,1465,3036,1253,119,66,93,136,69,19,719,18671,4,10,76,141,103,73,153,80,25,15,11,28,10,6,17,734,0,0,0,16,25,40,74,69,14,11,14,14,8,4,96,384,86,127,467,442,499,429,1139,588,99,111,120,195,104,69,386,4879,841,2103,6315,5450,5653,3972,9510,5595,783,704,785,1068,479,216,2284,45758
RA52,0,0,0,32,134,126,721,722,150,113,140,200,60,29,51,2482,9,8,9,16,35,13,9,7,3,3,0,3,0,0,9,120,0,4,20,39,23,17,35,9,3,4,0,4,0,0,5,173,4,13,42,60,118,163,876,418,31,65,68,92,57,17,38,2058,3,12,4,7,7,11,39,22,9,9,8,11,3,0,0,150,0,0,0,0,0,3,13,34,4,6,39,43,13,0,3,162,0,0,5,8,17,60,200,153,59,33,29,26,12,9,21,636,283,765,3281,2017,1195,661,1140,512,57,46,64,74,30,12,428,10552,5,9,45,84,66,64,105,64,11,10,10,17,13,0,12,497,0,0,0,18,32,35,35,60,18,9,12,20,19,5,30,283,55,106,348,287,358,265,963,565,138,134,156,207,118,190,135,4023,606,1655,4479,3500,3402,2579,6538,4305,722,666,847,1046,496,366,1210,32418
RA53,0,0,0,12,59,52,330,558,114,78,96,105,42,4,30,1484,6,0,0,0,11,4,10,7,0,0,0,0,0,0,0,43,0,3,10,20,24,15,25,0,0,0,12,8,0,0,3,124,0,0,13,20,37,89,438,129,9,10,21,46,17,11,13,857,0,0,5,0,3,8,44,38,9,3,6,20,4,0,0,141,0,0,0,4,0,0,10,37,0,4,0,11,0,0,0,73,0,0,0,6,19,28,97,103,20,16,17,32,14,0,9,365,43,155,722,444,394,220,546,287,24,35,33,54,18,5,123,3099,0,0,4,17,14,26,47,37,3,12,11,15,0,0,5,188,0,0,0,4,4,7,20,34,5,12,6,11,6,4,3,117,11,30,102,106,127,136,497,313,60,82,82,157,73,16,71,1861,106,337,1045,1012,1312,1143,3484,2644,430,402,470,772,310,104,451,14022
RA54,0,0,0,6,34,24,155,210,40,33,39,44,14,11,31,643,0,0,3,0,5,0,10,0,0,0,4,0,0,0,0,24,0,0,9,8,3,7,14,11,0,3,0,0,0,0,0,57,0,0,0,8,24,46,175,67,4,9,9,19,23,9,12,411,0,0,0,0,3,3,18,15,7,4,3,5,5,0,0,58,0,0,0,0,0,0,10,28,3,0,10,5,0,0,0,60,0,0,0,3,6,20,54,42,13,26,19,18,5,4,13,227,11,74,387,228,197,178,361,171,23,16,35,56,15,8,80,1837,0,3,11,14,8,23,18,18,4,9,14,11,8,13,5,148,0,0,0,0,58,28,39,28,5,4,4,0,0,0,7,178,5,25,80,55,123,112,344,278,49,50,87,207,85,48,49,1603,34,177,619,536,882,850,2134,1581,271,286,404,625,237,133,337,9100
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,3,0,0,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,3,0,0,25,0,0,4,7,14,19,46,20,0,5,6,8,3,0,16,148
RA59,0,0,0,0,0,0,6,12,0,0,0,0,0,0,8,35,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,18,3,0,4,0,0,0,9,6,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,7,80,51,48,38,43,27,8,4,14,31,16,12,53,431,0,4,0,0,3,4,4,4,0,0,0,10,5,3,4,43,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,11,0,0,8,8,20,8,30,13,12,10,16,57,23,12,44,258,7,25,109,106,143,110,179,110,28,22,56,166,79,92,210,1431
