RA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
RA50,684,1267,5693,11250,2377,19090,2579,12878,835,56651,3772,13219,15431,20164,9917,15004,6006,11596,1636,96750,20950,66209,39733,28286,26294,13855,15692,18112,4220,233351,34484,69124,36209,24354,29534,10978,15886,15540,3951,240054,34223,52699,29619,22117,30009,11335,15125,15079,3324,213535,22742,34747,20969,15770,24835,9474,13254,12835,2218,156854,6056,10655,4984,3544,6915,3054,3497,3951,747,43396,835,1299,376,235,673,362,259,534,263,4848,53,65,16,8,44,23,9,35,88,347,123791,249280,153037,125733,130606,83179,72304,90560,17292,1045782
RA51,85,64,1074,1285,229,2142,257,1753,143,7026,294,539,1949,1196,595,830,613,1357,124,7483,1452,2736,4286,1991,1628,1101,1563,2463,278,17509,2694,4053,4425,2384,2402,1216,2113,2340,401,22040,3457,4114,4142,2727,3020,1478,2681,2467,439,24546,2883,3175,3097,2178,2621,1316,2520,2239,305,20324,1335,971,702,439,692,415,686,679,122,6040,344,85,47,28,71,40,42,99,54,815,51,3,3,3,0,3,0,7,16,87,12587,15733,19721,12230,11257,8545,10485,13414,1888,105860
RA52,86,71,912,851,182,1485,217,1304,116,5224,285,593,1527,868,499,664,554,1085,102,6176,1405,2589,3209,1653,1459,887,1460,1948,211,14820,2587,2912,2692,1786,1792,890,1573,1747,224,16200,3255,2886,2653,2058,2078,1055,2058,1919,298,18255,3155,2376,2215,1760,2005,993,2181,1992,285,16965,1814,733,576,412,618,297,652,674,125,5902,536,75,52,33,75,43,56,130,72,1057,64,8,0,0,0,0,0,10,13,103,13190,12232,13825,9417,8715,6313,8756,10813,1442,84694
RA53,38,31,376,289,130,552,112,493,61,2074,183,273,664,363,304,233,301,451,55,2819,1140,1761,2098,930,1046,469,863,1011,172,9502,1821,1679,2074,952,1213,400,954,915,230,10236,1918,1169,1447,794,999,411,1012,799,177,8729,1697,839,889,527,721,341,972,761,136,6879,715,213,204,146,217,84,265,226,42,2115,206,20,8,12,16,13,15,45,20,352,15,0,0,0,0,0,0,0,7,31,7741,5988,7762,4010,4635,2515,4488,4703,903,42735
RA54,16,31,119,138,53,163,54,224,31,835,69,243,345,257,168,103,267,383,55,1886,510,1157,1390,791,523,219,918,824,160,6491,777,789,1247,598,552,167,924,515,127,5709,837,607,867,473,446,163,978,538,129,5033,726,513,579,379,387,167,766,449,85,4053,259,142,117,82,98,52,185,128,37,1108,66,8,10,9,15,6,17,11,15,158,5,0,0,0,0,0,0,0,6,19,3258,3489,4684,2724,2238,1051,4114,3087,643,25289
RA55,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
RA59,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
