LGA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA50080,2215,3027,2726,2475,1845,1636,1203,2223,251,17599
LGA50210,4253,7912,7445,5586,5741,3575,4604,4526,809,44453
LGA50250,288,379,961,269,284,112,1022,415,100,3828
LGA50280,1310,1489,1431,961,692,689,478,1133,111,8297
LGA50350,978,2114,1188,914,1080,613,467,629,115,8098
LGA50420,4391,9796,4914,4261,4805,2685,2152,2982,572,36553
LGA50490,2302,4690,3432,2625,2818,1639,1988,2064,413,21968
LGA50560,170,74,74,57,60,31,76,92,17,651
LGA50630,97,79,149,55,76,25,190,76,15,759
LGA50770,278,79,89,48,79,43,72,104,13,807
LGA50840,380,332,380,253,197,151,268,264,41,2261
LGA50910,126,33,33,37,38,21,29,61,6,395
LGA50980,1088,1808,1004,1139,997,552,401,725,174,7893
LGA51080,210,46,37,33,36,8,30,61,10,466
LGA51120,151,34,44,37,34,14,49,44,0,411
LGA51190,1322,2525,2482,1779,1582,1281,1373,2063,236,14644
LGA51260,2498,3157,3399,2326,1874,1805,1277,2326,309,18958
LGA51310,2887,6444,904,1225,1581,948,253,547,200,14988
LGA51330,4632,12439,6382,6100,5659,3757,3434,4788,854,48045
LGA51400,955,1641,1627,1095,1006,717,846,1041,127,9068
LGA51470,69,20,31,19,25,16,29,41,0,252
LGA51540,448,282,275,278,269,186,170,328,52,2279
LGA51610,161,103,125,62,97,46,82,63,7,747
LGA51680,441,328,596,288,375,171,335,306,51,2893
LGA51710,100,97,143,123,92,14,80,105,16,771
LGA51750,1027,2324,259,533,535,371,78,183,74,5382
LGA51820,7197,14180,10505,7236,8308,4847,4178,5419,1039,62912
LGA51860,37,34,40,39,21,12,11,46,0,239
LGA51890,230,296,790,397,291,252,560,529,79,3420
LGA51960,82,114,291,109,127,69,405,129,33,1359
LGA52030,132,31,50,22,45,17,60,54,7,426
LGA52100,188,40,51,43,57,33,44,62,11,527
LGA52170,822,1844,189,364,374,282,55,111,83,4120
LGA52240,218,31,32,36,41,8,46,95,15,525
LGA52310,108,42,46,34,50,26,35,75,3,419
LGA52380,15,6,21,3,4,3,43,12,6,111
LGA52450,148,48,86,50,58,43,52,80,11,580
LGA52520,239,79,80,31,75,33,63,63,10,671
LGA52590,330,186,229,115,155,91,187,254,25,1571
LGA52660,707,934,1330,793,832,655,816,844,117,7025
LGA52730,503,528,397,277,228,179,131,310,45,2592
LGA52800,236,462,202,435,215,83,95,207,64,2001
LGA52870,485,385,463,273,252,155,320,373,53,2774
LGA52940,129,23,31,28,29,6,31,35,0,318
LGA53010,127,27,33,27,26,11,13,41,4,312
LGA53080,38,35,33,34,25,21,30,41,0,262
LGA53150,772,1509,318,408,408,290,78,188,43,4016
LGA53220,313,528,1366,307,305,144,1239,562,97,4859
LGA53290,1166,811,978,567,714,515,775,820,153,6504
LGA53360,226,256,322,231,198,131,76,236,43,1733
LGA53430,2481,6213,1824,1907,1509,955,520,920,238,16569
LGA53570,481,215,371,158,244,115,296,547,63,2487
LGA53640,208,44,81,21,49,26,57,99,10,610
LGA53710,129,44,62,41,49,17,52,50,8,440
LGA53780,4848,9817,9809,7286,7434,4916,6217,6947,1116,58391
LGA53800,1878,3032,3012,2421,2036,1618,1645,2043,282,17963
LGA53920,110,161,86,176,54,26,37,84,48,786
LGA53990,1314,1797,2670,1461,1485,1030,1550,1933,246,13484
LGA54060,211,172,282,140,137,118,156,210,42,1465
LGA54130,241,49,68,26,48,17,46,90,4,589
LGA54170,11428,21153,12693,9590,11672,6794,3570,5652,1187,83741
LGA54200,3443,5442,5011,3138,4186,2198,2690,2378,491,28979
LGA54280,1386,2246,3390,1414,1687,994,2545,1372,265,15298
LGA54310,1183,1631,2850,1029,1252,604,1216,1128,239,11129
LGA54340,241,207,272,181,180,141,111,447,37,1816
LGA54410,103,49,61,59,34,31,44,79,11,472
LGA54480,125,20,12,12,15,5,32,42,6,258
LGA54550,340,89,100,65,71,42,79,165,16,967
LGA54620,174,24,44,38,40,19,43,60,12,459
LGA54690,72,9,14,16,15,8,26,24,3,193
LGA54760,175,42,31,20,28,15,33,51,6,404
LGA54830,1679,3181,3915,2829,2613,1791,2465,2575,340,21377
LGA54900,304,57,71,40,61,38,71,81,23,744
LGA54970,47,66,106,41,30,4,180,41,7,518
LGA55040,62,52,138,62,69,17,165,97,16,669
LGA55110,3489,5215,6739,5061,3765,3438,3937,3895,632,36163
LGA55180,886,463,568,427,401,320,389,812,73,4339
LGA55250,75,60,85,47,38,18,87,60,12,483
LGA55320,7912,17167,5352,5008,6802,4135,1728,2908,734,51746
LGA55390,15,30,60,7,14,0,90,24,3,247
LGA55460,258,165,222,155,151,112,173,148,34,1414
LGA55530,83,13,14,14,9,9,20,20,3,184
LGA55600,267,115,144,106,110,58,113,144,16,1078
LGA55670,95,32,17,26,20,12,19,28,3,249
LGA55740,836,1733,278,482,424,321,99,235,65,4486
LGA55810,25,26,27,12,16,7,29,28,6,179
LGA55880,116,13,23,14,18,3,22,36,3,249
LGA55950,112,29,33,13,21,11,28,20,7,270
LGA56090,2355,3891,3161,2079,2385,1445,1375,1410,358,18464
LGA56160,21,0,3,4,0,0,0,9,4,40
LGA56230,777,787,1553,874,698,610,1055,879,141,7368
LGA56300,151,80,83,54,57,23,52,119,8,617
LGA56370,146,34,36,20,26,16,22,53,4,362
LGA56460,339,336,323,258,221,160,162,282,31,2119
LGA56580,2036,4989,484,937,1059,671,154,364,158,10851
LGA56620,38,86,7,35,22,0,6,22,5,221
LGA56730,573,579,739,571,545,415,465,605,88,4577
LGA56790,308,138,142,136,109,78,127,233,33,1306
LGA56860,37,7,10,12,10,3,13,12,0,98
LGA56930,184,280,28,78,65,51,10,21,17,737
LGA57000,119,25,32,18,25,3,57,35,4,308
LGA57080,2254,6138,1527,2092,1775,986,550,1124,249,16702
LGA57140,112,41,53,38,35,19,29,59,10,391
LGA57210,523,257,287,219,221,143,205,401,55,2308
LGA57280,731,1020,1938,650,871,431,1161,774,202,7782
LGA57350,107,25,27,34,24,17,27,35,0,296
LGA57420,219,99,166,66,93,40,182,112,34,997
LGA57490,6050,8990,12233,9169,7292,5361,6046,6742,1145,63025
LGA57630,10,0,3,5,3,0,8,8,5,44
LGA57700,1696,2025,3232,1913,2205,1211,1879,1555,341,16059
LGA57770,67,51,76,61,46,30,36,84,14,475
LGA57840,3507,8629,1962,2356,2709,1645,724,1194,355,23079
LGA57910,15355,33757,14326,13749,14362,9265,5796,9717,1899,118218
LGA57980,1407,4465,496,749,885,530,143,368,112,9155
LGA58050,7728,11444,13081,10196,10309,6710,7723,7943,1405,76545
LGA58190,61,10,11,17,15,9,10,21,0,161
LGA58260,86,15,29,28,24,4,30,21,12,242
LGA58330,271,266,329,218,228,123,249,182,41,1904
LGA58400,50,7,15,13,13,3,16,7,0,125
LGA58470,23,17,0,5,0,0,0,11,0,56
LGA58510,2581,6424,2383,2392,2418,1340,1034,1521,316,20410
LGA58540,161,30,45,21,25,23,43,59,7,412
LGA58570,3450,8789,1989,2189,2362,1300,588,1064,281,22010
LGA58610,162,73,100,74,67,49,70,124,16,734
LGA58680,79,17,23,10,18,6,46,36,3,242
LGA58760,10829,17222,18242,13956,13906,9406,8149,11056,1827,104601
LGA58820,192,144,407,174,152,105,286,236,51,1750
LGA58890,196,32,31,17,21,10,28,43,0,378
LGA59030,51,5,9,0,15,6,10,12,5,115
LGA59100,132,20,30,22,19,13,25,46,4,322
LGA59170,195,56,54,31,38,23,54,84,8,537
LGA59250,27,20,40,17,11,3,36,36,8,196
LGA59310,167,66,95,49,62,52,70,85,10,648
LGA59320,89,16,16,14,18,11,19,25,3,210
LGA59330,68,26,20,17,33,5,15,31,3,208
LGA59340,492,647,399,472,387,157,201,358,82,3198
LGA59350,14,9,24,7,8,0,39,14,0,120
LGA59360,155,27,107,32,52,16,138,78,14,620
LGA59370,249,193,215,164,152,97,136,162,29,1408
LGA59499,107,257,272,223,150,77,213,292,33,1614
LGA59799,9,33,83,9,10,0,31,98,6,277
