LGA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
LGA50080,0,0,0,0,6,0,0,4,0,13,0,19,30,56,53,26,19,11,7,225,0,0,6,6,0,0,8,0,0,21,0,0,0,0,0,0,0,0,0,9,0,17,27,9,0,0,0,0,0,53,0,0,0,7,0,0,0,0,0,8,0,0,9,3,4,16,14,11,3,63,0,0,4,8,6,3,0,0,0,25,0,0,0,0,0,9,11,3,3,33,0,0,4,13,14,12,17,3,0,49,0,15,28,68,34,35,36,27,12,250,30,99,107,277,140,173,152,85,50,1114,982,2489,2175,4205,2342,2574,2429,1340,498,19033,0,0,0,0,0,0,0,0,0,0,911,2148,1664,3146,1905,1947,1701,929,411,14762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,6,18,6,11,3,0,0,71
LGA50210,3,35,45,150,57,54,38,5,4,395,9,37,120,277,166,117,42,13,3,780,0,40,38,185,85,32,11,4,0,400,0,0,0,25,0,0,0,0,0,35,3,52,69,34,0,0,0,0,0,161,0,0,0,0,8,6,0,0,0,16,5,13,7,27,29,23,29,12,0,127,0,3,0,19,12,12,4,0,0,47,0,3,0,19,22,22,15,6,4,90,0,19,63,102,86,17,17,0,0,303,7,115,159,550,202,172,112,70,10,1397,135,341,287,844,361,282,140,111,52,2554,3850,7481,5390,14416,5572,4577,3306,1589,426,46604,0,4,23,54,14,10,0,0,0,104,3436,5747,3618,7633,2700,2076,1739,653,202,27807,0,4,4,34,5,5,0,0,0,45,0,0,4,9,0,0,0,0,0,16,0,0,0,17,3,6,0,0,0,29,0,0,0,15,4,4,4,0,0,30,3,3,9,34,6,17,5,0,0,90
LGA50250,0,0,0,4,4,0,0,0,0,3,0,0,4,21,10,0,0,0,0,34,0,0,0,10,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,3,0,6,3,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,6,0,0,0,11,11,0,0,0,0,20,0,0,0,46,10,10,3,0,0,77,44,75,93,401,153,115,23,7,0,918,330,569,357,1754,661,482,106,30,3,4297,0,0,0,0,0,0,0,0,0,0,285,399,176,714,202,132,49,17,0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,13
LGA50280,0,3,0,0,0,0,0,0,0,6,0,6,5,25,19,21,10,6,3,83,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,10,18,12,18,3,0,69,0,0,0,10,0,0,0,0,0,15,0,0,0,5,6,4,7,3,0,23,0,0,0,7,6,6,9,3,0,31,5,3,21,89,29,25,18,5,0,187,36,105,55,229,168,85,85,31,12,804,523,1243,703,2078,1301,1068,975,379,120,8388,0,0,0,0,0,0,0,0,0,0,413,1012,471,1417,758,718,603,223,111,5717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,6,7,0,0,53
LGA50350,0,0,0,8,4,0,0,5,0,20,0,0,3,29,13,6,0,0,0,54,0,0,0,16,0,4,4,0,0,28,0,0,0,3,0,0,0,0,0,3,0,7,5,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,5,0,0,3,14,6,4,3,0,0,33,0,3,7,10,14,5,6,6,0,51,0,0,0,7,3,0,4,0,0,12,0,0,0,10,3,3,0,0,0,15,0,9,15,61,31,23,24,17,5,193,21,40,46,160,63,46,47,30,10,469,532,939,847,2260,1067,933,736,364,120,7797,0,0,0,0,0,0,0,0,0,0,450,767,617,1495,738,582,460,233,126,5459,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,8,3,0,4,16,0,0,0,3,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,4,0,0,0,9,6,0,0,0,0,20
LGA50420,0,5,3,59,31,46,41,15,0,206,0,16,35,124,51,60,53,8,3,366,0,9,17,104,25,21,17,15,0,207,0,7,3,39,5,3,0,0,0,60,0,10,24,29,8,4,0,0,0,80,0,3,3,24,10,7,4,0,0,51,9,5,10,51,21,23,13,0,0,130,0,27,51,219,160,223,113,44,24,856,0,0,0,26,7,16,11,8,0,72,0,3,15,34,21,11,8,4,0,89,8,79,119,561,213,177,136,107,29,1431,60,133,153,581,208,197,130,110,67,1636,2077,3657,3752,11154,4345,3875,3113,1813,594,34387,0,0,0,19,7,0,0,0,0,29,1884,2857,2662,5617,2372,1867,1547,822,407,20032,0,0,0,25,0,7,3,0,0,32,0,0,0,41,14,24,28,5,6,107,0,5,4,76,6,3,0,0,0,99,0,0,0,16,10,12,0,0,0,42,0,9,3,46,18,8,4,4,3,101
LGA50490,0,3,13,75,25,33,31,7,7,188,0,12,16,71,39,27,14,4,0,184,0,4,14,110,21,14,19,3,0,188,0,0,7,64,5,3,0,0,0,76,0,8,10,39,12,3,7,0,0,72,0,0,0,18,7,5,0,0,0,38,0,9,5,18,7,10,4,3,0,60,0,0,16,71,30,17,25,7,0,163,0,0,0,3,3,8,7,3,5,34,0,7,10,53,13,15,0,0,0,99,14,107,113,521,130,88,47,41,17,1076,54,122,166,588,222,167,107,66,48,1542,1251,2162,2506,7801,2647,2329,1555,832,328,21413,0,6,13,44,15,5,4,0,0,82,1110,1551,1532,2971,1121,1017,865,464,241,10882,0,19,12,79,5,3,0,0,0,121,0,0,0,7,0,0,3,0,0,19,0,0,0,49,7,3,0,0,0,64,0,0,3,8,3,4,0,0,0,16,0,4,0,30,7,3,7,0,0,43
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,6,5,0,0,10,7,9,15,25,17,11,17,12,4,122,39,59,57,145,111,144,187,95,31,858,0,0,0,0,0,0,0,0,0,0,27,62,45,93,75,99,108,44,17,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,12,4,13,6,24,21,15,8,9,0,98,70,137,57,189,130,136,109,43,11,885,0,0,0,0,0,0,0,0,0,0,51,104,56,136,77,87,66,26,7,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,5,20,3,16,17,27,14,7,0,118,56,133,67,154,129,155,125,83,17,917,0,0,0,0,0,0,0,0,0,0,53,102,68,150,79,90,86,43,9,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50840,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,0,0,7,0,0,14,0,0,0,4,0,11,7,3,0,37,5,21,14,42,45,39,45,24,6,238,117,337,189,445,346,424,465,216,43,2587,0,0,0,0,0,0,0,0,0,0,102,270,195,351,247,290,264,116,29,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,10
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,4,4,8,4,11,7,9,0,5,59,34,48,33,81,73,75,76,40,19,474,0,0,0,0,0,0,0,0,0,0,21,45,29,61,58,42,44,39,20,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50980,0,0,0,0,0,0,0,0,0,10,0,0,4,19,10,8,5,0,0,49,0,0,0,11,3,0,0,0,0,14,0,0,0,7,0,0,0,0,0,7,0,0,3,4,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,14,4,4,0,0,4,27,0,3,0,3,0,0,0,0,0,8,0,0,0,4,0,6,0,0,0,11,0,0,3,7,4,6,0,0,0,20,0,0,6,78,18,14,7,0,0,129,74,171,133,324,187,153,71,23,9,1142,633,1418,905,2501,1194,903,512,149,37,8255,0,0,0,0,0,0,0,0,0,0,528,1135,768,1973,770,609,295,90,17,6183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,25
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,9,12,9,7,3,3,0,59,32,75,48,115,69,95,59,31,4,526,0,0,0,0,0,0,0,0,0,0,20,76,36,101,45,56,29,15,5,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,4,7,9,12,14,21,9,0,78,31,60,51,103,59,70,90,27,8,503,0,0,0,0,0,0,0,0,0,0,24,57,26,75,50,47,49,27,8,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51190,0,0,0,4,5,3,3,0,0,15,0,11,22,49,30,36,12,13,4,164,0,0,0,11,0,3,0,0,0,18,0,0,0,34,0,0,0,0,0,31,0,4,5,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,10,13,0,0,46,0,0,0,7,9,3,5,0,0,24,0,0,0,11,3,7,11,4,0,33,0,5,8,10,11,9,12,0,0,51,8,16,13,66,38,44,22,14,4,230,40,107,88,314,154,134,113,50,33,1029,864,1958,1757,4194,2097,2138,1847,997,344,16194,0,0,0,0,0,0,0,0,0,0,772,1572,1483,2793,1563,1609,1420,778,390,12387,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,5,19,6,3,0,0,3,32
LGA51260,0,0,0,3,3,0,0,0,0,16,0,17,18,59,57,35,35,8,7,231,0,7,0,10,7,0,0,0,0,24,0,0,0,8,0,0,0,0,0,8,0,3,3,4,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,6,0,14,7,14,6,12,17,8,0,76,0,3,3,9,9,0,0,0,0,29,0,0,0,13,3,8,17,3,0,46,0,0,0,10,10,9,8,0,0,42,0,13,9,51,52,39,45,38,15,253,41,108,81,372,218,174,154,114,43,1295,1003,2868,1926,4259,2649,2518,2673,1447,404,19752,0,0,5,7,5,0,0,0,0,16,975,2441,1496,3314,2086,1948,1926,944,430,15563,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,18,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,37,17,6,5,0,0,68
LGA51310,0,19,10,29,30,9,10,10,0,130,0,8,36,88,63,43,21,14,3,276,0,9,0,14,6,4,3,3,0,38,0,0,4,10,0,0,0,0,0,17,0,3,6,12,8,0,0,0,0,25,0,0,0,0,0,3,0,0,0,4,8,25,18,29,21,19,7,4,4,131,0,0,0,10,14,3,3,0,0,26,0,0,0,0,6,7,3,10,3,31,0,0,0,15,3,11,8,0,0,42,4,48,25,143,66,67,61,23,13,448,11,27,25,122,65,44,47,28,18,383,727,2187,1799,3121,2138,1746,1264,749,345,14066,0,0,0,0,0,0,0,0,0,0,614,1758,1328,1961,1397,1067,804,513,347,9790,0,0,0,3,0,4,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,0,4,27,5,3,0,0,0,39,0,0,0,6,0,0,0,0,0,4,0,3,4,25,23,15,8,0,0,83
LGA51330,4,76,151,228,145,140,106,44,8,899,0,20,83,146,68,84,67,19,4,504,7,56,135,267,148,88,41,19,9,770,0,4,6,124,12,8,4,6,0,160,0,10,31,47,17,0,3,0,0,110,0,6,4,52,37,28,3,3,6,137,7,32,36,38,19,18,18,6,0,167,5,30,41,101,51,36,25,13,3,297,0,0,6,13,11,14,19,12,4,73,0,5,27,44,35,29,19,4,0,172,16,232,291,941,278,203,149,89,23,2224,89,141,274,757,259,211,121,81,48,1977,2748,6246,7172,14669,5879,4867,3817,1987,631,48021,0,5,16,51,14,10,10,0,0,105,2331,4234,3436,4219,2083,2090,1792,989,414,21589,0,27,16,98,31,4,4,0,0,184,0,0,0,9,4,3,0,0,0,13,0,0,4,39,8,10,3,0,0,69,0,4,10,21,3,7,9,0,0,44,0,3,13,34,14,7,3,3,9,81
LGA51400,0,0,0,0,0,0,5,0,0,11,4,31,69,83,76,57,17,6,0,340,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,9,4,0,0,29,0,0,0,0,0,0,0,0,0,8,0,0,4,0,4,9,0,0,0,16,0,7,6,23,23,23,8,5,0,98,0,10,6,35,25,20,17,10,0,127,15,41,54,110,90,74,57,21,13,485,522,1525,1146,1941,1318,1165,861,353,56,8882,0,0,0,0,0,0,0,0,0,0,500,1292,924,1613,934,766,544,226,44,6842,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,4,4,0,0,30
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,11,10,4,9,0,0,46,21,18,21,72,41,36,57,18,3,287,0,0,0,0,0,0,0,0,0,0,12,20,12,47,18,32,21,8,3,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51540,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,11,0,0,0,3,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,6,14,25,15,4,0,0,62,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,4,0,22,7,15,15,7,0,73,30,64,66,143,71,50,42,20,7,493,184,331,287,655,404,391,323,130,29,2732,0,0,0,0,0,0,0,0,0,0,133,232,196,364,216,222,153,64,13,1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,0,20,11,23,19,17,10,0,0,105,34,136,71,158,139,134,83,37,8,806,0,0,0,0,0,0,0,0,0,0,29,95,56,138,88,73,50,12,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
LGA51680,0,0,0,0,3,0,0,0,0,7,0,0,11,3,10,5,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,6,0,0,0,13,0,0,0,13,10,7,6,0,3,45,4,30,47,48,64,59,33,23,5,308,155,407,356,582,466,503,334,164,33,3005,0,0,0,0,0,0,0,0,0,0,139,368,237,427,264,251,164,78,13,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
LGA51710,0,0,0,3,4,6,10,0,0,24,0,0,0,0,6,0,0,0,0,7,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,15,70,5,0,0,0,0,93,0,15,10,56,30,10,28,0,0,149,45,107,71,373,152,111,128,16,4,1006,0,0,0,0,0,0,0,0,0,0,35,75,45,93,32,27,9,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51750,0,14,10,15,9,11,9,0,0,67,0,4,28,23,21,31,15,5,0,128,0,0,0,7,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,7,10,4,9,6,0,0,45,0,7,0,3,0,0,0,0,0,9,0,0,0,4,5,7,0,0,0,16,0,0,0,3,3,10,3,0,0,17,6,22,21,50,26,28,14,8,5,171,5,19,39,79,38,35,30,28,24,288,236,704,823,1154,693,581,542,461,189,5379,0,0,0,0,0,0,0,0,0,0,166,495,564,684,441,382,395,386,223,3741,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,6,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,4,0,5,0,32
LGA51820,0,24,44,170,59,64,60,21,0,450,7,50,120,367,208,149,67,27,5,986,0,9,13,63,39,17,26,7,0,175,4,4,6,41,6,4,9,0,0,60,0,18,22,26,3,0,5,0,0,78,0,0,0,9,10,3,0,0,0,23,7,26,20,81,33,33,22,5,0,233,0,5,6,30,23,19,12,3,0,100,0,0,5,38,27,25,26,7,0,138,0,9,27,82,53,37,17,4,0,235,12,107,158,721,369,406,314,210,38,2332,105,223,270,996,384,277,202,144,72,2682,4117,7678,7013,17853,7856,6237,4491,2247,697,58179,0,0,0,8,3,0,0,0,0,15,3553,6354,5196,10123,4367,3238,2284,1106,470,36688,0,3,5,40,8,3,0,0,0,59,0,0,3,69,36,46,26,10,0,189,3,3,3,103,14,8,6,0,0,144,0,0,0,16,3,0,0,0,0,21,6,13,16,93,26,32,7,0,0,183
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,7,3,16,6,8,5,9,0,49,23,49,18,75,27,53,30,18,3,302,0,0,0,0,0,0,0,0,0,0,13,34,20,52,18,39,23,8,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
