LGA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA50080,140,3,0,3,138,20,7,161,0,0,0,0,0,0,0,0,0,0,5,0,693,111,19,3,833,5,3,13,844,61,8,914,212,32,3,0,249,0,0,0,253,10,0,261,264,31,7,0,309,0,7,4,314,6,0,324,7,0,0,0,7,0,0,0,7,3,0,9,3,0,0,3,3,0,0,0,3,0,0,3,482,68,11,3,568,0,5,5,575,22,4,599,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,10,0,0,0,10,0,0,10,492,66,11,3,579,0,5,5,586,22,4,610,83,18,0,4,101,0,0,0,106,18,3,121,0,0,0,0,0,0,0,0,0,0,0,0,573,86,13,8,680,3,5,6,691,39,3,731,260,38,13,3,307,0,0,3,309,13,0,324,271,46,6,0,318,0,3,7,325,16,0,345
LGA50210,588,14,0,16,604,77,0,679,4,0,0,3,4,0,0,0,4,0,12,13,2173,272,74,32,2549,40,12,52,2599,152,7,2763,389,63,13,0,462,3,0,3,468,35,3,506,530,57,19,8,612,11,5,16,626,19,0,647,23,4,3,0,34,0,0,0,31,0,0,34,5,0,0,7,16,0,0,0,15,0,0,15,952,130,33,13,1122,14,4,17,1143,59,0,1209,20,0,0,0,20,5,0,5,23,0,0,19,31,6,0,0,38,0,0,0,38,3,0,36,49,6,0,0,52,5,0,5,51,5,0,55,996,129,33,13,1179,23,4,26,1201,62,0,1266,293,30,9,3,339,7,0,7,347,55,3,406,0,0,0,3,10,0,0,0,10,0,4,15,1296,166,38,21,1528,29,4,33,1561,119,7,1687,523,61,12,4,601,10,4,10,612,38,0,650,580,68,17,10,670,14,4,17,683,21,0,703
LGA50250,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,115,11,16,7,149,0,0,0,149,3,0,151,17,3,0,0,26,0,0,0,26,0,0,26,19,5,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,47,0,0,0,47,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,5,0,0,5,38,6,4,4,52,0,0,0,52,0,0,50,10,0,0,0,10,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,45,6,4,0,56,0,0,0,56,3,0,64,30,4,0,0,33,0,0,0,33,3,0,40,14,0,3,0,17,0,0,0,17,0,0,17
LGA50280,48,0,0,0,49,7,0,55,0,0,0,0,0,0,0,0,0,0,0,4,355,70,16,7,447,3,0,9,453,15,5,476,68,12,5,0,84,0,0,0,83,5,0,90,100,33,4,0,134,0,0,4,136,4,0,145,3,0,4,0,9,0,0,0,9,0,0,9,0,0,0,0,3,0,0,0,3,0,0,3,167,45,14,5,224,3,0,3,227,10,0,241,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,169,47,14,5,228,3,0,3,232,10,0,243,12,11,0,0,23,0,0,0,23,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,181,53,10,5,253,3,0,3,258,17,0,271,75,23,6,0,100,3,0,3,106,7,0,113,87,31,5,0,125,0,0,0,128,9,0,132
LGA50350,41,0,0,0,45,6,0,47,0,0,0,0,0,0,0,0,0,0,0,4,265,58,5,5,327,4,0,8,336,17,0,350,60,8,0,0,70,0,0,4,71,3,0,74,71,18,0,0,92,0,0,0,92,0,0,93,0,4,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,131,31,4,0,167,0,0,4,170,7,0,171,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,31,4,0,172,0,0,4,170,7,0,174,23,5,0,3,27,0,0,0,27,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,158,33,4,5,201,0,0,4,198,6,0,212,80,10,0,0,93,0,0,0,97,13,0,109,74,20,5,0,93,6,0,6,96,3,0,98
LGA50420,210,5,4,14,222,36,0,254,5,0,0,0,8,0,0,0,8,0,6,14,1101,167,23,11,1304,25,9,35,1339,87,6,1432,282,26,7,0,317,3,4,8,322,14,0,338,322,49,4,3,382,0,5,5,384,12,0,396,8,0,0,0,13,0,0,0,13,0,0,13,0,0,0,3,6,0,0,0,6,0,0,9,617,78,8,7,713,3,4,6,721,34,0,752,4,0,0,0,4,0,0,0,4,0,0,4,8,0,0,0,15,0,0,0,16,3,0,23,15,0,0,0,20,0,0,0,18,3,0,23,630,83,8,7,733,5,4,11,739,33,5,781,82,20,3,3,108,3,0,6,117,18,0,139,0,0,0,3,3,0,0,0,3,0,3,11,716,99,14,13,843,10,7,19,861,52,5,923,356,46,14,0,420,16,0,16,433,25,0,455,361,56,3,3,421,5,5,9,428,18,3,449
LGA50490,178,4,3,9,191,38,0,230,0,0,0,0,3,0,0,0,3,0,3,4,573,93,17,14,705,23,13,30,732,71,0,807,128,13,3,0,140,5,0,4,147,9,0,156,126,15,3,0,148,0,0,0,151,0,0,153,0,0,3,0,8,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,256,28,10,0,301,10,0,4,305,12,0,322,0,0,0,0,5,0,0,0,4,0,0,4,6,0,0,0,3,0,0,0,3,0,0,5,7,4,0,0,5,0,0,0,6,0,0,8,257,35,11,0,306,10,0,7,318,15,0,331,74,13,3,3,91,3,0,0,98,23,0,121,0,0,0,3,3,0,0,0,3,0,3,5,329,49,10,11,401,8,4,12,413,38,3,454,172,19,0,3,200,3,3,3,207,19,0,220,149,25,3,0,185,3,3,7,187,4,0,190
LGA50560,4,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,14,0,0,0,14,3,0,22,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,13,0,0,0,13,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,16,0,0,0,16,0,0,16,5,0,0,0,7,0,0,0,7,0,0,7,3,3,0,0,3,0,0,0,3,6,0,5
LGA50630,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,28,5,6,0,42,3,0,3,41,0,0,46,3,0,4,0,10,0,0,0,10,0,0,12,5,0,0,0,11,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5,0,21,0,0,0,21,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5,0,21,0,0,0,21,0,0,25,3,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,5,9,0,26,0,0,0,32,0,0,32,3,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,8,0,0,0,8,0,0,8
LGA50770,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,47,0,0,0,47,9,0,56,17,0,0,0,20,0,0,0,20,0,0,20,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,26,0,0,26,9,0,0,0,8,0,0,0,8,0,0,8,6,0,0,0,8,0,0,0,8,0,0,8
LGA50840,24,0,0,0,27,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,114,10,11,5,137,0,0,0,140,9,0,147,28,3,0,3,29,0,0,0,29,0,0,36,31,7,3,0,43,0,0,0,43,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,3,5,75,0,0,0,75,3,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,3,5,75,0,0,0,75,3,0,75,3,0,0,0,4,0,0,0,4,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,63,12,6,5,85,0,0,0,85,9,0,88,23,0,0,0,24,3,0,3,28,0,0,36,32,9,0,0,43,0,0,0,42,0,0,42
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50980,43,3,0,9,47,36,0,84,0,0,0,0,0,0,0,0,0,0,0,0,286,45,21,14,370,9,0,8,381,66,0,440,86,17,3,0,107,0,0,0,107,3,0,108,57,8,0,4,67,0,0,0,67,0,0,72,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,144,23,3,9,177,0,0,0,177,11,0,190,0,0,0,0,0,5,0,5,4,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,3,5,0,4,12,0,0,8,146,22,3,9,182,5,0,4,190,10,0,200,15,4,4,0,26,0,0,0,25,25,0,49,0,0,0,0,0,0,0,0,0,0,0,0,166,24,9,5,206,5,0,6,215,38,0,249,81,7,4,0,88,0,0,0,91,9,0,98,52,10,0,0,61,0,0,0,61,0,0,61
LGA51080,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,28,0,0,0,28,9,0,33,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,9,6,0,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,0,0,0,6,0,0,6
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,24,0,0,0,24,0,0,28,7,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,17,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,17,0,0,0,14,0,0,14,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,15,0,0,0,20,0,0,20,0,0,0,0,5,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
LGA51190,110,4,0,0,114,14,0,132,0,0,0,3,3,0,0,0,3,0,0,5,474,63,21,13,565,13,4,15,584,42,3,634,119,7,3,0,133,0,0,0,132,3,0,135,147,23,5,0,173,0,0,0,178,4,0,178,4,0,3,0,9,0,0,0,10,0,0,14,0,0,0,3,0,0,0,0,0,0,0,7,271,28,12,3,317,0,0,0,318,11,0,333,3,3,0,0,9,0,0,0,9,0,0,9,7,0,0,0,7,0,0,0,7,0,0,7,10,3,0,0,11,0,0,0,13,0,0,13,280,36,12,3,325,6,0,6,332,11,0,347,63,10,3,0,75,0,0,0,74,13,0,88,0,0,0,0,0,0,0,0,0,0,4,3,344,45,17,5,402,9,0,9,408,24,4,438,166,13,7,0,191,6,0,6,198,3,0,202,216,24,8,0,248,0,0,0,249,11,0,257
LGA51260,128,8,0,8,134,19,0,150,0,0,0,0,0,0,0,0,0,0,3,4,858,131,60,19,1074,5,5,10,1085,45,7,1133,200,35,6,0,238,4,0,4,241,8,0,254,278,50,17,3,348,3,0,0,351,20,0,368,6,4,5,0,14,0,0,0,14,0,0,14,0,0,0,4,3,0,0,0,3,0,0,3,483,82,25,4,602,7,0,11,608,30,3,636,4,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,7,0,0,7,491,82,31,4,607,10,3,6,617,30,3,644,56,13,0,0,67,4,0,4,71,13,0,78,0,0,0,0,0,0,0,0,0,0,0,4,541,94,31,10,674,7,3,12,686,36,3,729,252,39,14,0,303,3,0,3,302,19,0,320,299,57,24,4,384,3,5,4,384,16,0,399
LGA51310,194,0,3,3,192,8,0,199,0,0,0,0,0,0,0,0,0,0,0,0,994,102,6,5,1114,4,5,12,1124,33,3,1157,209,34,3,0,244,4,0,4,249,9,0,260,295,25,3,0,328,0,0,0,328,7,0,336,4,0,0,0,8,0,0,0,8,0,0,8,0,0,0,3,7,0,0,0,7,0,0,3,503,59,12,5,580,5,0,4,590,14,0,602,7,0,0,0,7,0,0,0,7,0,0,7,11,0,0,0,11,0,0,0,12,0,0,12,16,0,0,0,16,0,0,0,19,0,0,19,520,59,12,5,595,6,0,11,604,14,0,620,116,5,0,0,128,5,0,5,132,3,0,138,0,0,0,0,0,0,0,0,0,0,0,0,634,71,11,10,720,11,0,12,740,18,0,758,318,37,8,0,360,5,0,8,368,17,0,385,356,38,9,4,398,0,0,6,403,15,0,415
LGA51330,574,19,8,23,596,90,0,686,4,3,0,5,13,0,0,0,13,0,0,16,2217,331,50,36,2636,60,14,74,2714,165,9,2884,507,75,15,5,596,19,4,23,617,33,0,651,545,104,5,7,660,9,0,10,670,21,3,693,12,0,3,0,20,0,0,0,20,0,0,20,3,0,0,6,15,0,0,0,15,4,3,18,1070,180,29,14,1290,24,6,29,1315,59,8,1384,14,8,0,0,22,0,0,0,25,0,0,25,32,7,3,0,44,5,0,5,46,6,0,52,46,11,4,0,63,8,0,8,69,6,0,76,1121,190,33,14,1355,29,6,39,1394,62,8,1458,278,49,3,3,337,15,4,17,357,54,0,414,0,0,0,0,5,0,0,0,5,0,0,8,1399,238,35,19,1693,48,12,57,1749,117,3,1877,671,106,10,3,795,12,6,17,814,50,0,869,715,125,10,3,860,16,5,23,880,38,6,917
LGA51400,98,0,0,0,101,12,0,111,0,0,0,6,4,0,0,0,4,0,4,9,475,52,9,9,555,15,0,14,565,25,7,598,123,21,0,5,154,0,0,0,154,4,0,158,172,13,6,0,196,3,0,0,200,7,0,209,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,308,36,12,3,357,3,0,5,364,9,0,366,3,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,6,0,0,0,10,0,0,8,314,38,12,3,363,3,0,10,368,6,0,377,34,0,0,0,38,0,0,0,40,13,0,47,0,0,0,0,0,0,0,0,0,0,0,3,348,38,10,3,400,6,0,8,407,22,0,428,150,27,9,3,187,3,0,3,186,7,0,196,207,15,7,0,234,6,0,4,239,8,0,246
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51540,3,0,0,0,9,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,69,14,0,0,82,3,0,3,86,9,0,96,22,4,0,0,25,0,0,0,25,0,0,28,12,9,0,0,21,0,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,48,0,0,0,48,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,48,0,0,0,51,3,0,53,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,37,10,0,0,50,0,0,0,52,9,0,54,16,3,0,0,25,0,0,0,25,0,0,24,13,0,0,0,10,0,0,0,10,0,0,14
LGA51610,10,0,0,0,10,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,45,0,0,0,45,3,0,47,15,0,0,0,15,0,0,0,17,0,0,17,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,23,0,0,0,26,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,23,0,0,0,26,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,25,0,0,0,26,0,0,28,7,4,0,0,14,0,0,0,18,0,0,18,10,0,0,0,14,0,0,0,14,5,0,13
LGA51680,28,0,0,0,28,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,147,17,7,4,179,0,0,0,179,9,0,187,30,0,0,0,33,0,0,0,32,3,0,36,25,4,3,0,39,0,0,0,37,0,0,37,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,62,7,3,0,77,0,0,3,77,4,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,64,7,3,0,81,0,0,3,78,4,0,85,17,3,0,0,19,0,0,0,19,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,76,7,3,5,103,0,0,3,103,6,0,109,43,0,0,0,47,0,0,0,47,0,0,46,46,12,0,0,58,0,0,0,60,0,0,56
LGA51710,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,3,39,0,0,0,39,0,0,39,13,0,0,0,14,0,0,0,14,0,0,14,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,23,0,0,0,23,0,0,23,8,0,0,0,8,0,0,0,8,0,0,8,5,0,0,0,5,0,0,0,5,0,0,5
