SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED50106,0,0,0,108,26,131,0,0,0,0,0,0,18,13,36,6280,5967,12255,419,494,917,121,0,128,39,8,49,69,19,90,119,31,146,199,178,374,7382,6741,14126,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,7,9,0,0,5,0,0,3,13,9,19,67,45,113,80,58,139,0,3,3,6,0,6,4,0,4,7,3,9,487,661,1149,908,1175,2086,56,37,91,8925,8676,17599
SED50202,227,262,491,171,76,246,0,0,0,0,0,0,40,28,62,8153,6675,14830,559,496,1061,127,9,142,52,0,56,46,7,52,271,75,350,113,111,218,9774,7739,17510,81,128,209,0,0,0,0,0,0,63,75,135,13,17,31,9,8,20,165,230,399,0,0,0,0,0,0,3,3,6,6,7,10,10,3,18,24,19,40,115,41,150,303,290,587,44,71,112,10,3,13,6,0,8,56,76,130,326,515,844,1137,1386,2520,65,45,116,11658,10047,21707
SED50304,199,217,412,434,510,945,0,0,0,0,0,0,64,59,122,8454,7331,15788,364,773,1142,123,3,124,60,8,65,129,31,162,207,58,263,99,114,211,10133,9108,19246,170,221,388,0,0,0,0,0,0,84,94,172,17,17,35,13,3,19,277,333,612,0,0,0,0,0,0,24,37,57,13,23,44,9,12,26,46,72,117,85,58,144,409,466,872,58,58,117,6,12,19,11,3,17,73,78,152,769,920,1690,894,1451,2350,63,35,98,12339,12063,24400
SED50405,409,468,877,323,133,460,0,0,4,0,0,0,30,21,52,9265,8359,17624,642,616,1262,107,4,114,59,5,66,39,4,44,493,110,607,132,131,257,11512,9848,21357,193,275,470,0,0,5,0,0,0,160,148,306,27,38,69,9,8,18,393,473,863,0,0,0,0,0,0,15,9,18,15,14,27,12,4,16,33,29,63,159,51,211,579,558,1137,86,121,209,28,7,36,4,0,4,111,124,243,526,991,1518,1791,1944,3741,59,41,96,14584,13512,28091
SED50502,282,301,583,208,160,364,3,5,9,5,0,5,50,52,98,7467,6285,13749,440,579,1025,130,11,136,64,3,73,95,18,117,225,50,281,80,85,165,9046,7555,16600,89,101,186,0,0,0,0,0,0,92,93,183,8,23,31,10,9,18,194,224,425,0,0,0,0,0,0,18,21,35,6,22,22,9,13,21,30,52,80,104,41,145,336,310,649,30,53,84,12,9,16,7,0,8,41,63,107,599,738,1337,965,1286,2253,42,33,77,11032,9984,21017
SED50605,270,203,468,513,324,840,0,0,0,0,0,0,26,34,60,7090,6205,13297,386,615,1000,57,0,57,40,0,42,164,41,207,122,38,159,132,124,258,8802,7587,16393,254,206,466,0,0,0,0,0,0,62,37,100,12,25,35,17,4,21,350,272,620,0,0,0,0,0,0,18,17,32,4,8,14,7,4,13,31,37,69,62,39,100,440,342,780,42,46,93,9,0,10,0,3,3,55,54,105,1203,1262,2464,946,1501,2445,43,26,65,11485,10772,22253
SED50702,133,143,270,758,699,1463,0,0,4,0,0,0,110,86,203,8737,6992,15730,508,797,1302,114,5,118,62,9,72,147,20,167,367,114,482,192,167,361,11133,9036,20168,86,86,169,0,0,0,0,0,0,60,70,127,15,7,25,8,0,9,166,161,327,0,0,0,0,0,0,26,32,65,13,40,55,28,20,43,67,89,159,112,49,163,345,305,651,22,52,72,29,24,51,8,3,7,53,72,128,739,821,1558,1277,1451,2728,89,46,136,13638,11727,25364
SED50805,81,69,146,414,302,718,4,0,4,0,0,0,30,14,45,6331,6324,12654,298,386,687,39,3,39,63,11,72,148,50,196,145,34,179,130,160,293,7676,7355,15033,148,114,259,0,0,0,0,0,0,41,55,96,12,13,25,5,0,9,205,184,387,4,0,5,0,0,0,20,28,50,9,16,26,10,0,6,38,48,88,80,27,105,323,263,581,23,24,45,11,0,13,6,4,7,38,27,68,890,1164,2055,956,1512,2468,25,25,47,9914,10341,20250
SED50906,9,8,11,222,72,291,0,0,0,0,0,0,28,25,53,7125,6871,13996,619,666,1281,79,3,85,37,9,45,109,37,144,167,55,221,201,206,408,8598,7948,16538,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,5,3,5,0,0,0,0,0,0,71,30,107,11,9,19,14,0,19,96,48,142,134,47,177,232,95,331,0,0,3,13,7,20,4,0,8,21,11,28,304,521,827,1152,1390,2543,62,32,88,10364,9990,20355
SED51004,579,540,1116,166,59,228,6,3,9,0,0,0,26,27,54,7861,7237,15098,535,578,1109,187,5,194,52,0,49,33,13,47,330,49,384,98,97,189,9876,8607,18486,193,161,356,0,0,0,0,0,0,153,125,278,29,29,63,16,5,21,393,324,717,0,0,0,0,0,0,3,9,10,6,11,15,15,3,13,23,16,39,84,65,149,501,407,906,67,74,145,3,3,6,10,5,10,79,81,160,816,1142,1960,1363,1646,3009,57,37,90,12687,11917,24604
SED51104,441,473,907,290,92,387,3,0,9,0,0,0,26,20,40,8154,8027,16182,645,642,1288,192,3,193,54,0,54,28,11,37,546,94,640,141,127,276,10521,9496,20018,187,188,374,0,0,0,0,0,0,147,128,278,32,30,59,19,11,28,382,359,743,0,0,0,0,0,0,5,7,14,11,12,28,18,0,22,39,23,62,138,52,191,559,439,992,71,86,156,17,5,21,8,3,7,95,91,192,612,1090,1705,1868,1950,3818,62,37,107,13716,13105,26826
SED51205,383,496,880,329,350,677,3,0,5,0,0,0,91,63,155,9947,7038,16984,513,788,1307,144,4,151,61,10,73,86,26,110,249,68,316,105,121,224,11909,8972,20879,184,285,472,0,0,0,0,0,0,101,91,196,18,37,61,15,7,20,330,422,753,0,0,0,0,0,0,31,28,60,12,37,46,14,10,27,55,75,131,128,63,195,519,558,1079,87,111,194,16,7,19,8,3,19,109,124,232,525,693,1212,1208,1418,2624,66,54,120,14330,11816,26148
SED51304,379,316,701,79,39,115,0,0,0,0,0,0,22,9,32,6639,6150,12781,298,401,697,108,0,109,51,4,57,109,18,130,151,29,182,84,99,179,7921,7060,14981,276,119,396,0,0,0,0,0,0,158,148,303,26,23,51,20,0,24,477,293,774,0,0,0,0,0,0,7,14,22,6,5,8,5,0,5,14,17,31,62,36,95,556,348,905,51,47,99,3,6,9,4,3,9,58,53,115,1172,1310,2481,1044,1539,2578,30,27,57,10780,10336,21117
SED51401,4,9,9,172,50,222,0,0,0,0,0,0,5,11,19,5066,4403,9474,315,329,643,204,3,206,35,5,39,49,22,74,219,74,294,634,462,1098,6713,5368,12075,0,0,0,0,0,0,0,0,0,4,9,16,0,0,0,0,0,0,8,9,20,0,0,0,0,0,0,15,0,15,0,0,3,8,0,6,25,3,23,108,29,140,133,48,181,9,0,7,11,0,11,20,0,17,32,7,40,937,942,1878,832,936,1771,107,69,179,8751,7373,16128
SED51504,185,223,411,492,425,914,0,0,0,0,0,0,56,48,108,7219,6350,13577,408,620,1029,61,4,66,66,6,78,336,95,428,161,48,209,194,193,387,9178,8015,17190,148,165,315,0,0,0,0,0,0,74,65,136,12,9,24,12,4,21,246,245,490,0,0,0,0,0,0,32,27,57,9,23,32,12,15,21,51,67,118,86,60,140,381,371,754,37,43,75,17,9,22,10,0,8,54,52,109,1244,1322,2560,956,1572,2528,37,26,61,11856,11355,23208
