RA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
RA50,549,3746,28589,218250,294508,41408,7106,20185,614334,146,5630,26622,41632,3949,340,149,4843,83311,90,2199,9222,15733,3282,338,113,1617,32604,231,7837,35845,57365,7233,675,265,6460,115913,125,4143,11028,3156,249,26,35,1536,20301,200,4131,8154,1823,74,6,9,1111,15501,241,5080,8385,2452,95,4,13,1311,17585,138,2283,5329,1634,61,3,18,677,10139,22,208,258,114,110,44,36,64,849,725,15839,33163,9171,586,82,105,4702,64376,292,1029,884,218,110,20,15,1902,4474,51,154,171,203,129,24,15,310,1049,1845,28596,98652,285210,302564,42212,7509,33565,800154
RA51,251,1135,5805,28270,34866,4474,994,4309,80105,15,609,2030,1891,234,18,16,507,5316,0,67,182,425,116,17,0,64,877,16,677,2214,2314,347,33,18,572,6189,7,150,329,152,25,0,0,80,746,0,10,70,25,0,0,0,12,123,0,4,26,7,0,0,0,6,42,0,0,13,22,3,0,0,6,43,5,18,13,12,9,0,0,7,66,6,189,454,217,36,7,0,110,1020,179,514,391,131,65,8,4,542,1833,27,51,54,58,59,17,14,61,335,469,2566,8915,30990,35376,4535,1030,5587,89482
RA52,240,1261,6511,27185,21898,3173,763,5068,66103,23,823,2227,1446,184,13,15,670,5396,6,48,220,279,166,29,4,106,862,22,866,2451,1728,351,43,19,776,6259,8,193,236,99,12,0,3,107,659,0,5,16,0,0,0,0,4,21,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,17,12,3,0,4,4,50,6,209,267,107,15,3,11,110,728,365,667,235,142,63,9,14,943,2445,30,92,71,76,48,8,22,79,422,676,3096,9530,29239,22377,3241,824,6973,75957
RA53,141,692,2075,10676,8789,1196,305,3120,26993,32,393,1115,845,155,11,8,643,3207,9,86,251,322,73,6,4,123,878,46,483,1364,1166,232,22,11,763,4082,20,239,298,94,10,3,5,194,864,0,62,102,24,0,0,0,22,221,0,44,72,30,0,0,0,58,204,0,84,77,14,0,0,0,18,196,0,0,0,6,0,0,0,0,11,22,432,549,163,10,8,12,295,1492,923,1354,249,134,109,20,12,714,3504,80,187,78,79,56,23,24,115,638,1204,3144,4313,12226,9194,1263,353,5010,36711
RA54,155,618,1891,6978,3096,361,132,2183,15420,13,216,441,230,32,3,3,261,1200,0,23,38,55,15,0,0,28,159,10,233,478,284,50,4,3,292,1352,9,129,174,88,10,0,3,125,538,0,8,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,8,13,141,181,92,10,0,3,131,559,2488,3367,345,361,340,65,46,1470,8478,276,462,104,122,89,24,88,473,1641,2935,4827,2995,7839,3583,450,277,4537,27450
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,8,0,0,3,3,0,0,4,0,13
