RA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
RA50,9,5,52,399,2080,1773,9016,10194,1730,1244,1174,1482,527,158,487,30329,198,88,169,366,2210,654,563,500,63,61,67,54,29,10,101,5125,67,138,430,1449,2351,2291,4545,1770,349,381,373,408,308,56,237,15162,19,84,417,1568,3492,4974,15963,6666,887,719,849,944,507,275,417,37770,46,73,179,370,824,813,2350,1993,258,252,286,674,302,24,107,8549,0,0,3,22,238,357,667,1162,150,151,210,290,55,15,69,3385,4,4,36,188,730,819,2719,1747,426,345,354,374,195,65,239,8254,2146,6356,34768,27472,28815,18689,43540,22500,2120,1728,1716,1835,1075,404,3920,197087,29,84,438,767,959,1064,1962,1375,278,274,307,398,324,139,215,8616,5,0,22,1631,4638,2737,2810,2134,509,514,435,582,306,76,642,17041,843,1362,6622,7336,11080,14034,31945,18065,3999,3766,4206,5488,2314,538,2189,113778,6316,19796,58250,58079,88921,77464,193670,126309,20182,18251,20301,25240,11743,3398,14836,742764
RA51,0,0,0,26,107,108,641,683,143,110,107,125,56,10,63,2170,26,7,17,11,91,15,18,23,0,0,0,0,0,0,9,227,5,11,30,40,47,39,78,27,4,6,8,12,6,0,18,329,0,5,41,125,257,337,1286,568,64,76,46,82,37,11,65,3004,3,7,3,3,13,14,41,42,10,6,3,11,3,3,27,192,0,0,0,0,7,4,35,78,19,20,44,71,23,0,8,297,0,0,0,13,35,36,147,70,20,11,30,36,21,0,19,450,326,894,4586,3154,2450,1460,3006,1247,116,61,95,141,75,16,721,18350,4,10,68,141,91,65,151,90,21,15,9,24,10,6,19,732,0,0,0,19,30,41,73,66,14,14,14,15,6,3,92,389,83,134,477,436,510,441,1122,595,94,114,123,203,105,88,392,4917,809,2042,6200,5335,5565,3969,9426,5629,771,708,795,1082,506,217,2292,45341
RA52,0,0,0,34,129,126,730,721,151,110,142,204,63,24,54,2497,10,7,9,17,39,11,10,7,4,3,0,3,0,0,5,119,0,3,17,44,25,20,42,11,3,4,0,3,0,0,12,188,4,17,42,65,119,175,893,419,27,65,72,91,59,23,38,2095,3,12,3,7,8,11,40,24,9,9,8,11,3,0,0,159,0,0,0,0,0,3,16,32,4,6,34,48,13,0,3,168,0,0,5,12,19,60,193,152,55,33,30,27,12,9,25,628,282,750,3259,2029,1202,711,1185,534,55,44,67,77,34,7,430,10681,5,9,46,82,69,64,102,71,14,10,5,19,13,0,7,507,0,0,0,17,41,33,38,65,19,9,12,19,19,5,30,295,54,104,353,294,371,276,975,575,145,138,178,218,117,187,130,4124,604,1637,4456,3528,3463,2681,6708,4395,742,681,866,1081,514,367,1227,32945
RA53,0,0,0,9,60,55,348,565,108,80,99,97,44,4,29,1497,6,0,0,4,22,5,10,10,0,0,0,0,0,0,0,57,0,0,13,21,35,16,36,0,0,0,12,5,0,0,3,150,0,0,9,30,53,113,503,148,9,15,25,49,24,11,10,1009,0,0,0,4,11,8,40,43,9,3,6,20,4,0,0,149,0,0,0,4,0,0,13,45,0,4,0,13,4,0,0,79,0,0,0,8,21,27,103,105,26,18,17,32,17,0,9,374,62,223,1021,667,609,337,723,365,33,36,37,66,32,6,154,4361,0,0,8,25,18,32,45,39,3,11,11,19,4,0,4,220,0,0,0,4,8,6,17,36,5,12,6,11,6,4,5,125,14,44,146,131,168,162,594,358,66,88,88,201,89,18,75,2237,156,502,1473,1401,1774,1436,4089,2955,460,431,500,853,345,110,504,16986
RA54,0,0,0,11,55,54,287,321,45,37,55,59,18,12,32,994,0,3,0,3,42,7,8,6,4,0,4,0,3,0,3,84,0,0,9,16,26,20,30,16,4,3,0,3,0,0,0,140,0,0,16,38,79,132,456,117,16,16,15,28,28,9,16,953,0,0,8,0,10,7,33,15,6,5,5,13,3,0,4,114,0,0,0,0,0,0,13,30,3,0,15,9,0,0,0,81,0,0,0,9,15,34,82,45,19,24,17,20,4,4,18,295,43,255,1047,756,748,505,944,479,52,45,64,134,36,11,183,5303,0,5,19,28,28,34,46,38,3,8,25,28,12,13,3,286,0,0,0,7,75,31,36,28,8,4,4,0,7,0,7,208,11,52,178,140,272,290,792,445,73,75,131,299,134,64,80,3047,115,583,1584,1553,2317,2043,4679,2918,401,431,591,1003,375,177,596,19361
RA55,0,0,0,0,0,7,14,10,0,7,3,0,0,0,14,60,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,9,0,0,0,0,0,5,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,24,33,37,32,66,36,5,4,7,5,0,0,3,255,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,11,8,16,15,27,12,4,0,0,0,3,0,0,94,0,4,37,59,82,108,208,115,17,6,18,14,10,3,28,717
