RA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
RA50,668,1270,5718,11225,2378,19105,2550,12846,831,56600,3727,12942,15087,19994,9836,14941,5808,11312,1616,95272,20547,64470,38118,28053,26033,13806,14717,17432,4166,227348,33882,68079,34631,24223,29313,10920,14860,15091,3884,234893,33552,51752,28209,21928,29653,11241,14048,14700,3247,208334,22155,33770,20023,15571,24416,9302,12382,12533,2172,152321,5921,10339,4833,3509,6802,3013,3351,3894,724,42389,824,1271,368,226,664,352,255,536,260,4760,56,65,16,8,45,29,9,35,88,350,121327,243971,147014,124747,129153,82699,67976,88380,16990,1022266
RA51,81,66,1037,1271,226,2131,258,1723,138,6929,290,548,1902,1207,601,833,581,1329,122,7406,1479,2825,4127,2016,1621,1099,1426,2465,274,17331,2674,4085,4190,2390,2385,1210,1941,2324,397,21594,3322,4093,3952,2701,3000,1476,2411,2430,427,23818,2790,3120,2933,2124,2537,1312,2312,2176,294,19598,1262,975,666,424,697,391,650,663,125,5857,328,76,44,27,73,41,46,101,52,794,47,3,3,0,0,3,0,7,16,87,12281,15794,18856,12165,11138,8497,9618,13211,1851,103406
RA52,98,67,897,832,185,1481,224,1306,116,5212,288,617,1535,871,500,675,535,1099,101,6225,1431,2768,3208,1650,1469,894,1444,2022,224,15109,2620,2988,2715,1793,1814,903,1528,1757,222,16354,3265,2921,2600,2054,2053,1071,2007,1899,293,18170,3139,2451,2201,1741,2018,1002,2109,1982,278,16918,1725,747,568,409,609,299,624,662,120,5763,514,82,50,28,73,41,50,123,63,1030,64,5,0,0,0,0,0,9,17,97,13149,12654,13768,9394,8733,6358,8518,10860,1441,84872
RA53,33,27,376,288,123,548,109,502,59,2071,191,327,732,401,319,246,317,499,66,3097,1235,2081,2367,985,1112,494,969,1161,185,10583,1966,1960,2377,997,1269,435,1118,997,256,11378,2066,1406,1751,848,1101,438,1214,885,210,9921,1861,1139,1150,601,876,408,1153,872,159,8216,843,323,259,154,253,96,301,273,55,2557,222,35,12,16,22,19,15,44,30,420,14,0,0,0,0,0,0,0,9,33,8439,7294,9029,4286,5082,2683,5199,5236,1030,48273
RA54,19,34,144,162,56,181,84,310,29,1011,94,443,674,341,236,143,540,684,68,3220,808,2429,3056,999,777,253,2079,1427,198,12033,1361,1725,2927,748,770,202,2202,921,188,11062,1543,1418,2403,685,770,238,2445,922,191,10619,1339,1262,1597,637,809,282,1987,799,128,8828,475,336,286,138,198,99,397,196,62,2174,79,20,14,7,17,10,18,20,22,216,10,0,0,0,3,0,0,5,5,21,5721,7666,11110,3713,3632,1423,9750,5270,898,49183
RA55,0,0,0,0,0,0,0,3,0,10,0,10,21,12,0,0,0,31,0,71,11,60,106,20,4,0,19,80,0,297,19,93,212,16,11,0,58,116,10,516,29,100,183,6,23,0,63,77,10,486,27,57,93,12,9,0,32,32,4,267,8,10,10,0,0,0,4,7,0,40,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,96,324,627,58,45,6,172,344,23,1697
