RA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
RA50,11452,11437,22895,14008,13198,27211,134,74,209,31,15,45,1979,1683,3661,341021,302167,643186,18350,25436,43782,4924,150,5077,2509,255,2763,5255,1501,6754,8980,2236,11209,7182,7180,14365,415827,365331,781153,6767,6569,13338,9,7,25,0,4,5,4649,4227,8873,668,926,1591,500,190,683,12588,11927,24513,13,8,24,8,8,15,734,769,1504,456,884,1338,503,349,858,1718,2014,3732,3917,2102,6017,18228,16038,34262,2143,2550,4689,324,225,553,200,79,272,2663,2855,5520,34533,44553,79080,51624,66729,118351,2293,1608,3903,525160,497104,1022266
RA51,50,58,107,842,219,1063,8,5,13,0,0,3,66,67,135,34194,33178,67367,2610,2593,5202,799,40,838,179,20,199,428,156,592,1034,280,1314,1293,1161,2453,41511,37777,79289,15,9,28,0,0,0,0,0,0,71,89,166,0,6,13,0,0,0,94,107,205,0,0,0,0,0,0,248,69,319,23,24,48,47,9,50,315,99,411,511,218,728,923,424,1345,24,23,45,40,4,44,20,3,24,89,30,122,3210,4674,7885,6814,7265,14074,402,285,684,52940,50463,103406
RA52,8,15,23,763,235,999,16,0,18,0,0,0,85,99,176,29545,26477,56022,2354,2406,4767,739,34,774,245,44,289,348,125,474,628,208,838,1726,1479,3202,36466,31114,67581,0,6,5,0,0,0,0,0,0,16,6,27,0,0,4,0,0,0,20,15,35,0,0,0,0,0,0,100,26,124,22,14,36,21,11,30,143,48,185,378,204,589,541,268,814,0,6,8,25,6,29,38,10,49,67,18,89,3065,3541,6611,4373,4803,9173,351,263,610,44864,40008,84872
RA53,7,8,23,966,197,1168,12,3,19,0,6,5,55,37,93,16511,12668,29175,1669,1215,2880,450,14,462,237,68,304,317,206,524,696,197,895,1318,1316,2633,22243,15938,38182,3,5,10,0,0,0,0,0,0,10,8,14,0,0,0,0,0,0,18,11,26,0,0,0,0,0,0,35,20,49,12,15,22,38,5,39,81,35,118,323,122,447,416,169,589,8,0,14,21,0,21,39,9,43,67,12,79,1447,1817,3264,2815,2939,5758,244,158,405,27243,21028,48273
RA54,31,12,44,6240,1195,7429,13,4,15,0,0,0,83,17,97,10205,5635,15835,2845,1187,4034,547,45,601,100,31,133,210,197,407,3750,946,4696,2605,2697,5302,26633,11972,38599,8,10,18,0,0,0,0,0,0,7,4,10,0,0,3,0,0,0,19,15,32,0,0,0,0,0,0,63,31,95,47,7,60,319,70,392,433,110,542,779,216,987,1223,336,1560,21,5,20,282,55,340,75,15,93,377,84,461,749,885,1637,3286,3054,6341,362,221,580,32631,16550,49183
RA55,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
