RA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
RA50,220,185,218,288,81,48,66,6156,0,9,29,10,34,943,1157,767,128,114,120,80,31,14,78,3505,49,223,922,1026,2680,1024,3594,4569,232,213,286,395,251,110,220,15798,761,5419,4268,1077,484,394,846,1580,237,157,153,203,108,24,577,16287,7,26,23,82,307,764,1392,609,138,152,221,280,145,88,108,4338,0,3,4,109,354,462,2394,1477,233,243,203,280,73,22,130,5986,3,16,90,204,268,144,188,97,30,15,12,20,16,3,41,1150,63,207,1011,2397,6860,3181,7658,4403,1027,980,1040,939,563,74,566,30959,0,0,0,0,12,59,1010,859,320,390,595,630,233,18,65,4194,262,2666,646,473,677,385,794,388,54,74,61,98,45,16,172,6806,66,185,1658,5125,10003,8119,14230,11153,840,764,862,1030,510,456,1545,56546,38,155,537,664,646,525,354,158,41,23,28,34,16,8,93,3311,11,15,60,92,164,333,1451,2217,441,518,528,737,414,59,110,7155
RA51,3,0,0,0,0,0,37,98,0,0,0,0,6,10,7,10,4,0,0,0,0,0,21,67,4,19,77,102,157,58,177,217,13,7,9,10,4,0,26,871,77,370,190,27,7,8,43,78,12,10,10,17,12,0,69,930,4,0,7,4,5,30,56,41,0,5,3,9,4,3,0,183,0,0,0,3,4,15,73,68,17,3,14,25,8,0,11,235,0,0,8,10,6,8,10,4,0,0,0,0,3,0,16,61,4,12,55,50,65,37,65,68,18,28,34,12,8,0,34,485,0,0,0,0,0,0,22,21,15,12,10,5,0,0,5,95,33,351,97,70,87,59,90,49,4,3,9,4,3,0,22,890,16,29,262,826,1268,900,1401,778,50,88,49,57,43,28,386,6166,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,3,4,0,3,27,63,6,11,21,15,5,10,10,181
RA52,5,9,3,0,6,0,4,76,0,0,0,0,0,0,4,10,6,0,0,0,0,0,0,17,6,8,46,46,60,20,96,112,7,8,9,15,10,0,10,449,33,192,138,30,5,3,13,36,4,4,8,14,11,0,35,533,0,0,0,4,6,23,21,8,0,0,3,7,0,0,3,85,0,0,0,0,8,5,20,20,7,3,0,12,4,0,0,85,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,11,4,9,28,34,49,22,67,29,5,15,23,10,0,0,29,335,0,0,0,0,0,0,15,20,10,8,11,3,11,0,0,70,27,308,74,47,62,35,47,28,10,0,0,4,4,0,29,668,10,15,209,588,985,855,1353,784,71,89,92,99,32,35,267,5486,6,13,7,4,3,0,3,0,0,0,0,0,0,0,0,45,0,0,3,3,0,0,35,59,11,9,4,10,6,6,6,149
RA53,0,0,5,3,0,0,0,30,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,5,11,8,30,45,24,101,128,8,0,8,27,4,0,5,397,3,51,32,13,7,3,7,23,4,6,3,8,4,0,3,174,0,3,0,0,0,5,27,11,0,0,0,0,0,0,0,50,0,0,0,0,0,0,15,13,3,0,3,0,0,0,0,51,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,3,3,19,27,28,13,61,24,3,4,9,3,0,0,7,200,0,0,0,0,0,0,13,6,12,0,5,6,5,0,0,56,10,84,25,15,21,15,36,9,0,0,4,7,9,0,9,243,3,6,93,334,555,465,840,603,48,44,55,66,36,34,148,3341,0,0,4,9,8,9,6,0,0,0,0,0,0,0,0,33,0,3,4,0,0,7,16,32,0,0,4,0,0,0,0,71
RA54,0,0,3,0,0,0,0,66,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,20,0,11,21,22,64,38,144,175,9,7,18,57,20,0,8,595,11,40,28,6,8,3,29,62,9,3,9,27,9,0,12,262,0,0,0,0,6,3,8,9,0,0,11,11,3,3,4,57,0,0,0,0,3,9,23,11,0,0,0,13,4,0,0,66,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,18,0,6,14,30,39,25,73,26,12,17,13,15,3,0,5,274,0,0,0,0,0,0,7,6,0,6,3,7,0,0,0,36,5,119,29,22,27,14,21,11,8,3,8,7,4,0,0,288,0,12,98,379,652,626,1102,681,73,84,90,114,30,52,150,4140,0,0,5,3,13,8,4,0,0,0,0,0,0,0,0,33,0,0,0,0,0,3,11,13,8,5,0,0,0,3,0,47
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,13,14,27,37,27,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
