POW_SA2_CODE_2021,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_or_LR_15_24,F_M1_Tram_or_LR_25_34,F_M1_Tram_or_LR_35_44,F_M1_Tram_or_LR_45_54,F_M1_Tram_or_LR_55_64,F_M1_Tram_or_LR_65_74,F_M1_Tram_or_LR_75ov,F_M1_Tram_or_LR_Tot,F_M1_Taxi_or_RSS_15_24,F_M1_Taxi_or_RSS_25_34,F_M1_Taxi_or_RSS_35_44,F_M1_Taxi_or_RSS_45_54,F_M1_Taxi_or_RSS_55_64,F_M1_Taxi_or_RSS_65_74,F_M1_Taxi_or_RSS_75ov,F_M1_Taxi_or_RSS_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
501011001,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,9,0,3,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,32,44,45,46,21,199,20,13,20,15,19,14,8,98,3,4,0,0,3,4,0,9,114,173,223,230,230,123,43,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,89,164,117,114,27,0,551,13,10,4,8,3,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,0,0,9,0,0,0,0,0,5,0,6,12,6,9,17,20,0,5,72,77,107,186,139,135,38,3,677,0,0,0,0,0,0,0,0
501011003,0,0,0,0,0,0,0,0,0,8,4,5,3,0,0,24,0,8,4,5,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,42,85,81,63,13,317,71,40,46,33,44,22,5,262,6,5,6,4,3,0,0,22,377,419,533,524,457,193,38,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,284,373,374,216,44,5,1460,56,22,13,16,10,4,0,123,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,13,0,0,0,4,0,0,0,5,6,16,17,11,13,11,0,74,238,321,411,410,240,53,3,1677,0,0,0,0,0,0,0,0
501011004,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,10,4,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,45,49,45,43,5,197,53,31,29,32,34,17,0,202,4,3,4,0,6,0,0,18,279,342,415,404,321,147,11,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,237,410,405,267,66,4,1478,59,12,15,11,4,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,9,0,0,0,20,0,3,4,0,0,0,0,10,23,13,22,11,17,3,0,92,186,266,451,440,290,71,3,1713,0,0,0,0,0,0,0,0
501011293,0,0,0,0,0,0,0,0,7,3,0,3,3,0,0,19,10,4,0,3,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,14,3,0,0,3,0,0,0,13,6,3,19,25,23,20,4,94,89,20,41,35,36,28,6,264,4,3,5,0,0,0,0,9,462,388,461,575,470,200,26,2574,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,255,336,497,611,390,72,5,2174,110,12,16,22,6,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,5,4,4,0,24,0,0,0,0,0,0,0,3,10,9,9,3,7,8,0,39,382,364,534,647,419,83,8,2434,0,0,0,0,0,0,0,0
501011294,0,0,0,0,0,0,0,5,7,0,3,3,0,0,0,15,6,0,3,3,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,4,21,24,44,26,5,136,55,23,35,24,38,19,0,195,6,0,0,4,0,0,0,11,311,306,383,387,353,129,17,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,332,532,611,466,68,4,2217,73,22,23,22,21,6,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,10,0,0,15,0,0,0,0,4,0,0,5,13,15,19,15,11,8,0,77,296,366,576,651,510,80,9,2486,0,0,0,0,0,0,0,0
501021005,0,0,6,4,5,4,0,21,4,0,4,3,0,0,0,10,5,3,13,4,7,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,3,0,0,4,0,0,0,5,0,7,11,16,27,14,3,83,43,13,16,16,24,7,0,133,0,0,0,0,0,0,0,9,253,224,272,277,224,69,9,1330,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,228,342,343,225,31,0,1314,70,12,5,5,6,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,4,0,0,4,4,9,7,9,0,4,0,27,219,254,351,358,236,33,3,1456,0,0,0,0,0,0,0,0
501021007,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,9,0,8,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,9,15,25,25,7,84,15,7,10,12,6,5,0,55,0,3,0,0,0,0,0,3,93,110,138,159,142,65,8,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,64,84,113,63,10,0,402,12,3,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,5,5,3,3,10,0,0,23,73,65,91,131,76,14,0,451,0,0,0,0,0,0,0,0
501021008,0,3,0,0,0,0,0,3,0,3,0,6,0,0,0,11,0,6,0,6,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,8,5,9,0,0,21,30,26,24,39,35,13,0,164,5,3,4,3,0,0,0,11,134,180,224,254,239,58,4,1088,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,9,139,316,441,448,371,81,3,1792,41,19,16,17,18,3,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10,5,0,3,0,0,0,20,196,345,461,472,394,81,3,1958,0,0,0,0,0,0,0,0
501021009,5,4,8,7,3,0,0,26,3,8,19,7,3,0,0,39,8,9,26,15,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,3,9,46,48,83,114,139,106,15,0,503,4,0,0,3,0,4,0,16,303,505,727,791,582,114,17,3043,0,0,0,0,0,0,0,0,0,4,3,3,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,131,216,294,301,198,41,6,1181,41,23,3,20,15,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,10,7,0,8,4,0,0,37,184,253,306,331,227,42,3,1354,0,0,0,0,0,0,0,0
501021010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,12,20,7,58,10,9,11,16,22,9,0,76,0,0,0,0,0,0,0,7,134,188,221,235,247,70,21,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,45,80,64,56,13,0,307,6,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,14,57,45,80,75,61,14,4,341,0,0,0,0,0,0,0,0
501021011,0,6,0,3,0,0,0,6,6,4,4,0,0,0,0,11,4,4,4,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,8,0,3,5,0,0,0,0,8,5,7,9,6,3,0,0,24,30,35,22,24,40,10,7,162,3,0,0,0,0,0,0,8,481,627,615,644,525,137,14,3049,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,111,168,209,269,194,23,6,982,30,27,13,26,5,3,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,143,205,223,296,200,32,6,1100,0,0,0,0,0,0,0,0
501021012,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,12,6,0,39,35,13,4,4,9,4,0,72,0,0,0,0,0,0,0,4,189,124,113,86,94,40,4,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,142,181,240,246,170,30,0,1015,76,15,7,8,5,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,7,5,0,0,27,236,207,252,262,178,31,0,1165,0,0,0,0,0,0,0,0
501021014,12,38,47,26,20,3,0,143,10,6,5,4,3,0,0,31,17,39,57,30,28,3,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,10,0,6,9,0,0,0,0,12,8,8,19,18,41,39,18,143,26,26,43,41,34,23,0,196,0,4,0,0,5,0,0,17,330,607,701,601,568,187,38,3037,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,233,260,280,187,37,4,1138,41,52,18,16,8,5,0,134,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,12,8,0,0,0,0,30,11,5,9,11,5,15,0,60,201,303,306,316,204,46,4,1379,0,0,0,0,0,0,0,0
501021015,0,0,0,0,0,0,0,5,3,0,4,0,5,0,0,17,8,4,4,0,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,5,3,13,5,4,34,49,47,31,38,68,14,0,251,7,0,0,3,5,0,0,18,492,567,585,613,567,146,12,2979,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,184,244,342,359,259,60,0,1447,69,24,10,17,8,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,3,10,0,8,3,0,0,23,260,280,362,383,277,61,0,1619,0,0,0,0,0,0,0,0
501021016,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,13,15,3,55,19,26,44,57,69,13,0,230,0,3,4,0,0,0,6,16,156,249,301,419,353,76,18,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,75,115,147,90,13,0,505,4,7,6,3,0,0,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,3,3,26,77,83,126,152,99,20,3,564,0,0,0,0,0,0,0,0
501021251,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,5,5,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,4,6,0,34,32,0,5,4,3,0,0,47,0,0,0,0,0,0,0,3,133,83,85,79,67,24,5,469,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,71,117,158,89,18,4,525,21,6,0,9,7,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,96,77,129,163,94,18,0,592,0,0,0,0,0,0,0,0
501021252,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,9,12,0,30,3,8,6,0,8,4,0,37,0,0,0,0,0,0,0,0,59,65,75,75,69,30,3,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,15,39,58,30,5,0,166,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,18,21,42,64,33,5,0,186,0,0,0,0,0,0,0,0
501021253,0,7,0,3,0,0,0,11,8,4,6,3,3,0,0,29,12,12,7,6,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,9,0,5,5,8,0,0,0,16,7,18,37,32,26,27,3,151,117,64,56,61,74,25,4,399,9,6,10,7,3,0,0,38,703,778,815,869,744,254,39,4207,0,0,0,0,0,0,0,5,15,9,4,9,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,19,648,1008,1211,1354,868,173,10,5262,194,47,50,57,43,11,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,3,4,0,0,23,3,0,3,3,4,0,0,20,17,26,23,35,26,10,0,130,885,1096,1303,1461,940,195,9,5897,0,0,0,0,0,0,0,0
501021254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,11,5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,5,23,31,23,28,24,11,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,52,60,78,46,11,0,281,9,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,55,56,84,45,11,0,304,0,0,0,0,0,0,0,0
501031017,0,0,3,0,0,0,0,5,0,0,0,0,0,3,3,11,0,6,4,3,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,29,46,50,54,27,223,20,19,28,27,42,23,4,162,0,0,0,5,4,0,0,23,164,238,264,347,346,168,51,1590,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,87,156,211,182,41,3,743,29,9,5,10,7,5,0,61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,10,4,5,7,18,9,0,51,108,102,174,227,204,50,4,872,0,0,0,0,0,0,0,0
501031018,0,0,0,4,0,0,0,7,0,0,0,0,4,0,0,8,0,3,5,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,31,31,37,16,137,15,8,7,10,17,13,0,67,0,0,3,0,0,0,0,6,109,127,166,188,175,126,32,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,73,115,130,126,25,7,524,20,3,4,7,13,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,8,4,13,8,10,0,45,82,89,126,152,144,32,3,633,0,0,0,0,0,0,0,0
501031019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,22,13,7,63,23,16,15,21,23,9,3,109,4,0,3,0,3,3,0,11,208,219,219,261,306,113,19,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,151,206,262,251,43,3,1026,47,8,6,13,8,6,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,9,0,6,6,12,3,0,39,169,165,218,281,277,54,3,1155,0,0,0,0,0,0,0,0
501031020,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,6,17,31,43,54,15,177,13,11,9,11,22,18,5,84,0,3,3,0,5,0,0,12,111,129,150,217,243,158,41,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,83,129,120,35,3,461,14,15,4,13,7,6,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,9,6,18,14,17,23,6,6,92,61,97,107,156,158,46,5,631,0,0,0,0,0,0,0,0
502011021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,18,21,8,4,62,10,7,5,4,8,0,0,35,0,0,0,0,0,0,0,0,34,37,45,70,67,21,3,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,65,56,29,3,0,221,3,0,0,3,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,34,47,71,58,36,4,0,254,0,0,0,0,0,0,0,0
502011022,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,24,23,4,81,45,13,8,14,8,11,3,97,6,0,0,0,0,0,0,5,196,92,86,102,117,57,11,660,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,117,126,148,122,12,0,662,45,3,3,6,9,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,6,4,0,0,8,3,0,0,10,194,126,138,158,137,12,0,765,0,0,0,0,0,0,0,3
502011023,0,0,0,0,0,0,0,6,3,0,0,0,5,0,0,8,15,4,3,4,3,0,0,28,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,4,3,3,0,0,0,12,3,0,14,8,9,4,0,38,35,28,17,22,35,15,0,158,0,4,4,0,0,0,0,12,341,357,331,345,341,123,14,1852,0,5,0,4,0,0,0,9,13,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,197,372,487,577,449,71,0,2161,37,11,11,22,20,7,0,112,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,6,3,0,0,4,5,0,0,14,251,395,506,615,481,82,5,2332,0,0,0,0,0,0,0,6
