POW_SA2_CODE_2021,UOLSEWVW_IDNS_Bf_91,UOLSEWVW_IDNS_91_95,UOLSEWVW_IDNS_96_00,UOLSEWVW_IDNS_01_05,UOLSEWVW_IDNS_06_10,UOLSEWVW_IDNS_11_15,UOLSEWVW_IDNS_16_20,UOLSEWVW_IDNS_2021,UOLSEWVW_IDNS_NS,UOLSEWVW_IDNS_Tot,UOLSEWVW_Tot_Bf_91,UOLSEWVW_Tot_91_95,UOLSEWVW_Tot_96_00,UOLSEWVW_Tot_01_05,UOLSEWVW_Tot_06_10,UOLSEWVW_Tot_11_15,UOLSEWVW_Tot_16_20,UOLSEWVW_Tot_2021,UOLSEWVW_Tot_NS,UOLSEWVW_Tot_Tot,UOLSE_NWNA_AGFF_Bf_91,UOLSE_NWNA_AGFF_91_95,UOLSE_NWNA_AGFF_96_00,UOLSE_NWNA_AGFF_01_05,UOLSE_NWNA_AGFF_06_10,UOLSE_NWNA_AGFF_11_15,UOLSE_NWNA_AGFF_16_20,UOLSE_NWNA_AGFF_2021,UOLSE_NWNA_AGFF_NS,UOLSE_NWNA_AGFF_Tot,UOLSE_NWNA_Min_Bf_91,UOLSE_NWNA_Min_91_95,UOLSE_NWNA_Min_96_00,UOLSE_NWNA_Min_01_05,UOLSE_NWNA_Min_06_10,UOLSE_NWNA_Min_11_15,UOLSE_NWNA_Min_16_20,UOLSE_NWNA_Min_2021,UOLSE_NWNA_Min_NS,UOLSE_NWNA_Min_Tot,UOLSE_NWNA_Mnf_Bf_91,UOLSE_NWNA_Mnf_91_95,UOLSE_NWNA_Mnf_96_00,UOLSE_NWNA_Mnf_01_05,UOLSE_NWNA_Mnf_06_10,UOLSE_NWNA_Mnf_11_15,UOLSE_NWNA_Mnf_16_20,UOLSE_NWNA_Mnf_2021,UOLSE_NWNA_Mnf_NS,UOLSE_NWNA_Mnf_Tot,UOLSE_NWNA_EGWWS_Bf_91,UOLSE_NWNA_EGWWS_91_95,UOLSE_NWNA_EGWWS_96_00,UOLSE_NWNA_EGWWS_01_05,UOLSE_NWNA_EGWWS_06_10,UOLSE_NWNA_EGWWS_11_15,UOLSE_NWNA_EGWWS_16_20,UOLSE_NWNA_EGWWS_2021,UOLSE_NWNA_EGWWS_NS,UOLSE_NWNA_EGWWS_Tot,UOLSE_NWNA_Const_Bf_91,UOLSE_NWNA_Const_91_95,UOLSE_NWNA_Const_96_00,UOLSE_NWNA_Const_01_05,UOLSE_NWNA_Const_06_10,UOLSE_NWNA_Const_11_15,UOLSE_NWNA_Const_16_20,UOLSE_NWNA_Const_2021,UOLSE_NWNA_Const_NS,UOLSE_NWNA_Const_Tot,UOLSE_NWNA_WST_Bf_91,UOLSE_NWNA_WST_91_95,UOLSE_NWNA_WST_96_00,UOLSE_NWNA_WST_01_05,UOLSE_NWNA_WST_06_10,UOLSE_NWNA_WST_11_15,UOLSE_NWNA_WST_16_20,UOLSE_NWNA_WST_2021,UOLSE_NWNA_WST_NS,UOLSE_NWNA_WST_Tot,UOLSE_NWNA_RetT_Bf_91,UOLSE_NWNA_RetT_91_95,UOLSE_NWNA_RetT_96_00,UOLSE_NWNA_RetT_01_05,UOLSE_NWNA_RetT_06_10,UOLSE_NWNA_RetT_11_15,UOLSE_NWNA_RetT_16_20,UOLSE_NWNA_RetT_2021,UOLSE_NWNA_RetT_NS,UOLSE_NWNA_RetT_Tot,UOLSE_NWNA_AcFd_Bf_91,UOLSE_NWNA_AcFd_91_95,UOLSE_NWNA_AcFd_96_00,UOLSE_NWNA_AcFd_01_05,UOLSE_NWNA_AcFd_06_10,UOLSE_NWNA_AcFd_11_15,UOLSE_NWNA_AcFd_16_20,UOLSE_NWNA_AcFd_2021,UOLSE_NWNA_AcFd_NS,UOLSE_NWNA_AcFd_Tot,UOLSE_NWNA_TPW_Bf_91,UOLSE_NWNA_TPW_91_95,UOLSE_NWNA_TPW_96_00,UOLSE_NWNA_TPW_01_05,UOLSE_NWNA_TPW_06_10,UOLSE_NWNA_TPW_11_15,UOLSE_NWNA_TPW_16_20,UOLSE_NWNA_TPW_2021,UOLSE_NWNA_TPW_NS,UOLSE_NWNA_TPW_Tot,UOLSE_NWNA_IMT_Bf_91,UOLSE_NWNA_IMT_91_95,UOLSE_NWNA_IMT_96_00,UOLSE_NWNA_IMT_01_05,UOLSE_NWNA_IMT_06_10,UOLSE_NWNA_IMT_11_15,UOLSE_NWNA_IMT_16_20,UOLSE_NWNA_IMT_2021,UOLSE_NWNA_IMT_NS,UOLSE_NWNA_IMT_Tot,UOLSE_NWNA_FinIns_Bf_91,UOLSE_NWNA_FinIns_91_95,UOLSE_NWNA_FinIns_96_00,UOLSE_NWNA_FinIns_01_05,UOLSE_NWNA_FinIns_06_10,UOLSE_NWNA_FinIns_11_15,UOLSE_NWNA_FinIns_16_20,UOLSE_NWNA_FinIns_2021,UOLSE_NWNA_FinIns_NS,UOLSE_NWNA_FinIns_Tot,UOLSE_NWNA_RHRE_Bf_91,UOLSE_NWNA_RHRE_91_95,UOLSE_NWNA_RHRE_96_00,UOLSE_NWNA_RHRE_01_05,UOLSE_NWNA_RHRE_06_10,UOLSE_NWNA_RHRE_11_15,UOLSE_NWNA_RHRE_16_20,UOLSE_NWNA_RHRE_2021,UOLSE_NWNA_RHRE_NS,UOLSE_NWNA_RHRE_Tot,UOLSE_NWNA_ProSTS_Bf_91,UOLSE_NWNA_ProSTS_91_95,UOLSE_NWNA_ProSTS_96_00,UOLSE_NWNA_ProSTS_01_05,UOLSE_NWNA_ProSTS_06_10,UOLSE_NWNA_ProSTS_11_15,UOLSE_NWNA_ProSTS_16_20,UOLSE_NWNA_ProSTS_2021,UOLSE_NWNA_ProSTS_NS,UOLSE_NWNA_ProSTS_Tot,UOLSE_NWNA_AdSup_Bf_91,UOLSE_NWNA_AdSup_91_95,UOLSE_NWNA_AdSup_96_00,UOLSE_NWNA_AdSup_01_05,UOLSE_NWNA_AdSup_06_10,UOLSE_NWNA_AdSup_11_15,UOLSE_NWNA_AdSup_16_20,UOLSE_NWNA_AdSup_2021,UOLSE_NWNA_AdSup_NS,UOLSE_NWNA_AdSup_Tot,UOLSE_NWNA_PubAS_Bf_91,UOLSE_NWNA_PubAS_91_95,UOLSE_NWNA_PubAS_96_00,UOLSE_NWNA_PubAS_01_05,UOLSE_NWNA_PubAS_06_10,UOLSE_NWNA_PubAS_11_15,UOLSE_NWNA_PubAS_16_20,UOLSE_NWNA_PubAS_2021,UOLSE_NWNA_PubAS_NS,UOLSE_NWNA_PubAS_Tot,UOLSE_NWNA_EdTrn_Bf_91,UOLSE_NWNA_EdTrn_91_95,UOLSE_NWNA_EdTrn_96_00,UOLSE_NWNA_EdTrn_01_05,UOLSE_NWNA_EdTrn_06_10,UOLSE_NWNA_EdTrn_11_15,UOLSE_NWNA_EdTrn_16_20,UOLSE_NWNA_EdTrn_2021,UOLSE_NWNA_EdTrn_NS,UOLSE_NWNA_EdTrn_Tot,UOLSE_NWNA_HC_SA_Bf_91,UOLSE_NWNA_HC_SA_91_95,UOLSE_NWNA_HC_SA_96_00,UOLSE_NWNA_HC_SA_01_05,UOLSE_NWNA_HC_SA_06_10,UOLSE_NWNA_HC_SA_11_15,UOLSE_NWNA_HC_SA_16_20,UOLSE_NWNA_HC_SA_2021,UOLSE_NWNA_HC_SA_NS,UOLSE_NWNA_HC_SA_Tot,UOLSE_NWNA_ArtsR_Bf_91,UOLSE_NWNA_ArtsR_91_95,UOLSE_NWNA_ArtsR_96_00,UOLSE_NWNA_ArtsR_01_05,UOLSE_NWNA_ArtsR_06_10,UOLSE_NWNA_ArtsR_11_15,UOLSE_NWNA_ArtsR_16_20,UOLSE_NWNA_ArtsR_2021,UOLSE_NWNA_ArtsR_NS,UOLSE_NWNA_ArtsR_Tot
501011001,0,0,0,0,0,0,0,0,0,3,10,0,8,12,29,35,46,0,5,144,0,0,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501011003,0,0,0,4,3,0,0,0,0,16,27,10,13,20,76,107,125,0,8,395,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
501011004,0,0,0,7,0,3,6,0,4,14,22,9,22,31,85,97,93,3,5,361,0,0,0,0,0,0,0,0,46,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501011293,0,0,0,0,0,0,0,0,0,8,17,9,17,21,63,73,43,0,0,249,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501011294,0,0,0,0,5,0,3,0,0,11,15,8,6,35,114,96,73,0,0,343,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0
501021005,0,0,0,0,4,5,0,0,0,13,8,6,8,17,62,67,27,0,0,196,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021007,0,0,0,0,0,0,0,0,0,0,4,3,3,9,17,10,10,0,0,63,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021008,0,0,0,0,0,0,0,0,0,6,22,9,19,37,95,125,94,5,9,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021009,0,0,0,0,4,0,0,0,0,6,19,0,9,12,61,50,19,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021010,0,0,0,0,0,0,0,0,0,4,0,4,3,4,19,14,17,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
