POW_SA2_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
501011001,0,0,0,0,4,0,6,0,10,0,0,0,0,0,0,3,0,4,0,0,5,5,0,0,4,0,20,0,0,0,0,5,3,10,7,23,0,0,4,0,7,3,9,3,34,0,0,6,0,8,12,17,3,44,0,0,5,7,3,11,8,0,35,0,3,11,14,12,19,12,7,76,0,0,16,17,17,22,14,5,88,0,0,7,10,15,10,7,5,55,0,0,0,8,12,19,6,0,44,0,0,4,6,8,8,3,0,35,0,0,4,10,10,13,4,0,40,0,0,0,0,0,3,0,0,5,0,0,0,0,6,11,5,0,22,0,0,0,0,3,4,0,0,12,0,11,63,93,125,136,102,37,564,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,7,0,0,3,3,7,9,0,0,14,0,0
501011003,0,0,0,8,8,5,4,0,22,0,0,0,0,0,3,0,0,5,4,0,0,0,0,7,0,3,17,0,3,4,3,11,0,4,0,22,0,0,0,7,8,6,3,4,19,0,0,9,12,13,13,17,0,62,0,0,11,16,5,15,7,5,60,0,3,19,23,23,19,12,0,105,0,8,37,38,35,29,9,0,162,0,3,28,46,33,21,9,0,144,0,0,19,22,24,24,9,0,91,0,0,9,22,31,14,6,5,89,0,0,18,34,44,29,4,0,123,0,0,3,16,10,8,4,0,41,0,0,0,12,26,21,8,4,70,0,0,3,0,0,4,5,0,15,4,18,152,269,255,218,98,29,1044,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,10,0,0,0,3,4,0,0,0,9,0,0,0,3,5,7,0,0,18,0,0,5,7,6,3,0,0,19,0,0
501011004,0,0,0,0,3,0,0,0,5,0,0,3,0,4,0,3,0,9,0,0,0,4,0,0,0,0,8,0,0,0,3,0,0,4,0,8,0,0,0,3,4,0,4,0,14,0,0,0,5,10,9,5,0,28,0,0,4,13,12,9,4,0,34,0,7,19,22,20,7,3,0,83,0,0,20,30,25,12,17,0,106,0,0,10,29,25,15,0,0,73,0,0,11,22,24,5,3,3,74,0,0,0,13,18,7,8,0,42,0,0,3,24,20,19,10,0,80,0,0,0,3,15,4,4,0,24,0,0,0,5,5,9,5,0,18,0,0,0,0,0,0,0,0,9,4,14,76,176,185,95,62,0,612,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,6,0,0,0,5,8,0,0,0,16,0,0,3,8,0,0,0,0,20,0,0,9,8,3,7,9,0,25,0,0
501011293,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,8,0,0,3,0,5,4,0,0,6,0,0,0,0,0,8,6,0,17,0,4,3,5,0,5,4,0,31,0,3,4,7,12,8,3,0,41,0,10,14,6,8,9,7,0,66,0,7,20,18,14,19,6,0,92,0,0,10,21,21,18,6,0,83,0,0,3,25,24,5,5,0,64,0,0,9,11,21,14,4,0,52,0,0,9,25,29,19,4,0,93,0,0,0,9,8,3,0,0,23,0,0,4,7,14,7,8,0,30,0,0,3,0,0,0,0,0,7,4,30,87,146,171,126,54,8,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,3,4,4,4,0,0,0,17,0,0,0,6,0,4,0,0,18,0,0
501011294,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,6,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,3,0,8,0,0,10,5,0,7,0,0,19,0,0,0,9,4,11,3,0,36,0,0,3,6,14,4,8,0,31,0,0,11,10,12,9,0,0,38,0,6,16,16,20,18,7,0,79,0,0,13,9,12,19,3,0,59,0,0,8,16,15,6,0,0,55,0,0,8,12,9,12,4,0,48,0,0,0,15,21,11,4,0,57,0,0,0,5,6,5,4,0,13,0,0,0,0,4,12,0,0,22,0,0,0,0,0,0,0,0,4,3,9,75,115,119,122,43,5,490,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,5,3,4,0,0,10,0,0,4,5,3,5,3,0,18,0,3,3,7,6,3,3,0,18,0,0
501021005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,12,0,4,3,7,0,0,0,0,18,0,4,7,5,0,3,0,0,25,0,4,16,11,3,10,0,0,38,0,0,8,4,3,5,0,0,28,0,0,0,6,8,0,0,0,21,0,0,4,8,7,6,0,0,25,0,0,0,14,13,17,0,0,43,0,0,0,3,4,7,0,0,8,0,0,0,5,9,4,3,0,23,0,0,0,0,0,0,0,0,3,4,13,43,77,58,56,13,5,269,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,13,0,0,0,4,3,0,0,0,13,0,0,4,5,0,4,0,0,15,0,0,4,4,4,3,0,0,16,0,0
501021007,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,10,0,10,0,0,0,0,0,0,6,0,9,0,0,0,3,6,3,0,0,9,0,0,5,0,0,5,4,5,18,0,0,5,3,4,6,6,0,28,0,0,0,7,3,0,0,0,24,0,0,0,0,10,9,0,0,24,0,0,6,5,5,6,0,0,21,0,0,5,5,6,5,0,0,22,0,0,0,11,8,8,10,0,41,0,0,0,0,0,5,0,0,10,0,0,0,0,4,5,6,0,15,0,0,0,0,0,8,0,0,8,6,9,24,45,60,68,46,11,255,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,5,0,0,0,3,4,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0
501021008,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,6,0,5,0,0,0,5,0,0,10,0,0,3,5,3,0,0,0,12,0,0,0,4,7,4,0,0,15,0,0,4,5,0,0,0,0,12,0,0,3,4,3,5,0,0,13,0,0,3,13,23,16,6,0,62,0,0,0,0,4,9,0,0,11,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,18,40,49,51,8,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,5,5,0,0,0,17,0,0,3,5,5,6,0,0,13,0,0,3,6,0,8,4,0,17,0,3
501021009,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,10,0,0,0,5,4,5,0,0,17,0,0,4,0,4,7,3,0,21,0,0,3,6,3,0,0,0,20,0,0,4,8,0,9,6,0,31,0,0,0,3,4,13,0,0,19,0,0,6,3,5,0,5,0,26,0,0,3,3,12,10,0,0,26,0,0,7,33,28,17,7,0,83,0,0,0,7,16,11,4,0,31,0,0,12,19,28,14,0,0,73,0,0,0,0,0,0,0,0,3,0,0,47,89,114,85,25,10,373,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,6,0,0,0,0,0,8,0,0,3,0,0,0,0,0,5,0,0
501021010,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,4,0,8,0,0,0,5,0,0,9,0,9,0,0,0,0,4,0,4,0,7,0,0,0,0,0,4,0,0,9,0,0,0,0,0,4,9,0,24,0,0,0,3,0,0,0,0,10,0,0,0,5,8,7,3,0,21,0,0,4,5,14,8,3,3,32,0,0,6,6,5,9,3,0,23,0,0,0,0,6,3,0,0,22,0,0,0,0,10,4,0,3,26,0,0,9,15,19,16,3,0,57,0,0,0,0,5,6,7,0,14,0,0,0,0,10,7,0,3,22,0,0,0,0,0,0,0,0,10,0,0,25,43,81,67,36,16,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,9,0,0,0,4,5,0,0,0,14,0,0,5,5,4,0,0,0,15,0,5,9,10,18,9,3,0,48,0,3,10,9,3,8,3,0,38,0,0,9,23,23,15,7,0,68,0,0,8,15,23,17,0,0,57,0,0,6,30,35,25,6,0,105,0,0,3,6,14,12,0,0,35,0,0,0,11,20,11,5,0,46,0,0,0,0,0,0,0,0,0,0,8,45,119,149,102,26,3,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
501021012,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,3,0,4,5,0,12,0,4,5,5,4,0,0,0,18,0,3,5,8,5,3,0,0,29,0,0,15,4,8,0,0,0,29,0,0,3,6,3,0,0,0,14,0,3,0,13,4,3,0,0,23,0,0,0,6,6,6,0,0,11,0,0,3,8,12,8,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,9,0,0,0,0,0,0,0,0,3,0,10,39,47,50,26,13,6,187,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,8,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,14,0,0
501021014,0,0,0,0,7,6,4,0,12,3,0,0,5,3,3,5,3,20,0,0,0,6,6,0,5,0,17,3,0,0,3,5,3,5,6,21,0,0,0,4,4,8,3,3,20,0,0,0,8,7,12,9,5,39,0,0,4,3,5,7,3,0,28,0,0,7,4,8,3,11,3,40,0,4,12,11,7,12,10,0,63,0,0,4,11,10,12,9,0,41,0,0,5,10,17,10,6,6,51,0,0,7,12,14,22,3,0,57,0,0,6,29,21,21,11,4,88,0,0,4,10,13,8,0,4,42,0,0,0,15,24,17,3,3,63,0,0,0,0,0,0,4,0,10,11,12,54,124,147,141,99,38,619,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,10,0,0,0,3,0,3,0,0,10,0,0,3,0,0,0,0,0,12,0,0
501021015,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,5,5,3,0,0,0,22,0,4,12,7,6,12,0,0,39,0,5,15,10,19,10,0,0,63,0,0,15,15,12,14,3,0,61,0,0,6,13,14,24,0,0,54,0,0,9,16,16,14,0,0,49,0,0,7,24,31,17,3,0,90,0,0,0,8,16,7,0,0,34,0,0,4,11,17,14,6,0,54,0,0,0,0,0,0,0,0,4,4,14,76,110,139,121,22,4,498,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,3,0,0,10,0,0,7,4,0,0,0,0,6,0,0
501021016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,4,3,0,4,14,0,0,0,4,5,3,3,0,10,0,0,0,5,0,0,0,0,13,0,0,3,5,6,0,4,0,24,0,0,5,9,4,3,5,0,23,0,0,3,6,9,0,0,0,18,0,0,0,0,4,0,3,0,10,0,0,3,12,10,4,0,0,39,0,0,0,4,9,8,0,0,15,0,0,3,7,21,9,0,0,45,0,0,0,0,0,0,0,0,0,0,3,17,42,73,40,22,16,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
501021251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,13,0,0,0,3,0,0,0,0,14,0,0,3,0,0,5,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,4,0,0,0,5,8,3,0,0,12,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,15,20,23,17,3,0,87,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,0,7,0,0,0,3,0,3,0,0,7,0,3
501021252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,3,0,8,0,0,7,0,0,5,0,5,4,0,0,9,0,0,0,3,5,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,6,3,5,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,20,24,5,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
501021253,0,0,0,3,0,5,0,0,10,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,7,0,3,4,3,0,17,0,3,5,5,14,8,5,0,37,0,0,9,13,21,11,4,0,62,0,13,31,15,14,11,7,0,87,0,12,31,28,23,18,7,0,128,0,0,31,27,27,24,3,0,127,0,3,10,28,35,30,6,3,115,0,0,15,22,40,24,3,0,100,0,0,21,61,93,53,6,3,243,0,0,4,15,24,22,3,0,67,0,0,3,16,28,17,12,0,76,0,0,0,3,3,0,0,0,5,8,41,177,244,324,226,64,15,1099,0,0,0,5,0,0,0,0,7,9,0,0,0,4,4,0,0,12,5,0,0,0,0,0,3,0,15,0,0,3,5,3,0,3,0,27,3,3,9,10,4,9,0,0,45,0,7
501021254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,6,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
501031017,0,0,0,0,13,8,11,0,37,0,0,0,0,3,0,3,5,12,0,0,5,3,4,6,8,6,34,0,0,4,6,3,11,3,0,28,0,0,0,0,9,7,10,4,31,0,0,0,7,3,10,9,9,32,0,0,0,5,9,11,15,7,50,0,0,3,12,17,10,19,4,65,0,0,9,18,21,18,16,3,80,0,0,4,5,0,14,6,3,39,0,0,11,7,12,9,0,0,43,0,0,3,4,15,7,3,0,38,0,0,0,14,18,13,7,0,51,0,0,0,0,4,10,5,0,20,0,0,0,8,11,15,10,4,49,0,0,0,0,3,0,0,0,5,0,10,44,91,154,148,117,46,626,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,11,0,0,0,3,4,3,0,0,10,0,0
501031018,0,0,0,0,6,6,4,0,21,0,0,0,0,0,0,9,0,14,0,0,3,5,5,3,3,7,25,0,0,0,3,5,7,4,0,19,0,0,0,3,12,3,3,4,21,0,0,0,5,7,5,14,3,39,0,0,0,5,11,13,12,0,51,0,0,3,7,5,9,8,3,34,0,0,3,5,8,17,12,0,51,0,3,5,5,15,6,3,0,44,0,0,3,4,7,4,0,0,25,0,0,6,5,9,6,6,0,31,0,0,0,14,13,9,6,4,42,0,0,0,0,7,0,0,0,8,0,0,3,0,8,4,3,3,23,0,0,0,0,0,6,0,0,6,3,11,34,70,115,104,88,33,454,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,6,0,3,0,0
501031019,0,0,0,4,0,4,0,0,12,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,5,0,0,3,0,0,3,6,0,18,0,0,3,4,5,4,5,0,21,0,3,0,0,0,15,6,0,26,0,0,3,9,5,16,9,0,42,0,0,4,10,9,7,0,0,37,0,0,6,15,9,8,0,0,51,0,0,4,15,20,9,5,0,54,0,0,6,6,7,11,0,5,27,0,0,0,11,30,20,9,0,67,0,0,0,8,0,0,0,0,6,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,3,0,7,0,6,33,89,100,101,53,15,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,9,0,0
501031020,0,0,0,0,7,11,4,0,34,0,0,0,5,0,0,0,0,10,0,0,0,0,4,3,8,3,22,0,0,3,6,0,11,6,4,35,0,4,3,0,5,4,11,0,29,0,0,8,8,11,6,13,4,64,0,4,5,8,13,5,9,4,49,0,0,13,12,15,19,11,3,78,0,0,15,14,30,22,8,4,94,0,0,3,10,18,15,3,3,52,0,0,8,13,10,6,12,0,52,0,0,5,3,14,10,6,0,40,0,0,4,7,18,13,4,3,47,0,0,5,3,6,6,6,3,15,0,0,4,0,3,5,6,0,24,0,0,0,0,4,3,3,0,11,9,13,73,95,149,152,131,46,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,5,3,0,0,11,0,0
502011021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,8,0,0,0,0,0,3,0,0,10,0,0,0,4,0,0,0,0,9,0,0,4,0,0,3,0,0,9,0,0,0,0,5,0,0,0,3,0,0,0,3,4,4,0,0,9,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,11,24,24,19,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,0,0,7,0,0
502011022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,3,0,13,0,0,0,8,3,5,5,0,21,0,0,3,0,4,3,5,0,18,0,4,0,12,12,4,0,0,31,0,0,10,7,3,9,0,0,29,0,0,0,4,4,5,3,0,18,0,0,0,0,3,4,4,0,16,0,0,0,4,4,10,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,9,3,26,36,39,50,18,0,186,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,8,0,0
502011023,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,0,0,6,0,0,0,0,4,0,0,0,6,0,3,4,0,3,0,0,0,13,0,4,0,3,0,0,0,0,7,0,0,0,0,0,4,0,0,8,0,0,3,5,3,0,0,0,19,0,8,3,9,4,0,0,0,29,0,3,10,12,13,11,0,0,50,0,0,13,11,9,13,0,0,41,0,4,8,12,14,14,0,0,46,0,0,8,11,8,4,0,0,32,0,0,8,21,22,21,4,0,75,0,0,0,8,7,6,0,0,17,0,0,0,3,11,8,0,0,19,0,0,0,0,0,0,0,0,3,3,22,57,86,104,84,20,0,377,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,3,0,0,0,0,0,11,0,0,4,5,0,0,0,0,14,0,0,3,10,3,0,3,0,25,0,4
502011024,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,13,0,0,0,0,0,3,0,0,9,0,0,0,5,0,4,0,0,14,0,0,5,5,4,0,0,0,18,0,3,9,7,8,0,0,0,27,0,0,6,5,6,0,10,0,36,0,0,8,4,5,12,3,0,36,0,0,4,10,3,8,0,0,20,0,0,3,3,6,0,0,0,14,0,0,4,3,14,14,6,0,40,0,0,0,0,0,3,3,0,10,0,0,0,0,3,9,0,0,13,0,0,0,0,0,0,0,0,0,0,16,46,55,65,52,20,0,257,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,15,0,0,3,6,0,3,0,0,16,0,0
