POW_SA2_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
501011001,50,18,39,3,17,3,12,27,4,179,45,16,18,8,11,11,15,18,0,137,29,17,9,4,5,3,3,9,0,84,43,20,16,4,0,0,10,7,3,110,5,9,0,0,0,0,0,0,0,22,26,10,5,0,5,0,0,0,0,49,12,0,0,0,0,0,0,0,0,24,545,203,290,167,174,156,101,387,27,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501011003,144,71,127,19,52,18,22,58,5,513,90,54,77,11,48,25,10,32,0,341,88,53,47,6,18,15,7,19,3,252,117,87,48,6,15,11,14,6,0,314,39,26,5,0,6,10,0,4,3,96,66,44,7,0,3,17,5,4,0,147,15,8,7,7,3,0,0,15,0,49,1030,586,824,500,471,505,161,779,37,4893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501011004,68,56,75,32,32,23,15,30,6,326,64,70,62,14,18,18,11,14,3,271,38,48,35,12,11,6,3,6,0,155,74,67,30,5,11,12,8,10,3,217,20,13,5,0,7,0,0,0,0,49,19,41,0,0,6,9,5,0,0,79,0,4,4,6,0,3,0,0,0,25,563,527,616,505,338,459,130,508,24,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
501011293,76,79,111,24,52,40,49,28,4,462,54,68,73,17,46,29,35,18,8,338,41,69,44,10,23,14,15,8,6,221,69,121,47,11,19,25,15,8,0,310,18,21,14,3,7,13,3,6,0,79,28,55,8,0,0,9,0,0,0,98,3,5,4,10,0,12,3,8,4,50,540,667,789,595,548,905,370,575,51,5043,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0
501011294,59,86,96,47,39,22,18,21,3,394,53,87,64,21,23,14,17,9,5,282,41,93,39,8,17,11,7,12,0,221,42,112,37,12,19,10,7,9,6,257,12,27,5,0,0,3,0,0,0,55,15,63,8,0,5,3,3,6,0,104,4,3,3,9,4,5,0,4,0,34,458,734,627,838,446,395,120,563,35,4223,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
501021005,19,26,49,21,25,11,13,19,4,189,23,34,41,14,16,13,19,12,3,177,19,43,52,3,9,17,14,17,0,169,28,82,78,7,7,0,19,17,5,248,9,19,19,0,3,0,5,4,0,56,23,26,15,0,0,0,0,0,0,67,0,0,4,4,4,0,0,5,0,27,236,370,476,421,241,381,167,344,33,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
501021007,21,12,17,0,5,0,17,17,0,97,16,11,21,0,9,0,21,10,0,91,15,11,25,0,7,0,26,5,0,93,35,22,48,0,11,4,30,9,0,151,8,10,12,0,0,0,3,0,0,30,15,18,0,0,0,0,0,0,5,37,9,0,0,0,0,0,0,0,0,17,241,111,237,74,111,62,141,187,18,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021008,14,100,13,31,29,11,3,3,0,199,6,119,19,20,16,5,5,8,0,195,8,77,6,4,4,0,5,0,0,111,23,107,16,0,3,0,6,3,0,158,6,24,9,0,0,0,0,0,0,41,6,55,13,0,3,0,0,0,0,79,0,0,3,5,0,0,0,3,0,15,97,694,188,365,186,199,55,206,12,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5
501021009,12,17,65,13,31,4,91,41,6,278,20,24,103,5,27,7,137,37,0,361,24,32,134,0,14,6,162,45,10,417,65,145,509,8,27,3,286,62,24,1128,28,55,144,0,12,0,24,0,7,280,72,38,104,4,4,4,16,0,9,248,3,3,10,5,0,0,3,4,7,39,336,389,1290,269,261,239,856,499,71,4214,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,9,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,7,0,0,6,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9
501021010,20,8,33,0,26,3,75,18,0,177,22,12,37,0,11,9,81,11,0,179,26,13,50,0,6,0,64,6,3,171,49,24,61,0,14,4,61,7,4,221,14,6,4,0,0,0,5,0,0,28,22,4,0,0,0,0,3,0,0,31,10,0,6,0,0,0,0,3,0,19,274,95,292,43,147,44,406,199,17,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021011,38,30,158,22,58,18,76,100,5,514,64,31,127,12,30,10,66,49,5,404,50,18,104,3,16,16,40,22,6,274,90,55,137,0,33,6,40,22,7,395,33,11,25,0,3,0,3,4,0,89,46,9,23,0,11,5,0,0,5,93,0,3,6,0,0,0,0,3,6,19,418,218,1030,166,523,139,571,904,56,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
501021012,12,23,16,17,15,7,4,10,0,102,23,15,13,4,3,6,8,7,0,72,14,11,10,7,0,0,0,8,0,45,6,28,10,0,0,0,0,5,0,54,0,5,3,0,0,0,0,0,0,20,11,12,0,0,0,4,0,0,0,28,3,0,5,3,0,4,0,5,4,20,159,199,178,350,141,418,61,310,13,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021014,39,38,85,11,47,0,94,90,7,407,49,40,105,9,33,9,84,94,9,423,47,21,114,16,13,6,75,77,5,366,68,72,304,4,24,4,131,79,11,706,40,37,56,3,9,3,17,14,6,178,63,44,44,0,5,0,8,6,0,171,10,0,9,0,0,0,0,12,0,41,566,357,978,228,312,151,568,1087,76,4312,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
501021015,56,58,139,16,57,21,99,42,0,496,47,51,109,10,39,14,95,29,0,398,43,49,102,8,29,13,100,22,6,374,78,87,167,9,34,8,166,32,5,580,27,9,30,0,4,3,7,13,5,94,54,8,17,0,9,4,5,0,0,96,4,0,3,0,4,5,3,0,7,28,457,383,947,277,425,621,708,601,45,4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
501021016,13,9,34,7,20,7,50,22,0,164,18,8,47,3,16,4,56,11,0,177,8,16,64,3,10,3,96,20,3,218,32,70,247,3,15,4,218,33,13,632,15,33,65,0,0,0,23,5,3,150,45,23,23,0,3,0,16,3,0,120,0,0,9,5,0,0,3,3,4,24,207,193,653,125,154,73,542,219,36,2201,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
501021251,15,20,16,8,3,0,0,13,0,88,3,21,14,9,4,0,3,5,0,55,4,25,5,3,5,5,3,0,0,41,7,30,11,0,3,4,0,0,0,55,4,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,77,157,101,162,74,151,30,215,11,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021252,9,10,15,4,8,0,11,12,0,72,9,18,12,0,0,0,12,3,0,60,4,13,8,0,0,4,4,0,0,41,17,44,9,0,4,0,4,0,0,85,3,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,75,123,142,34,56,40,64,72,8,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021253,114,207,137,130,139,58,29,29,9,846,89,215,103,58,90,42,37,31,10,669,83,143,69,27,48,20,19,22,3,427,164,276,93,23,58,40,41,23,0,711,50,55,10,9,13,16,0,0,0,146,63,158,18,4,18,24,4,6,4,306,6,9,13,6,3,6,0,12,3,56,905,1685,1177,1486,1409,1317,311,827,69,9187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,7,5,0,0,3,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4
501021254,6,5,3,3,6,0,0,0,0,25,0,12,4,5,5,0,0,0,0,26,0,9,0,0,0,4,0,0,0,13,0,18,6,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,30,85,47,108,30,41,3,42,4,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501031017,34,15,32,6,27,4,58,17,0,200,38,22,51,0,15,5,60,24,4,218,33,24,32,8,8,0,63,18,0,184,48,72,90,0,17,9,54,29,4,312,16,12,24,0,6,0,7,6,0,68,48,9,17,0,3,0,0,5,0,95,5,0,10,0,0,0,0,0,0,22,584,242,414,172,207,168,337,335,19,2479,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501031018,43,13,24,3,14,6,22,13,0,137,25,7,17,3,10,0,12,7,0,90,30,12,9,0,3,3,11,3,0,79,35,14,19,3,0,0,13,9,3,105,8,5,5,0,0,0,6,4,0,25,24,14,5,0,0,0,0,0,4,47,6,0,5,0,0,0,0,4,0,20,428,137,216,137,142,110,132,307,13,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501031019,44,20,46,9,22,5,32,28,0,215,46,15,41,7,13,9,34,12,0,175,21,8,14,0,10,5,15,6,0,87,40,31,15,0,3,3,12,5,0,117,5,4,0,0,0,0,0,0,0,16,10,13,0,0,0,5,0,0,0,31,7,0,0,4,0,8,4,0,0,21,333,162,328,236,249,256,214,402,19,2194,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
501031020,53,20,20,3,8,4,13,16,0,130,51,9,15,0,6,0,12,5,0,92,35,16,7,0,0,0,8,5,0,72,43,10,8,3,0,0,8,3,0,83,12,0,0,0,0,0,0,3,0,16,24,3,0,0,0,0,0,3,0,34,11,0,3,0,0,0,4,0,0,28,636,113,146,118,118,99,96,395,20,1734,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502011021,9,7,12,3,8,0,4,7,0,42,11,12,13,6,6,0,0,4,0,44,3,4,4,5,3,0,6,0,0,25,4,15,13,0,4,0,3,0,0,45,7,0,3,0,0,0,0,0,0,18,4,10,0,0,5,0,0,0,0,17,0,0,0,5,0,0,0,0,0,11,76,90,124,79,79,45,28,64,5,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502011022,23,14,21,22,6,3,4,11,0,110,18,18,12,16,3,7,0,8,0,77,13,6,10,7,4,3,6,9,0,60,14,22,12,7,8,3,3,3,0,73,4,6,0,0,0,4,0,0,0,16,5,13,4,3,0,5,3,4,0,37,0,0,0,4,0,0,0,0,0,15,178,161,245,343,155,268,37,230,12,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502011023,39,111,87,39,50,25,28,20,0,409,43,143,65,20,18,16,11,7,0,328,27,82,34,8,13,4,5,5,0,182,57,120,49,5,21,9,6,13,4,283,17,26,3,0,0,0,9,0,0,58,21,76,7,0,0,5,0,0,0,113,3,5,7,9,4,6,0,0,0,31,347,873,643,614,478,463,266,446,32,4171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5
502011024,35,25,38,21,11,17,0,4,0,160,19,34,17,5,12,9,8,0,0,108,14,28,17,8,5,3,7,0,0,82,24,67,24,0,14,7,7,0,4,151,10,16,3,0,0,5,0,4,0,36,13,45,5,0,4,0,0,0,3,70,0,0,0,4,0,4,0,0,4,21,227,370,349,460,253,579,84,291,28,2637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
