SAL_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,6,0,0,0,0,17,0,0
SAL50002,0,0,0,3,7,0,0,0,10,0,4,5,4,0,4,0,0,15,0,4,16,6,17,10,0,0,58,0,0,4,7,4,9,3,0,32,20,27,23,39,23,29,3,0,156,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,22,27,27,37,19,33,8,4,174,0,0,0,0,0,0,0,0,6,0,0,4,4,0,6,4,0,22,25,35,57,65,48,64,17,3,308,0,0,0,8,3,0,0,0,11,0,6,6,0,5,3,3,0,20,3,5,25,27,21,10,0,0,92,0,6,12,8,6,17,0,0,54,8,15,26,11,6,12,0,0,87,4,5,0,3,0,0,0,0,14,0,0,0,3,4,3,0,0,10,14,22,27,15,10,14,5,0,115,0,0,0,0,0,0,0,0,3,3,6,8,4,4,3,4,4,44,23,44,86,67,54,50,14,6,343,0,0
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,4,0,3,7,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,6,3,0,0,0,0,24,0,0
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,8,6,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,9,0,0
SAL50006,0,4,6,9,8,11,0,0,43,0,0,0,9,12,0,0,0,23,8,18,9,20,24,20,12,0,106,4,5,13,4,15,19,3,0,58,9,18,15,12,21,30,5,0,111,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,18,16,12,28,29,7,0,122,0,0,4,3,0,4,4,0,11,8,24,3,23,11,8,3,0,84,25,76,51,80,92,96,30,9,453,0,3,8,6,22,5,4,0,45,0,3,5,6,12,12,4,0,40,12,23,16,30,30,37,9,4,163,0,5,6,19,14,25,12,0,81,6,9,10,14,6,6,0,0,58,5,0,0,3,0,0,0,0,15,0,0,0,3,7,0,0,0,11,13,9,10,13,12,12,4,0,78,0,0,0,0,0,0,0,0,3,5,4,3,3,15,8,6,4,60,27,57,51,85,110,100,28,10,468,0,14
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0
SAL50008,0,10,18,16,6,7,4,0,69,0,3,3,6,7,5,0,0,19,31,64,82,36,47,20,10,0,289,21,36,57,44,47,31,5,0,248,55,149,117,124,162,107,30,9,751,29,9,5,5,0,0,0,0,51,0,3,7,3,13,8,0,0,37,88,165,125,130,177,110,29,8,840,0,0,3,8,3,3,0,0,21,13,19,29,5,23,9,8,0,108,149,303,315,243,318,189,64,15,1598,5,22,29,9,16,0,0,0,76,0,20,19,7,11,6,0,0,73,41,103,103,57,47,29,8,0,389,31,55,57,65,56,38,5,0,311,69,89,74,87,69,23,3,0,407,24,4,15,14,10,4,4,0,69,3,0,17,11,27,5,8,0,79,87,100,97,115,111,33,8,0,554,5,5,4,0,5,5,4,3,29,12,24,19,19,27,30,8,3,142,182,318,328,282,265,141,43,13,1578,6,32
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
SAL50010,0,8,15,33,17,8,5,0,91,0,6,0,5,9,3,4,0,31,14,53,67,63,43,12,11,0,260,8,9,19,25,17,22,6,0,100,17,29,31,30,42,30,21,4,203,0,3,0,0,0,0,0,0,8,7,0,5,3,4,3,0,0,25,24,31,35,34,45,39,18,5,234,0,0,0,0,3,5,0,0,11,0,8,4,4,0,5,5,5,27,45,115,151,161,128,94,55,12,767,0,17,29,21,18,6,0,0,90,0,14,24,16,8,6,0,0,66,17,68,102,68,44,29,14,4,343,6,6,21,20,26,22,9,5,119,12,8,23,26,20,5,4,0,99,5,0,0,0,3,0,0,0,10,0,0,3,12,11,5,5,0,36,14,14,26,39,29,11,9,4,146,0,0,0,4,4,0,0,0,14,4,3,7,4,9,11,13,8,55,43,118,211,168,130,95,52,14,833,0,26
SAL50011,3,19,47,29,14,4,0,0,116,0,11,17,10,3,6,0,0,47,16,115,130,73,38,14,12,0,394,22,83,112,72,37,16,9,0,347,81,331,257,160,103,66,14,10,1019,25,13,9,5,0,0,0,0,51,0,11,12,4,7,0,4,0,49,115,354,278,169,114,68,14,10,1117,0,6,12,6,0,0,0,0,26,27,27,25,20,16,0,4,0,120,181,612,626,379,215,104,38,6,2174,0,41,48,21,12,4,0,0,121,9,28,34,27,5,3,0,0,111,31,239,233,108,35,16,3,4,667,34,143,161,104,48,24,4,0,524,90,260,144,101,55,20,0,0,670,28,24,11,11,5,0,0,0,83,9,16,22,18,7,14,4,0,94,127,291,182,131,68,31,8,0,846,0,10,7,7,3,0,0,0,28,27,47,27,35,21,8,11,0,172,231,798,687,439,196,84,25,3,2466,3,61
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0
SAL50013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,0,0,7,0,5,4,0,0,13,3,12,20,27,15,10,0,0,87,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,9,18,16,26,15,9,0,0,94,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,10,9,16,28,31,26,17,5,0,139,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,3,5,3,3,0,0,29,0,0,3,7,5,7,0,0,22,9,5,16,11,16,3,0,0,61,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,14,10,22,12,20,3,0,0,78,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,7,13,15,33,28,30,13,0,0,138,0,0
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,3,6,4,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,13,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,3,9,9,5,0,0,0,28,0,0
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
SAL50016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,4,0,0,15,0,4,5,5,4,0,0,0,12,7,9,14,16,13,10,3,0,77,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,9,17,16,14,12,3,0,84,0,0,0,0,0,0,0,0,0,4,4,4,3,4,0,0,0,11,13,17,27,26,25,17,3,0,132,0,0,0,3,0,0,0,0,4,0,0,5,4,0,0,0,0,12,0,8,7,5,3,0,0,0,23,0,0,6,8,6,0,0,0,29,0,6,7,12,9,0,0,0,34,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,11,6,10,14,7,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,9,17,34,33,27,10,6,0,129,0,3
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,6,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,0,0,0,0,24,0,0
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,8,0,0,0,0,0,0,0,0,6,5,3,8,5,15,8,0,0,43,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,10,5,15,8,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,13,7,10,13,15,10,5,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,0,0,16,0,4,0,0,3,0,0,0,9,0,3,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,0,12,3,10,15,10,9,3,6,0,59,0,0
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,0,0,0,0,13,0,0
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,3,51,84,82,72,61,29,6,387,0,13,17,13,23,17,6,0,90,47,135,186,160,129,130,60,15,868,9,30,34,40,49,46,24,12,234,24,40,31,49,54,44,29,5,285,10,4,0,5,0,0,0,0,18,0,0,3,5,6,9,0,0,22,33,50,34,54,56,56,30,11,330,0,3,3,3,9,7,12,0,33,12,22,25,15,19,14,12,8,134,120,304,385,365,363,332,162,45,2068,3,61,100,65,41,37,4,0,315,7,22,23,33,36,21,12,5,150,78,193,224,184,136,104,43,7,973,14,19,39,59,75,64,30,13,314,32,24,22,28,37,15,10,0,174,11,5,5,0,8,5,0,0,36,0,3,8,11,7,20,10,0,64,43,27,33,46,55,40,19,5,277,0,4,6,3,3,9,9,4,29,14,24,20,18,31,23,19,6,140,164,349,444,405,374,303,129,37,2203,14,108
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,6,0,0
SAL50024,0,26,60,51,33,28,17,3,231,0,4,11,15,9,6,5,0,49,37,85,119,110,72,61,26,4,514,6,11,24,32,31,31,15,10,154,16,26,33,27,30,33,21,3,198,5,0,0,0,4,0,0,0,14,0,0,0,5,5,0,0,0,18,27,30,37,34,41,37,22,7,227,0,0,0,3,0,0,0,0,12,10,0,14,12,11,5,4,6,61,81,158,263,254,189,169,88,26,1241,6,35,57,48,28,14,5,0,189,0,7,13,30,22,10,5,3,94,46,130,187,118,86,58,13,12,658,7,14,33,37,51,40,25,3,217,11,16,5,14,14,10,5,0,84,6,0,3,0,6,4,0,0,17,0,0,4,6,6,5,3,0,36,18,17,15,23,24,26,7,4,139,5,0,3,4,3,5,5,0,22,14,5,9,13,13,10,10,6,78,95,210,325,272,224,159,69,26,1387,0,63
SAL50025,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,7,9,0,0,0,20,0,0,0,3,9,6,0,0,21,8,6,22,13,20,8,0,0,77,0,0,0,0,0,0,0,0,5,0,0,4,5,0,6,0,0,6,10,6,24,17,21,9,0,0,86,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,10,13,11,26,30,38,21,5,0,148,0,0,3,0,4,0,0,0,12,0,0,3,3,3,0,0,0,8,0,3,6,17,9,8,4,0,51,0,6,5,5,5,5,0,0,21,5,8,8,11,11,0,0,0,40,0,0,0,0,0,0,0,0,7,0,4,0,4,0,0,0,0,6,5,10,13,19,14,0,0,0,55,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,17,10,20,30,41,30,14,10,0,160,0,0
SAL50026,0,15,17,19,9,12,0,3,79,0,9,0,7,9,4,5,0,34,7,50,52,45,33,26,8,4,229,10,62,54,40,46,40,25,6,277,121,263,203,184,195,178,86,17,1241,47,31,8,4,0,0,4,0,101,11,3,10,11,16,10,5,0,56,177,295,216,196,210,194,92,18,1400,0,8,10,8,3,8,6,0,51,108,111,92,77,72,63,56,25,606,312,544,446,388,384,341,194,60,2670,0,21,23,17,5,3,0,0,73,0,19,4,11,14,6,0,0,51,28,104,91,78,39,45,20,6,407,23,85,91,78,83,48,18,10,432,134,233,171,148,127,81,20,3,920,58,34,18,18,13,10,12,0,162,11,15,20,13,22,25,7,0,122,204,288,214,185,169,111,31,3,1194,9,5,4,4,7,0,7,0,35,96,113,91,78,69,81,85,48,667,354,634,522,444,383,299,173,64,2863,0,36
