SA4_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
501,474,623,1094,238,283,520,254,785,1039,283,1552,1838,1007,3731,4744,1097,2272,3366,3481,1588,5070,2818,1807,4618,3397,1834,5229,3667,1365,5037,2610,1100,3707,2872,892,3768,6049,1493,7541,4612,215,4826,3679,439,4119,2129,111,2243,4822,706,5525,5864,397,6262,565,973,1534,49914,22169,72086
502,369,468,840,145,161,310,159,490,647,204,992,1190,626,2593,3212,818,1700,2517,2605,937,3547,2069,973,3047,2124,922,3045,2125,595,2726,1324,570,1895,1440,426,1865,2993,811,3804,2211,77,2281,1916,204,2123,1116,39,1154,2940,286,3226,3710,183,3898,402,563,966,29308,12989,42293
503,454,939,1389,164,329,502,172,781,957,146,1513,1657,412,2429,2837,466,2094,2558,1023,1543,2572,1194,1865,3054,1662,2360,4021,2005,2165,4172,1558,2047,3602,1873,1682,3553,4087,3507,7592,3364,418,3784,3339,1163,4506,2506,240,2744,16899,2422,19323,3446,775,4219,255,881,1140,45033,29144,74184
504,607,985,1593,258,337,601,291,900,1197,344,1744,2087,1010,4033,5039,1259,2377,3635,3597,1657,5254,3221,2209,5427,4138,2643,6783,4852,2260,7117,3842,1847,5694,4180,1497,5681,9627,2471,12098,7602,309,7912,6235,585,6821,4046,125,4171,9760,688,10447,7360,638,8005,704,1135,1838,72943,28459,101398
505,1399,1869,3271,548,671,1217,670,1773,2437,757,3371,4126,2222,8073,10297,2535,5261,7800,6935,3583,10514,6797,4326,11123,8284,4994,13271,9576,4312,13887,7720,3743,11469,8106,2973,11085,18679,5085,23763,15241,618,15864,13593,1332,14923,9099,282,9385,27402,1786,29191,14799,1291,16087,1418,1691,3114,155787,57044,212825
506,1375,1966,3337,510,671,1173,604,1720,2326,743,3388,4127,1990,7420,9406,2371,4986,7353,6503,3267,9768,6089,4317,10404,7780,5147,12923,9219,4245,13470,7508,3682,11186,7963,2736,10701,17771,4789,22556,13596,735,14333,11470,1289,12758,7165,324,7483,19532,1738,21267,12576,1600,14174,1218,1671,2886,135972,55672,191643
507,1046,1457,2503,466,556,1027,524,1483,2007,586,2849,3435,1702,6571,8273,2066,4246,6306,5526,2767,8286,5137,3413,8552,6040,3944,9989,6844,3384,10223,5785,3034,8827,6132,2370,8508,14106,4124,18228,11315,528,11843,10375,1074,11443,6838,191,7024,20417,1512,21932,12055,1088,13151,1009,1486,2499,117964,46092,164051
509,383,550,931,192,260,456,188,696,890,208,1202,1410,771,3268,4040,796,1886,2680,2735,1199,3936,2148,1567,3712,2454,1610,4061,2761,1090,3846,1844,947,2795,2074,699,2771,4088,1165,5257,2992,118,3109,2212,303,2509,1235,55,1292,2936,450,3385,4133,209,4337,578,974,1555,34723,18242,52968
510,89,408,499,57,144,195,111,342,455,138,496,630,325,584,904,284,434,717,495,760,1256,477,859,1338,601,1191,1796,585,1264,1847,504,1055,1556,654,1104,1763,1714,2280,3992,1559,511,2072,1849,894,2740,1286,282,1564,4299,1604,5901,2179,263,2441,341,1404,1744,17542,15866,33407
511,279,570,850,118,207,327,168,627,794,166,997,1163,525,2183,2703,539,1294,1832,1570,1284,2858,1311,1416,2726,1373,1682,3054,1621,1413,3036,1293,1158,2455,1418,1097,2514,3355,1984,5337,2637,365,2999,2353,653,3009,1429,200,1630,3663,987,4650,3454,323,3776,490,1507,2001,27754,19956,47710
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
