SUA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
5000,7072,4682,6996,7170,7043,6104,3955,1912,592,45519,50309,27970,34362,36962,39751,41796,32681,14942,4317,283092
5001,508,336,435,432,420,431,359,206,113,3239,6091,3781,3773,3839,4425,4793,4515,2701,1133,35053
5002,571,300,440,397,407,270,122,39,18,2566,3421,1552,2504,2413,2075,1573,819,237,63,14660
5003,1233,825,1033,976,953,834,585,344,209,6990,15186,8636,9396,10065,10003,9605,7859,4162,1539,76452
5004,646,321,399,482,486,433,389,247,82,3481,7596,3654,3811,5149,5485,5341,5494,2956,1045,40544
5005,321,183,165,175,206,170,148,118,27,1522,2303,1311,1333,1398,1582,1627,1322,858,275,12003
5006,1028,608,657,675,671,554,365,220,109,4890,7736,4489,4610,4767,5253,4994,3839,2078,828,38595
5007,814,519,683,617,558,473,233,81,31,4006,6476,3575,4745,4344,3889,3399,1770,669,202,29072
5008,729,348,556,598,418,255,86,15,4,3005,4497,1816,3195,3353,2357,1328,384,75,11,17013
5009,27319,19561,25041,23414,21398,16992,11623,7462,4677,157488,398380,253674,301619,304430,271487,237421,188232,102330,40664,2098239
5010,575,334,566,475,370,302,73,19,7,2721,3779,1619,3009,2783,1956,1568,455,103,25,15298
