SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
5000,34,119,7,2482,36,7,10,26,13,37,7,31,13,84,2297,2564,59,21,42,34,8,17,3,12,12,218,266,690,6003,1671,446,4322,586,2777,352,2063,514,9376,2772,30882
5001,3,21,0,218,0,0,0,4,0,4,0,0,0,14,218,248,0,0,0,0,0,0,0,0,0,39,19,69,627,269,42,593,72,325,53,355,62,1618,271,4293
5002,0,0,0,156,0,0,0,6,0,3,0,0,0,6,159,164,4,0,0,0,0,0,0,0,0,7,13,31,443,51,8,171,26,85,14,44,13,127,181,1163
5003,9,31,4,626,7,7,0,6,3,6,5,0,0,23,546,602,4,0,0,4,0,0,0,4,0,34,37,87,1489,309,59,1249,140,795,88,583,107,2917,633,8363
5004,5,54,0,365,3,4,0,6,0,4,0,6,0,18,358,400,4,0,0,0,0,4,0,4,0,30,32,76,679,313,53,709,74,299,57,398,52,2080,436,5155
5005,6,14,5,120,0,0,6,4,0,0,0,0,0,8,115,128,4,0,0,3,0,0,0,0,0,12,3,22,287,61,15,208,19,106,11,90,7,410,129,1348
5006,0,22,0,338,0,0,0,4,0,6,0,0,0,12,347,378,3,4,0,4,0,0,0,4,0,22,28,67,803,175,38,607,82,397,50,296,52,1234,400,4133
5007,8,0,0,488,0,0,0,0,4,4,0,0,0,4,191,206,3,0,0,4,0,0,3,4,0,6,18,39,991,66,26,399,67,319,32,97,33,305,214,2551
5008,4,3,0,441,8,0,0,0,0,0,0,0,0,3,132,144,0,0,0,0,0,0,0,0,0,0,7,12,619,29,20,192,52,122,16,34,15,42,139,1269
5009,231,1448,29,24924,143,41,72,124,123,186,60,111,75,531,13391,14869,132,33,97,88,32,61,11,62,46,964,1022,2541,45851,9834,1457,30594,3650,20446,1843,15060,2377,65782,15246,212152
5010,3,0,0,350,0,0,3,0,0,4,0,0,0,0,125,137,0,0,0,3,0,0,0,0,0,0,11,23,543,24,21,157,40,129,11,26,18,69,142,1173
