POW_LGA_CODE_2021,EWPT_20_24_TertUni_or_OHE_FT,EWPT_20_24_TertUni_or_OHE_PT,EWPT_20_24_TertUni_or_OHE_NS,EWPT_20_24_TertUni_or_OHE_Tot,EWPT_20_24_Other_FT,EWPT_20_24_Other_PT,EWPT_20_24_Other_NS,EWPT_20_24_Other_Tot,EWPT_20_24_Not_Stated,EWPT_20_24_Tot,EWPT_25_29_TertVE_TPTP_FT,EWPT_25_29_TertVE_TPTP_PT,EWPT_25_29_TertVE_TPTP_NS,EWPT_25_29_TertVE_TPTP_Tot,EWPT_25_29_TertUni_or_OHE_FT,EWPT_25_29_TertUni_or_OHE_PT,EWPT_25_29_TertUni_or_OHE_NS,EWPT_25_29_TertUni_or_OHE_Tot,EWPT_25_29_Other_FT,EWPT_25_29_Other_PT,EWPT_25_29_Other_NS,EWPT_25_29_Other_Tot,EWPT_25_29_Not_Stated,EWPT_25_29_Tot,EWPT_30ov_TertVE_TPTP_FT,EWPT_30ov_TertVE_TPTP_PT,EWPT_30ov_TertVE_TPTP_NS,EWPT_30ov_TertVE_TPTP_Tot,EWPT_30ov_TertUni_or_OHE_FT,EWPT_30ov_TertUni_or_OHE_PT,EWPT_30ov_TertUni_or_OHE_NS,EWPT_30ov_TertUni_or_OHE_Tot,EWPT_30ov_Other_FT,EWPT_30ov_Other_PT,EWPT_30ov_Other_NS,EWPT_30ov_Other_Tot,EWPT_30ov_Not_Stated,EWPT_30ov_Tot,EWPT_Tot_TertVE_TPTP_FT,EWPT_Tot_TertVE_TPTP_PT,EWPT_Tot_TertVE_TPTP_NS,EWPT_Tot_TertVE_TPTP_Tot,EWPT_Tot_TertUni_or_OHE_FT,EWPT_Tot_TertUni_or_OHE_PT,EWPT_Tot_TertUni_or_OHE_NS,EWPT_Tot_TertUni_or_OHE_Tot,EWPT_Tot_Other_FT,EWPT_Tot_Other_PT,EWPT_Tot_Other_NS,EWPT_Tot_Other_Tot,EWPT_Tot_Not_Stated,EWPT_Tot_Tot,EAFW_15_TertVE_TPTP_FT,EAFW_15_TertVE_TPTP_PT,EAFW_15_TertVE_TPTP_NS,EAFW_15_TertVE_TPTP_Tot,EAFW_15_TertUni_or_OHE_FT,EAFW_15_TertUni_or_OHE_PT,EAFW_15_TertUni_or_OHE_NS,EAFW_15_TertUni_or_OHE_Tot,EAFW_15_Other_FT,EAFW_15_Other_PT,EAFW_15_Other_NS,EAFW_15_Other_Tot,EAFW_15_Not_Stated,EAFW_15_Tot,EAFW_16_TertVE_TPTP_FT,EAFW_16_TertVE_TPTP_PT,EAFW_16_TertVE_TPTP_NS,EAFW_16_TertVE_TPTP_Tot,EAFW_16_TertUni_or_OHE_FT,EAFW_16_TertUni_or_OHE_PT,EAFW_16_TertUni_or_OHE_NS,EAFW_16_TertUni_or_OHE_Tot,EAFW_16_Other_FT,EAFW_16_Other_PT,EAFW_16_Other_NS,EAFW_16_Other_Tot,EAFW_16_Not_Stated,EAFW_16_Tot,EAFW_17_TertVE_TPTP_FT,EAFW_17_TertVE_TPTP_PT,EAFW_17_TertVE_TPTP_NS,EAFW_17_TertVE_TPTP_Tot,EAFW_17_TertUni_or_OHE_FT,EAFW_17_TertUni_or_OHE_PT,EAFW_17_TertUni_or_OHE_NS,EAFW_17_TertUni_or_OHE_Tot,EAFW_17_Other_FT,EAFW_17_Other_PT,EAFW_17_Other_NS,EAFW_17_Other_Tot,EAFW_17_Not_Stated,EAFW_17_Tot,EAFW_18_TertVE_TPTP_FT,EAFW_18_TertVE_TPTP_PT,EAFW_18_TertVE_TPTP_NS,EAFW_18_TertVE_TPTP_Tot,EAFW_18_TertUni_or_OHE_FT,EAFW_18_TertUni_or_OHE_PT,EAFW_18_TertUni_or_OHE_NS,EAFW_18_TertUni_or_OHE_Tot,EAFW_18_Other_FT,EAFW_18_Other_PT,EAFW_18_Other_NS,EAFW_18_Other_Tot,EAFW_18_Not_Stated,EAFW_18_Tot,EAFW_19_TertVE_TPTP_FT,EAFW_19_TertVE_TPTP_PT,EAFW_19_TertVE_TPTP_NS,EAFW_19_TertVE_TPTP_Tot,EAFW_19_TertUni_or_OHE_FT,EAFW_19_TertUni_or_OHE_PT,EAFW_19_TertUni_or_OHE_NS,EAFW_19_TertUni_or_OHE_Tot,EAFW_19_Other_FT,EAFW_19_Other_PT,EAFW_19_Other_NS,EAFW_19_Other_Tot,EAFW_19_Not_Stated,EAFW_19_Tot,EAFW_20_24_TertVE_TPTP_FT,EAFW_20_24_TertVE_TPTP_PT,EAFW_20_24_TertVE_TPTP_NS,EAFW_20_24_TertVE_TPTP_Tot,EAFW_20_24_TertUni_or_OHE_FT,EAFW_20_24_TertUni_or_OHE_PT,EAFW_20_24_TertUni_or_OHE_NS,EAFW_20_24_TertUni_or_OHE_Tot,EAFW_20_24_Other_FT,EAFW_20_24_Other_PT,EAFW_20_24_Other_NS,EAFW_20_24_Other_Tot,EAFW_20_24_Not_Stated,EAFW_20_24_Tot,EAFW_25_29_TertVE_TPTP_FT,EAFW_25_29_TertVE_TPTP_PT,EAFW_25_29_TertVE_TPTP_NS,EAFW_25_29_TertVE_TPTP_Tot,EAFW_25_29_TertUni_or_OHE_FT,EAFW_25_29_TertUni_or_OHE_PT,EAFW_25_29_TertUni_or_OHE_NS,EAFW_25_29_TertUni_or_OHE_Tot,EAFW_25_29_Other_FT,EAFW_25_29_Other_PT,EAFW_25_29_Other_NS,EAFW_25_29_Other_Tot,EAFW_25_29_Not_Stated,EAFW_25_29_Tot,EAFW_30ov_TertVE_TPTP_FT,EAFW_30ov_TertVE_TPTP_PT,EAFW_30ov_TertVE_TPTP_NS,EAFW_30ov_TertVE_TPTP_Tot,EAFW_30ov_TertUni_or_OHE_FT,EAFW_30ov_TertUni_or_OHE_PT,EAFW_30ov_TertUni_or_OHE_NS,EAFW_30ov_TertUni_or_OHE_Tot,EAFW_30ov_Other_FT,EAFW_30ov_Other_PT,EAFW_30ov_Other_NS,EAFW_30ov_Other_Tot,EAFW_30ov_Not_Stated,EAFW_30ov_Tot,EAFW_Tot_TertVE_TPTP_FT,EAFW_Tot_TertVE_TPTP_PT,EAFW_Tot_TertVE_TPTP_NS,EAFW_Tot_TertVE_TPTP_Tot,EAFW_Tot_TertUni_or_OHE_FT,EAFW_Tot_TertUni_or_OHE_PT,EAFW_Tot_TertUni_or_OHE_NS,EAFW_Tot_TertUni_or_OHE_Tot,EAFW_Tot_Other_FT,EAFW_Tot_Other_PT,EAFW_Tot_Other_NS,EAFW_Tot_Other_Tot,EAFW_Tot_Not_Stated,EAFW_Tot_Tot,Tot_15_TertVE_TPTP_FT,Tot_15_TertVE_TPTP_PT,Tot_15_TertVE_TPTP_NS,Tot_15_TertVE_TPTP_Tot,Tot_15_TertUni_or_OHE_FT,Tot_15_TertUni_or_OHE_PT,Tot_15_TertUni_or_OHE_NS,Tot_15_TertUni_or_OHE_Tot,Tot_15_Other_FT,Tot_15_Other_PT,Tot_15_Other_NS,Tot_15_Other_Tot,Tot_15_Not_Stated,Tot_15_Tot,Tot_16_TertVE_TPTP_FT,Tot_16_TertVE_TPTP_PT,Tot_16_TertVE_TPTP_NS,Tot_16_TertVE_TPTP_Tot,Tot_16_TertUni_or_OHE_FT,Tot_16_TertUni_or_OHE_PT,Tot_16_TertUni_or_OHE_NS,Tot_16_TertUni_or_OHE_Tot
LGA50080,36,17,0,51,0,0,0,4,0,87,6,22,0,33,15,18,0,26,5,3,0,10,6,73,25,111,0,139,20,115,0,133,4,26,0,30,21,322,91,196,0,290,97,153,0,249,559,39,0,594,27,1163,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,0,3,0,0,0,0,10,0,0,10,0,12,0,0,0,0,0,0,0,0,17,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,8,4,3,0,8,3,0,0,3,0,0,0,0,0,12,0,3,0,4,0,6,0,7,0,0,0,0,0,14,3,17,0,20,0,15,0,14,0,5,0,5,10,50,8,23,0,35,14,20,0,26,40,7,0,46,10,121,0,0,0,5,0,0,0,0,165,0,0,165,0,171,15,12,0,33,0,0,0,0
LGA50210,376,85,3,461,11,5,0,18,0,556,24,24,0,45,82,43,0,125,12,10,0,18,0,187,36,120,3,161,66,110,0,175,15,56,0,72,9,424,164,232,3,396,737,264,5,1005,829,77,0,910,15,2326,0,0,0,0,0,0,0,0,13,0,0,13,0,13,5,0,0,0,0,0,0,0,11,0,0,10,0,17,0,0,0,0,0,0,0,0,12,0,0,16,0,16,0,0,0,3,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,22,8,0,35,3,0,0,3,0,37,3,5,0,5,7,5,0,8,0,0,0,0,0,19,3,6,0,12,8,13,0,22,0,5,0,5,10,47,13,20,0,31,45,25,0,74,45,7,0,52,11,168,3,5,0,8,0,0,0,0,222,0,0,226,0,235,9,10,0,15,0,0,0,0
LGA50250,0,3,0,6,0,0,0,0,0,10,0,9,0,8,0,5,0,5,0,0,0,0,0,14,0,23,0,31,7,15,0,18,0,3,0,3,6,58,6,35,0,39,14,20,0,29,55,3,0,55,14,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,9,3,0,0,3,0,4,0,4,0,15,0,7,0,7,5,0,0,4,0,0,0,0,4,9,3,34,0,40,0,18,0,18,0,6,0,6,11,74,11,44,0,53,10,22,0,26,8,5,0,13,16,110,0,0,0,0,0,0,0,0,16,0,0,16,0,18,3,0,0,3,0,0,0,0
LGA50280,19,0,0,19,0,0,0,0,0,29,4,9,0,11,10,6,0,15,0,5,0,4,0,29,14,87,0,98,18,31,0,55,3,19,0,21,11,180,20,115,0,133,48,39,0,85,220,22,0,246,15,483,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,9,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,3,0,6,0,4,0,4,0,10,0,7,0,7,5,5,0,8,23,4,0,23,0,44,0,0,0,0,0,0,0,0,63,0,0,63,0,67,0,0,0,0,0,0,0,0
LGA50350,63,30,0,94,0,0,0,0,0,119,3,3,0,10,15,5,0,18,0,0,0,0,0,31,19,31,0,51,12,20,0,35,0,12,0,17,0,99,38,57,0,100,133,56,0,196,94,15,0,115,3,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,7,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,8,0,5,0,0,0,0,4,15,7,3,0,4,3,10,0,14,8,0,0,8,4,33,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,4,0,3,0,0,0,0
LGA50420,580,78,0,655,16,12,0,27,5,818,56,25,0,90,131,49,0,177,22,10,0,33,0,297,67,127,0,189,99,99,0,197,26,46,0,68,10,462,234,234,0,470,1141,250,3,1386,673,73,0,749,13,2628,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,19,0,0,19,0,17,0,0,0,0,7,0,0,10,0,0,0,0,0,12,4,0,0,4,5,0,0,5,0,0,0,0,0,11,3,0,0,10,36,4,0,34,0,0,0,0,4,52,0,3,0,8,11,5,0,12,3,0,0,7,5,21,3,10,0,13,11,16,0,28,8,4,0,15,12,63,16,17,0,38,64,23,0,89,50,9,0,57,20,205,0,0,0,4,0,0,0,0,149,0,0,149,0,157,4,4,0,12,0,0,0,0
LGA50490,687,176,0,863,23,17,0,39,0,1043,65,56,0,115,191,58,0,254,20,9,0,31,0,401,91,166,0,255,171,134,0,300,26,61,0,82,23,661,286,305,0,592,1322,396,0,1723,579,87,0,664,26,3006,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,16,0,0,16,0,17,3,0,0,3,0,0,0,0,17,0,0,17,0,14,0,5,0,5,5,0,0,3,4,0,0,4,0,10,0,5,0,7,5,0,0,5,0,0,0,0,0,13,11,4,0,18,44,7,0,52,7,0,0,8,5,81,6,8,0,12,22,14,0,32,0,5,0,4,3,54,8,25,0,36,12,41,0,53,8,16,7,28,17,134,32,42,0,73,81,69,0,152,55,17,7,81,32,335,0,0,0,0,0,0,0,0,118,0,0,118,0,121,0,3,0,8,0,0,0,0
LGA50560,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,5,8,0,0,9,6,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,7,4,0,0,5,4,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,4,0,0,0,0,3,12,0,7,0,7,0,5,0,4,10,0,0,10,3,22,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,5,5,0,0,3,12,0,0,11,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0
LGA50840,0,3,0,3,0,0,0,0,0,9,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,14,0,14,0,3,0,5,0,0,0,0,4,27,5,21,0,27,5,6,0,10,51,0,0,49,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,3,0,3,7,0,0,7,5,5,0,8,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,18,0,0,0,0,0,0,0,0
LGA50910,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,4,3,0,8,3,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50980,13,10,0,17,0,0,0,0,3,39,0,12,0,13,5,9,0,12,0,0,0,0,3,30,9,50,0,57,18,33,0,50,0,9,0,9,19,134,17,78,0,96,36,53,0,91,193,10,0,197,29,419,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,4,0,0,4,0,0,0,0,4,3,3,0,0,3,0,0,0,4,0,0,0,0,6,10,0,4,0,4,4,16,0,20,0,0,0,0,7,35,3,7,0,7,14,17,0,33,17,0,0,14,19,75,3,0,0,5,0,0,0,0,49,0,0,49,4,55,0,4,0,4,0,0,0,0
LGA51080,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,10,0,6,5,0,0,5,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51190,109,34,0,139,9,7,0,12,0,204,12,15,0,25,29,22,0,50,4,5,0,10,0,82,46,122,0,164,66,155,0,218,3,37,0,39,22,447,123,188,0,317,247,225,0,472,688,49,0,738,27,1550,0,0,0,0,0,0,0,0,13,0,0,13,0,14,0,0,0,0,0,0,0,0,18,0,0,18,0,18,0,3,0,4,0,0,0,0,20,0,0,24,0,25,0,0,0,3,4,0,0,4,4,0,0,4,0,11,0,0,0,0,3,0,0,3,0,0,0,0,0,8,5,11,0,11,12,4,0,18,0,0,0,0,0,34,0,4,0,4,4,0,0,7,0,0,0,0,0,11,9,19,0,26,11,17,0,25,4,6,0,7,20,83,20,38,0,58,24,23,0,50,51,6,0,60,28,195,0,0,0,0,0,0,0,0,165,0,0,165,4,170,6,12,0,18,0,0,0,0
LGA51260,65,22,0,83,0,4,0,4,0,123,16,16,0,31,20,15,0,34,0,8,0,10,0,75,28,111,0,144,46,102,0,151,3,45,0,45,20,358,79,180,0,261,151,138,0,297,713,50,4,767,27,1353,0,0,0,0,0,0,0,0,35,0,0,35,0,34,0,0,0,0,0,0,0,0,21,0,0,21,0,21,0,6,0,6,0,0,0,0,23,0,0,23,0,17,0,0,0,3,5,0,0,5,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,7,0,7,5,6,0,6,0,0,0,0,3,16,0,5,0,9,6,3,0,7,0,0,0,0,0,13,6,8,0,17,0,9,0,9,0,3,0,3,10,39,7,22,0,33,20,13,0,29,75,7,0,82,14,156,0,3,0,5,0,0,0,0,247,0,0,247,4,251,10,8,0,12,0,0,0,0
LGA51310,407,74,0,483,13,4,0,13,0,548,24,15,0,45,78,37,0,112,10,10,0,14,0,172,49,72,0,121,88,98,0,191,11,33,0,44,8,358,138,114,0,245,839,223,0,1058,332,42,0,382,10,1693,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,6,0,0,6,0,0,0,0,0,6,0,0,0,0,27,8,0,38,0,0,0,0,0,41,4,0,0,4,9,6,0,15,0,0,0,0,3,21,0,4,0,9,0,20,0,19,3,6,0,6,5,35,4,4,0,8,48,31,0,77,22,6,0,30,3,123,0,0,0,0,0,0,0,0,96,0,0,96,0,96,4,0,0,3,0,0,0,0
LGA51330,1375,220,0,1599,43,19,0,66,9,1947,102,61,0,166,281,90,0,370,41,23,0,69,0,603,119,210,0,334,185,165,0,356,54,82,0,133,18,848,531,424,0,960,2643,558,5,3203,1246,136,0,1387,27,5576,0,0,0,0,0,0,0,0,14,0,0,14,0,14,0,0,0,0,0,0,0,0,21,0,0,21,0,23,3,0,0,3,0,0,0,0,34,0,0,34,0,35,0,0,0,0,7,0,0,7,4,0,0,4,0,18,5,5,0,9,12,3,0,14,0,0,0,0,0,26,11,12,0,24,83,19,0,103,0,5,0,4,6,133,6,9,0,15,18,5,0,27,5,5,0,6,5,52,10,40,0,48,17,38,0,56,7,13,0,15,30,150,35,66,0,97,138,69,0,213,77,20,0,99,45,458,6,0,0,6,0,0,0,0,303,0,0,297,0,305,11,11,0,24,0,0,0,0
LGA51400,19,5,0,23,0,0,0,0,0,29,0,3,0,3,9,0,0,5,0,3,0,3,0,12,4,26,0,27,6,15,0,18,0,3,0,3,0,60,11,37,0,51,41,18,0,59,155,7,0,161,3,274,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,3,0,0,0,0,6,0,0,6,0,10,0,0,0,0,0,0,0,0,8,0,0,8,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,13,5,3,0,5,0,0,0,0,15,0,0,21,7,33,0,0,0,0,0,0,0,0,52,0,0,52,0,49,3,0,0,9,0,0,0,0
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,3,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51540,0,3,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,8,0,3,0,3,0,0,0,3,7,21,3,14,0,13,3,7,0,6,29,0,0,24,7,59,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,6,3,0,0,3,5,21,0,0,0,6,0,0,0,0,14,0,0,14,3,14,0,0,0,0,0,0,0,0
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,5,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51680,11,3,0,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,4,0,0,0,0,0,7,6,10,0,12,24,11,0,28,30,0,0,30,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,7,0,0,11,4,16,0,0,0,0,0,0,0,0,6,0,0,6,0,11,0,0,0,3,0,0,0,0
LGA51710,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,0,3,4,3,0,13,12,3,0,19,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
