SOS_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SOS50,220,192,218,293,87,48,65,6198,0,9,27,10,28,941,1168,772,128,113,120,82,31,14,79,3524,47,223,911,1024,2707,1040,3684,4670,239,218,293,436,268,111,219,16100,741,5325,4196,1070,478,389,856,1594,243,158,159,207,113,24,570,16109,8,28,23,86,305,758,1378,616,138,158,220,280,150,83,115,4341,0,3,4,116,356,459,2409,1481,231,243,204,277,73,25,132,5998,3,16,84,202,260,146,191,95,30,15,12,20,16,3,43,1143,64,206,1022,2392,6866,3196,7722,4428,1013,977,1031,942,562,73,562,31049,0,0,0,0,12,59,1019,868,318,391,597,626,234,18,65,4201,264,2641,633,466,676,390,774,394,53,70,65,98,47,16,169,6752,64,183,1664,5126,10067,8261,14481,11265,848,782,885,1032,498,458,1548,57154,39,153,533,664,654,526,364,150,41,23,25,34,16,8,93,3318,13,18,60,95,163,331,1462,2227,443,520,529,743,420,56,109,7203
SOS51,10,12,14,0,4,0,5,148,0,0,0,0,6,9,18,23,3,0,0,0,0,0,0,68,8,31,91,129,208,75,297,399,16,15,7,27,5,0,28,1329,86,419,248,59,15,19,50,133,14,19,16,27,12,0,87,1205,6,4,4,0,14,42,89,44,3,9,15,16,6,9,0,253,0,0,0,6,15,16,97,88,24,7,20,36,11,5,15,344,0,0,4,7,15,13,14,9,0,0,4,7,3,0,4,76,9,24,70,85,97,64,156,101,25,50,51,25,11,3,35,788,0,0,0,0,0,0,51,41,40,20,26,15,12,0,0,213,39,529,122,78,111,52,105,65,10,4,14,12,14,0,39,1202,17,43,392,1238,1996,1718,3282,2080,156,215,196,238,121,93,493,12279,4,9,12,11,10,14,3,0,0,0,0,0,0,0,3,77,0,0,3,7,4,4,76,137,23,17,23,20,9,16,5,354
SOS52,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,11,13,22,12,41,51,4,0,4,8,5,0,6,174,7,45,27,5,4,0,8,9,0,0,0,4,0,0,14,125,0,0,0,5,5,0,9,9,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,9,10,5,16,5,3,0,3,0,0,0,7,70,0,0,0,0,0,0,0,6,0,3,5,0,0,0,0,16,7,77,27,19,15,9,20,5,6,0,3,0,0,0,8,193,3,6,56,205,358,266,288,181,26,19,15,16,6,13,96,1560,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS53,0,0,0,0,0,0,40,70,0,0,0,0,0,10,8,0,0,0,0,0,0,0,15,35,0,15,59,54,89,51,101,81,5,5,8,20,10,0,16,511,52,267,178,17,14,7,25,46,4,5,10,28,10,0,23,690,0,0,0,4,6,18,23,12,0,4,3,3,5,0,3,94,0,0,0,4,4,9,17,9,0,0,0,6,3,0,5,58,0,0,4,10,0,0,0,0,0,0,0,0,0,0,16,27,5,7,28,44,57,17,41,30,16,25,27,21,0,0,33,356,0,0,0,0,0,4,8,3,0,3,0,0,0,0,3,18,35,246,66,46,77,43,78,19,7,7,6,9,3,0,22,657,10,15,186,618,963,689,823,432,51,48,44,83,15,32,305,4309,0,5,0,3,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3,3,5,3,15,0,3,6,0,0,4,9,58
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,8,7,3,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,9,0,0,3,31,0,5,0,0,3,0,0,6,0,0,3,11,3,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,21,0,0,7,24,39,25,42,34,5,5,6,0,4,9,51,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
