SOS_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS50,387885,246891,295897,297929,263686,229678,182320,99540,39936,2043762
SOS51,79234,41628,50560,52149,50132,46811,36993,19669,7350,384526
SOS52,11299,6047,6906,6899,7596,8621,7322,3685,1134,59508
SOS53,26586,16650,17368,20805,25420,27127,19970,8074,1649,163652
SOS57,0,42,116,170,109,62,18,0,0,514
SOS59,772,820,1512,1543,1313,1144,758,155,30,8055
