LGA_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
LGA50080,594,451,1038,14115,15223,29336,854,735,1591,15562,16411,31970,218,182,403,8672,8468,17139,37,26,64,8925,8676,17599,40,21,62,377,279,651,0,0,0,413,296,715,254,198,458,9046,8747,17795,37,29,62,9335,8977,18311,312,219,531,4920,6292,11207,44,73,113,5268,6585,11854,24,26,53,155,181,335,774,642,1413,957,844,1799,15.2,10,12.9,4.1,3.2,3.7,0,4,1.6,4.4,3.3,3.9,43.3,44.9,44,64.1,57.5,60.7,4.4,3.4,4,60,54.7,57.3,36.8,40.4,38.3,61.4,55.7,58.4,4.4,3.2,3.9,57.4,52.9,55.1,37,47,85,1051,1581,2630,0,3,5,1095,1632,2721,177,134,312,7519,6812,14335,40,19,52,7733,6962,14691,10,4,14,759,548,1304,3,0,5,769,556,1325,0,6,6,338,424,755,0,0,0,338,425,765,0,0,0,193,450,638,0,0,4,194,453,646,8,23,31,1238,2267,3511,8,10,14,1257,2301,3556,23,37,59,1111,1793,2910,4,7,13,1144,1836,2979,101,87,190,4133,2366,6497,23,11
LGA50210,831,868,1708,32544,34416,66963,1896,1535,3427,35273,36821,72096,413,348,765,23115,20462,43577,58,51,114,23594,20859,44453,107,82,191,1367,1447,2817,0,6,11,1483,1535,3013,529,432,955,24490,21902,46394,63,59,120,25077,22395,47471,273,415,692,7729,12139,19866,58,88,155,8064,12647,20715,36,25,59,335,372,707,1767,1389,3152,2135,1779,3915,20.7,19.3,20.1,5.6,6.6,6.1,6.3,10.5,8.3,5.9,6.9,6.4,63,49.5,56.1,75.2,63.6,69.3,3.4,3.7,3.5,71.1,60.8,65.8,49.9,40,44.9,71,59.4,65.1,3.2,3.3,3.2,66.9,56.6,61.7,56,82,141,2279,3920,6203,3,7,11,2339,4012,6351,355,264,618,20524,16298,36823,49,40,91,20933,16593,37530,8,9,20,1269,904,2175,0,5,5,1278,915,2197,5,8,14,1436,1576,3017,3,0,3,1440,1587,3024,3,12,17,425,831,1260,4,0,0,434,844,1274,21,33,54,3966,5920,9887,4,11,13,3989,5961,9949,36,80,115,3052,3805,6859,8,12,17,3086,3899,6994,193,147,345,8905,5453,14357,27,17
LGA50250,288,253,540,2361,1642,3998,752,379,1128,3400,2270,5670,197,137,338,2172,1298,3474,12,9,23,2387,1444,3828,11,17,22,26,29,56,0,0,0,35,44,75,203,152,358,2200,1327,3528,12,9,23,2422,1489,3909,65,94,162,141,300,436,0,0,0,207,392,601,9,9,21,21,18,37,736,369,1102,764,391,1159,4.8,8.7,6.4,1.3,2.1,1.6,0,0,0,1.6,2.8,2,71.9,59.8,66.2,93.3,80.8,88.2,1.7,2.4,2,71.3,65.4,68.9,68.4,54.6,62,92.1,79.1,86.8,1.7,2.4,2,70.2,63.6,67.5,5,14,20,88,298,387,0,5,5,88,316,405,195,114,307,2062,982,3043,15,9,20,2266,1109,3372,0,4,4,17,56,74,0,0,0,17,57,80,3,0,3,50,47,93,0,0,0,54,47,95,0,0,4,21,50,67,0,0,0,25,46,70,0,10,13,187,292,477,0,0,0,186,306,495,9,14,18,157,215,372,0,0,0,172,224,391,84,43,125,1079,347,1425,0,0
LGA50280,78,75,158,5956,6199,12150,584,469,1057,6621,6747,13368,48,49,98,4179,3980,8155,19,26,47,4245,4049,8297,4,4,9,128,105,233,0,0,3,134,109,241,54,50,100,4308,4085,8391,20,31,48,4382,4157,8539,20,26,52,1586,2066,3655,10,22,32,1614,2116,3736,4,0,6,66,47,113,556,421,971,619,472,1090,11.1,4.2,7.8,3,2.6,2.8,9.1,3.4,5.9,3.1,2.6,2.8,69.2,61.5,65.4,72.3,65.9,69,3.8,6.1,4.8,66.2,61.7,63.9,61.5,59,60.3,70.1,64.2,67.1,3.4,5.9,4.5,64.1,60.1,62.1,4,9,13,289,589,872,0,4,4,293,599,891,45,37,83,3847,3346,7191,16,20,42,3911,3407,7316,6,5,8,601,456,1060,7,5,9,612,463,1073,0,0,3,213,251,467,0,0,0,213,253,470,0,0,0,114,237,348,0,0,0,114,237,348,0,14,10,894,1397,2289,0,13,13,892,1419,2315,7,0,10,553,836,1386,6,5,6,564,843,1402,26,16,44,1739,832,2576,14,3
LGA50350,125,142,263,5822,6369,12195,373,297,672,6322,6810,13129,63,53,111,4010,3949,7962,13,13,24,4083,4014,8098,12,12,22,203,178,382,0,3,3,218,191,407,77,62,138,4211,4133,8344,9,14,28,4297,4207,8504,47,76,120,1554,2177,3732,8,19,32,1612,2270,3882,0,5,9,58,61,122,355,266,611,416,334,746,19.2,18,18.7,4.8,4.3,4.6,8.3,21.4,15.4,5,4.6,4.8,62.4,43.6,52.5,72.3,64.9,68.4,3.2,4.7,3.9,68,61.8,64.8,50.4,35.7,42.6,68.8,62,65.3,2.9,3.7,3.3,64.6,58.9,61.7,9,11,15,561,939,1499,0,0,0,568,951,1515,56,44,94,3415,2987,6402,8,11,19,3478,3037,6520,0,0,4,280,191,467,0,0,0,277,190,473,0,7,3,322,382,705,0,0,0,325,383,709,0,3,9,133,278,413,0,4,4,135,283,421,5,10,16,934,1354,2288,0,0,3,943,1361,2303,8,7,12,543,665,1211,0,0,0,550,673,1225,29,19,48,1484,762,2248,3,5
LGA50420,362,404,763,26946,28128,55073,1343,1072,2417,28653,29606,58257,213,173,395,18662,17434,36099,39,28,63,18919,17633,36553,32,34,65,999,897,1895,0,4,3,1031,930,1966,249,207,453,19659,18334,37989,43,25,69,19952,18563,38516,105,185,292,7027,9549,16583,45,50,92,7180,9790,16969,8,11,17,257,244,500,1256,997,2257,1521,1250,2774,13.3,14.9,14,5.1,4.9,5,7,7.7,7.2,5.2,5,5.1,69.4,51.2,59.7,73,65.2,69,3.2,2.4,2.9,69.6,62.7,66.1,60.2,43.6,51.4,69.3,62,65.5,3,2.2,2.6,66,59.6,62.7,36,52,82,2311,3703,6019,0,0,3,2353,3753,6103,178,129,299,16141,13573,29714,33,17,53,16351,13718,30071,8,0,11,1280,840,2126,3,0,5,1296,852,2142,3,12,7,1731,2025,3752,0,4,4,1732,2033,3772,5,13,11,589,1066,1655,0,0,0,593,1072,1665,34,36,69,5443,6464,11913,3,10,15,5490,6511,11991,23,25,48,2728,3010,5740,11,4,17,2765,3040,5802,81,71,156,5561,2873,8438,14,10
LGA50490,390,437,832,16390,16151,32541,1216,943,2161,17997,17537,35533,200,211,404,11621,9884,21503,31,22,52,11855,10113,21968,32,35,67,672,565,1240,0,0,3,708,602,1313,231,244,481,12297,10448,22739,33,22,53,12561,10710,23274,143,182,326,3860,5430,9283,31,49,77,4032,5664,9692,11,12,23,244,275,516,1157,876,2031,1412,1163,2573,14.9,14.8,14.8,5.5,5.4,5.4,6.1,4.8,5.6,5.6,5.6,5.6,59.8,55.7,57.6,75,64.7,69.9,2.7,2.2,2.5,69.8,61.1,65.5,50.9,47.5,49.1,70.9,61.2,66.1,2.5,2.1,2.4,65.9,57.7,61.8,23,51,79,1013,1696,2703,0,3,3,1041,1750,2784,170,149,324,10428,8081,18509,26,12,33,10626,8244,18868,4,4,4,678,399,1080,0,0,0,681,400,1086,9,6,10,1075,1004,2075,0,3,3,1078,1012,2086,4,7,7,244,450,696,0,0,0,246,454,707,18,34,55,2824,3458,6282,3,0,3,2845,3493,6345,16,39,56,1707,1793,3499,3,0,3,1725,1836,3560,85,77,161,3574,1796,5371,15,7
LGA50560,23,19,37,646,627,1277,91,83,181,762,727,1491,3,7,11,338,301,634,0,3,5,344,311,651,0,3,7,19,17,41,0,0,0,22,24,46,9,7,16,355,323,674,0,3,5,369,333,696,8,13,23,279,297,577,3,9,9,286,309,602,4,0,4,16,8,27,92,72,165,108,84,191,40,33.3,37.5,5.4,5.9,5.6,0,0,0,6.3,6.4,6.3,47.6,30,39,54.7,51.1,52.9,3.2,3.7,3.4,48.1,45.2,46.7,28.6,20,24.4,51.8,48.1,50,3.2,3.7,3.4,45.1,42.3,43.7,0,0,0,24,65,88,0,0,0,24,65,88,3,7,11,303,231,537,0,3,5,319,240,553,0,0,0,50,28,77,0,0,0,47,28,79,0,0,0,5,9,17,0,0,0,5,9,17,0,0,0,7,14,19,0,0,0,7,14,19,0,0,4,42,86,125,0,0,0,42,86,129,0,0,0,47,66,110,0,0,0,44,66,115,0,3,8,165,74,237,0,0
LGA50630,24,24,46,591,574,1160,64,56,124,677,652,1333,15,10,26,409,319,725,0,3,4,428,333,759,0,3,3,13,13,26,0,0,0,16,16,32,15,15,34,423,332,748,0,3,4,440,347,787,3,10,16,165,231,394,0,3,10,172,246,415,0,0,0,9,7,14,61,50,114,74,62,130,16.7,14.3,15.6,2.9,3.9,3.3,0,0,0,3.4,4.3,3.8,78.3,58.3,68.1,71,58.2,64.7,4.5,3.5,4,64.7,53.5,59.2,65.2,50,57.4,69,56,62.6,4.5,3.5,4,62.5,51.2,56.9,0,0,0,29,61,92,0,0,0,30,63,97,17,10,24,373,247,621,0,0,7,385,262,652,0,0,0,22,15,38,0,0,0,23,15,40,0,0,0,11,12,20,0,0,0,11,12,20,0,0,0,0,11,14,0,0,0,0,11,14,0,0,3,31,78,110,0,0,0,35,77,113,0,0,0,26,55,85,0,0,0,26,56,82,3,9,9,193,81,280,0,3
LGA50770,11,14,22,641,647,1287,82,82,163,730,744,1469,7,3,12,424,362,786,9,4,12,439,372,807,0,0,0,12,22,35,0,0,0,12,17,34,7,5,15,439,378,822,9,4,14,455,390,846,4,6,13,195,266,453,0,4,5,202,271,467,0,0,0,4,4,11,73,76,147,74,79,156,0,14.3,7.7,3.4,4.7,4,0,25,8.3,3.3,5.1,4.1,60,58.3,59.1,68.8,58.8,63.8,10,4.8,7.4,62.2,52.7,57.4,60,50,54.5,66.5,56,61.2,10,3.6,6.7,60.2,50,55.1,0,0,0,26,66,92,0,0,4,26,69,92,7,6,7,390,288,681,6,0,5,407,297,700,0,0,0,65,31,101,0,0,0,65,31,101,0,0,0,0,9,12,0,0,0,0,8,14,0,0,0,6,9,14,0,0,0,6,9,15,0,0,0,44,113,153,0,0,0,45,113,152,0,3,7,38,67,103,0,0,0,38,71,113,0,0,3,177,104,272,4,0
LGA50840,35,22,53,1926,2074,3996,176,142,319,2132,2237,4367,16,11,23,1136,1091,2224,14,3,16,1157,1105,2261,0,0,3,51,33,83,0,0,5,52,33,89,16,11,30,1186,1122,2309,12,0,13,1215,1137,2351,11,11,22,712,922,1637,11,6,14,735,941,1675,0,0,4,20,27,48,158,134,290,182,159,341,5.9,18.2,10.7,4.5,2.8,3.7,9.1,25,13.3,4.5,3.1,3.8,54.8,47.8,51.9,61.6,54.2,57.8,6.2,2.8,4.7,56.9,50.9,53.8,51.6,39.1,46.3,58.9,52.7,55.6,5.6,2.1,4.1,54.3,49.3,51.8,0,0,0,104,215,320,0,0,0,109,215,320,16,3,20,1010,866,1883,14,3,16,1037,875,1914,0,0,0,132,116,250,0,0,0,132,119,252,0,0,0,52,42,87,0,0,0,50,42,93,0,0,0,22,66,83,0,0,0,22,66,83,0,0,0,170,297,470,0,0,0,172,296,472,0,4,6,143,274,413,0,0,0,143,273,417,10,6,19,627,334,960,0,0
LGA50910,29,39,64,324,313,634,38,31,68,392,383,770,10,11,21,201,167,370,3,6,8,212,179,395,9,0,8,5,7,16,0,0,0,16,8,21,9,10,24,213,171,383,5,6,9,229,191,416,10,24,30,115,137,253,0,0,5,126,159,287,3,3,7,0,0,3,35,31,59,45,30,70,41.7,15.4,28,2.9,4.7,3.7,25,0,11.1,5.3,5.3,5.3,44.4,36.1,39.7,64.1,55.2,59.7,10.5,15.2,12.7,57.5,49.9,53.8,25.9,30.6,28.6,62.3,52.6,57.5,7.9,15.2,11.3,54.5,47.2,50.9,3,5,6,15,34,50,0,0,0,17,40,58,3,3,12,182,124,312,3,0,4,194,137,326,0,0,0,25,10,30,0,0,0,25,14,33,0,0,0,3,4,11,0,0,0,3,4,11,0,0,0,4,12,13,0,0,0,4,12,13,0,0,0,18,39,57,0,0,0,18,41,52,0,0,0,16,22,37,0,0,0,16,27,42,0,5,3,73,46,119,0,0
LGA50980,1543,1717,3259,3866,4221,8089,795,822,1616,6206,6766,12969,603,648,1247,3111,3489,6596,29,17,45,3739,4149,7893,150,115,270,71,60,131,5,3,6,224,179,401,753,767,1517,3181,3549,6724,29,20,49,3963,4326,8291,670,847,1520,619,630,1254,10,15,23,1300,1492,2797,120,106,226,64,41,109,753,788,1542,935,942,1882,20,15.5,17.7,2.2,1.7,1.9,6.9,10.5,8.3,5.6,4.1,4.8,48.8,44.4,46.5,82.3,84,83.2,3.7,2.3,3,63.9,64,63.9,39.1,37.5,38.3,80.5,82.6,81.6,3.4,2.1,2.7,60.3,61.3,60.9,103,198,301,542,974,1518,0,3,4,647,1174,1825,477,427,903,2514,2469,4980,21,15,32,3012,2905,5919,17,0,20,182,155,334,0,0,0,195,160,353,0,21,23,147,292,435,0,0,0,151,313,459,11,24,37,84,227,312,0,0,4,92,253,346,25,95,124,586,1110,1692,3,0,3,609,1204,1818,45,95,138,397,556,952,0,0,3,437,650,1087,285,191,479,1226,514,1740,9,3
LGA51080,43,49,86,343,313,656,35,40,76,419,403,816,9,11,12,258,194,455,0,0,3,269,202,466,3,10,14,10,3,12,0,0,0,9,10,22,15,18,27,268,199,466,0,0,3,277,214,496,28,20,46,76,109,182,0,0,0,103,134,232,0,8,15,0,5,4,34,42,71,39,54,93,33.3,46.7,40.7,3.4,2,2.8,0,0,0,4.7,5.1,4.9,30,31.9,31,77,63.6,70.6,2.9,2.5,2.7,66.3,53.8,60.2,20,17,18.4,74.4,62.3,68.6,2.9,2.5,2.7,63.2,51,57.3,0,0,5,14,55,69,0,0,0,18,58,74,9,9,10,238,139,378,0,0,3,247,145,391,0,0,0,38,16,49,0,0,0,38,16,49,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,8,5,0,0,0,0,8,5,0,0,0,21,62,87,0,0,0,23,65,84,0,0,0,18,33,50,0,0,0,18,31,52,5,5,8,80,41,115,0,0
LGA51120,15,11,25,334,311,646,70,60,124,413,388,798,10,4,14,217,177,394,3,0,3,233,179,411,0,3,3,9,3,12,0,0,0,9,8,16,10,5,15,229,183,412,3,0,3,241,190,431,3,0,6,97,133,226,0,0,0,103,136,238,0,0,4,9,3,7,66,60,127,73,61,137,0,42.9,21.4,4.3,2.8,3.6,0,0,0,4.1,4.3,4.2,53.8,63.6,58.3,69.2,57.5,63.5,4.4,0,2.3,58.1,48.7,53.6,53.8,36.4,45.8,66.2,55.9,61.2,4.4,0,2.3,55.7,46.6,51.3,4,0,3,19,41,62,0,0,0,23,44,70,7,7,6,199,132,333,5,0,5,204,138,345,0,0,0,31,15,43,0,0,0,31,15,43,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,16,11,0,0,0,3,16,11,0,0,0,19,37,59,0,0,0,19,37,59,0,0,0,14,31,52,0,0,0,14,35,51,0,4,4,87,38,121,0,0
LGA51190,485,501,986,12071,12917,24990,820,739,1559,13376,14159,27536,184,196,374,7273,6949,14223,21,24,41,7482,7166,14644,39,38,79,431,363,795,4,3,3,475,405,877,227,232,459,7699,7318,15016,25,23,50,7951,7569,15524,242,257,496,4230,5436,9668,34,52,90,4511,5748,10258,15,19,34,143,163,305,762,666,1422,915,844,1762,18.1,16.1,17.1,5.6,5,5.3,8.3,8.3,8.3,5.9,5.4,5.7,46.9,45.7,46.3,63.8,56.6,60.1,2.9,3.2,3.1,59.5,53.5,56.4,38.4,38.4,38.4,60.2,53.8,56.9,2.7,3,2.8,55.9,50.6,53.2,13,54,68,612,1364,1981,4,3,7,631,1420,2053,167,137,303,6583,5525,12108,18,16,35,6765,5681,12444,4,4,6,419,291,714,0,0,0,426,297,718,3,7,6,322,320,646,0,0,0,328,330,654,0,9,11,157,341,500,0,0,0,162,346,509,4,29,35,1087,1771,2864,0,9,9,1094,1811,2907,18,17,40,841,1254,2097,4,7,9,861,1278,2139,91,79,172,3589,2222,5806,17,3
LGA51260,243,239,483,14621,16077,30691,1016,832,1844,15871,17146,33019,139,124,266,9361,9257,18624,38,35,76,9546,9417,18958,17,16,35,283,269,555,0,4,5,305,291,599,161,139,300,9651,9527,19179,40,34,82,9855,9703,19558,76,100,176,4817,6370,11190,33,59,90,4927,6525,11445,9,0,14,149,178,325,937,739,1675,1098,918,2015,11.9,12.1,12,3,2.8,2.9,2.3,5.6,3.8,3.1,3,3,65.7,58.3,62,66,59.3,62.5,4.2,4.3,4.3,62.1,56.6,59.2,57.9,51.2,54.5,64.1,57.6,60.7,4.2,4.1,4.1,60.1,54.9,57.4,12,23,31,635,1270,1906,0,5,3,647,1295,1940,127,100,221,8638,7901,16535,36,35,74,8802,8027,16832,5,8,13,955,727,1682,11,4,8,972,741,1710,0,8,8,368,412,779,0,0,0,368,419,785,3,7,8,194,516,711,0,0,0,192,522,718,0,16,16,1584,2690,4276,5,4,9,1595,2711,4299,10,13,25,1319,1939,3250,4,6,14,1332,1959,3289,68,49,116,4580,2374,6959,18,18
LGA51310,46,44,93,10773,11695,22462,337,328,662,11155,12062,23216,37,20,56,7625,7278,14903,13,9,27,7677,7311,14988,0,3,4,294,285,580,0,0,3,297,292,586,38,24,66,7923,7559,15485,13,12,29,7977,7599,15571,6,20,27,2786,4034,6816,8,16,27,2805,4068,6867,0,0,0,61,99,158,312,301,611,374,401,772,5.1,8,6.3,3.7,3.8,3.7,12.5,8.3,10.7,3.7,3.8,3.8,83,55.6,69.6,73.5,64.7,68.9,4.8,3.6,4.2,71.5,63,67.1,78.7,51.1,65.2,70.8,62.2,66.4,4.2,3.3,3.8,68.8,60.6,64.6,4,5,13,944,1550,2495,0,0,0,952,1553,2504,31,20,48,6636,5687,12326,16,11,24,6684,5716,12393,5,4,9,403,456,862,0,3,0,408,459,875,3,0,5,1790,1476,3267,0,0,0,1795,1476,3271,0,4,3,380,689,1067,0,0,0,386,692,1070,12,9,14,3672,4092,7762,5,9,17,3687,4115,7801,0,8,11,903,1192,2102,4,7,5,915,1201,2114,4,5,8,1013,498,1512,0,0
LGA51330,393,448,844,37026,37751,74777,1604,1238,2836,39025,39434,78459,182,184,372,25447,22148,47595,49,32,80,25681,22361,48045,40,48,89,1503,1398,2900,7,0,6,1551,1445,2996,231,229,459,26948,23544,50492,50,31,86,27232,23805,51039,154,209,366,9659,13803,23464,49,67,119,9869,14082,23949,13,9,15,417,403,823,1495,1137,2638,1924,1547,3472,19.1,20,19.6,5.6,5.9,5.7,9.4,6.5,8.3,5.7,6.1,5.9,58.2,51.5,54.6,72.8,62.4,67.5,3.3,2.5,3,69.8,60.4,65.1,47.1,41.2,43.9,68.7,58.7,63.6,3,2.3,2.7,65.8,56.7,61.2,30,47,73,2869,4387,7260,5,5,5,2900,4437,7337,156,129,288,22176,17498,39678,42,25,67,22374,17660,40033,4,4,10,1521,908,2427,0,0,5,1534,914,2443,7,10,10,3731,3482,7213,6,0,8,3745,3490,7233,5,4,8,710,1259,1964,0,0,0,711,1259,1970,17,32,46,8402,9482,17886,11,16,29,8428,9536,17966,12,28,42,3726,3986,7712,10,16,23,3749,4020,7772,80,77,160,6277,3227,9505,24,5
LGA51400,140,171,309,6303,6858,13162,390,283,676,6833,7313,14148,82,84,168,4510,4361,8872,10,8,18,4605,4454,9068,7,11,23,154,180,339,0,0,0,166,197,361,89,100,192,4673,4549,9217,10,8,18,4774,4653,9429,47,69,113,1572,2252,3830,14,14,29,1635,2337,3970,0,4,5,54,62,115,363,258,622,423,325,750,9.8,13.1,11.5,3.4,4,3.7,0,0,0,3.5,4.2,3.9,66.2,58.2,61.8,74.1,66.3,70,2.8,3.2,3,69.9,63.6,66.6,59.7,50.6,54.7,71.6,63.6,67.4,2.8,3.2,3,67.4,60.9,64.1,6,26,30,408,892,1301,0,0,0,419,919,1334,75,57,136,4050,3435,7490,10,7,20,4141,3501,7637,4,3,9,278,201,477,0,0,0,288,205,486,0,0,0,168,180,351,0,3,3,168,190,358,0,0,0,76,210,288,0,0,0,76,217,286,0,9,9,637,1144,1778,0,0,0,645,1153,1793,4,14,14,526,701,1222,0,0,0,529,715,1245,37,40,75,2106,1285,3388,9,4
LGA51470,13,5,15,213,181,389,32,34,71,253,218,473,5,4,5,134,106,236,0,0,0,144,106,252,0,0,0,5,8,12,0,0,0,11,8,14,8,4,10,142,107,249,0,0,0,151,117,265,3,0,5,67,67,138,0,0,0,70,69,141,0,0,0,0,0,4,36,30,68,36,31,71,14.3,0,10,4.9,6.3,5.5,0,0,0,5.4,6.1,5.7,77.8,42.9,62.5,67.6,62,65,0,2.9,1.4,58.4,52.3,55.6,66.7,42.9,56.3,64.3,58.1,61.4,0,2.9,1.4,55.3,49.1,52.4,0,0,0,17,31,48,0,0,0,24,30,52,6,0,4,112,78,188,0,0,0,120,79,194,0,0,0,15,4,23,0,0,0,15,4,23,0,0,0,0,4,9,0,0,0,0,4,9,0,0,0,0,4,7,0,0,0,0,4,7,0,0,0,13,21,25,0,0,0,13,21,25,0,0,0,15,15,29,0,0,0,15,18,33,0,3,0,62,21,85,0,0
