CED_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
CED501,..,101,3146,6134,6057,5399,3893,2238,472,27440,..,875,2966,1798,1278,788,316,96,13,8127,..,33,177,400,507,297,135,68,34,1651,19391,..,..,..,..,..,..,..,..,19391,..,3950,..,..,..,..,..,..,..,3950,..,3811,1713,568,366,147,26,0,0,6631,..,481,430,187,160,190,145,86,36,1714,..,269,311,170,102,78,27,7,0,966,..,390,610,262,265,255,165,58,16,2025,..,341,1154,1161,1257,1379,1043,648,256,7230,258,266,244,226,175,119,92,37,11,1416,9,4,15,12,6,12,13,10,0,81,19654,10513,10760,10918,10171,8668,5859,3245,838,80627,..,223,4760,7306,6558,5312,3705,1633,235,29737,..,1368,3456,1913,1330,715,259,61,8,9114,..,257,1474,2082,1802,833,355,232,157,7189,18206,..,..,..,..,..,..,..,..,18206,..,4059,..,..,..,..,..,..,..,4059,..,2638,936,212,163,118,30,0,0,4096,..,459,234,88,158,359,370,202,116,1996
CED502,..,136,3884,8567,5930,4799,4169,2072,441,30006,..,648,2305,1459,1016,614,281,74,18,6415,..,22,140,369,447,327,158,78,33,1578,19890,..,..,..,..,..,..,..,..,19890,..,4196,..,..,..,..,..,..,..,4196,..,3583,2243,788,442,148,21,0,0,7235,..,697,670,295,218,247,204,91,39,2460,..,333,492,279,170,79,50,16,0,1425,..,473,911,451,393,327,186,73,9,2817,..,258,1078,1244,1303,1341,1066,597,223,7112,257,241,259,186,184,132,90,36,15,1393,9,13,21,15,14,21,43,14,0,148,20155,10609,12008,13659,10110,8044,6263,3047,778,84675,..,364,6109,9060,5790,4712,3630,1431,189,31285,..,1027,2568,1481,989,570,210,44,4,6901,..,267,1311,1851,1666,977,523,272,158,7024,18764,..,..,..,..,..,..,..,..,18764,..,4434,..,..,..,..,..,..,..,4434,..,2479,1250,317,223,121,29,4,0,4419,..,539,397,151,218,486,532,261,121,2704
CED503,..,95,2167,4324,4962,5564,5700,3624,771,27212,..,618,1972,1374,1142,922,546,181,34,6788,..,25,113,308,416,271,130,69,48,1380,14590,..,..,..,..,..,..,..,..,14590,..,2925,..,..,..,..,..,..,..,2925,..,3109,1296,540,341,146,22,0,0,5454,..,374,242,135,109,131,147,64,53,1255,..,210,219,105,86,64,30,11,3,733,..,198,341,168,209,224,206,72,20,1430,..,202,704,716,943,1219,1451,929,386,6550,209,240,217,172,161,143,104,60,8,1309,9,5,7,14,11,16,11,3,0,66,14805,8001,7277,7859,8397,8682,8341,5018,1326,69697,..,188,3384,5344,5616,5962,5565,2703,391,29156,..,932,2434,1530,1241,883,439,139,20,7620,..,197,1083,1457,1412,672,320,214,143,5496,14117,..,..,..,..,..,..,..,..,14117,..,3398,..,..,..,..,..,..,..,3398,..,2134,733,208,141,134,34,7,0,3384,..,334,124,59,128,295,324,224,125,1625
CED504,..,116,3470,6394,5908,6118,5314,2922,699,30934,..,470,2312,1512,918,619,327,107,10,6271,..,12,109,307,517,397,209,111,56,1712,16002,..,..,..,..,..,..,..,..,16002,..,4399,..,..,..,..,..,..,..,4399,..,3539,2708,987,612,258,39,3,0,8143,..,676,663,279,260,267,177,127,58,2510,..,327,480,227,132,91,43,19,6,1323,..,595,1227,522,371,314,183,64,16,3285,..,240,1191,1247,1334,1499,1300,758,288,7847,236,219,302,248,189,144,104,45,13,1498,8,7,7,8,4,21,15,6,0,82,16250,10604,12462,11733,10245,9724,7706,4153,1135,84016,..,307,5033,7173,6153,5994,4764,2032,286,31747,..,765,2657,1420,877,563,230,84,9,6613,..,171,963,1635,1976,1200,639,429,244,7262,14998,..,..,..,..,..,..,..,..,14998,..,4597,..,..,..,..,..,..,..,4597,..,2553,1621,444,272,190,44,3,0,5129,..,539,379,145,195,469,530,322,207,2780
CED505,..,44,2189,6436,7153,5788,4798,3049,887,30341,..,339,2694,1555,942,784,409,169,40,6926,..,6,33,184,380,294,114,43,31,1082,14539,..,..,..,..,..,..,..,..,14539,..,5451,..,..,..,..,..,..,..,5451,..,1858,1209,349,242,123,22,0,0,3803,..,320,288,78,62,63,77,46,38,970,..,144,265,65,20,19,12,7,0,536,..,805,1610,347,155,139,124,66,16,3262,..,384,1356,1191,1130,1236,1280,784,371,7727,145,215,245,151,133,118,85,61,19,1170,12,18,30,17,32,28,22,16,9,182,14702,9589,9909,10368,10248,8587,6938,4239,1401,75985,..,84,3248,7467,7436,5613,4428,2380,456,31116,..,587,3103,1461,947,663,332,87,12,7198,..,27,227,952,1610,837,290,198,192,4334,13700,..,..,..,..,..,..,..,..,13700,..,5345,..,..,..,..,..,..,..,5345,..,1275,857,171,142,115,35,0,0,2586,..,368,225,67,65,168,233,187,116,1439
CED506,..,140,2579,5340,5364,5402,4336,2061,384,25616,..,917,3189,2238,1714,1332,587,150,20,10157,..,36,167,383,487,314,156,80,36,1658,17962,..,..,..,..,..,..,..,..,17962,..,2341,..,..,..,..,..,..,..,2341,..,3143,1182,562,322,118,22,0,0,5348,..,820,409,264,248,256,213,98,48,2349,..,227,319,143,113,92,52,18,5,965,..,315,652,322,295,354,246,68,11,2258,..,450,1230,1202,1685,2147,1749,786,226,9476,381,399,415,362,329,421,546,204,32,3094,7,21,28,15,6,10,3,0,3,98,18356,8803,10168,10834,10552,10452,7920,3465,760,81318,..,230,3812,6169,5741,5425,3828,1461,172,26833,..,1395,3638,2309,1766,1188,428,98,15,10834,..,287,1168,1588,1336,654,357,214,97,5697,16922,..,..,..,..,..,..,..,..,16922,..,2395,..,..,..,..,..,..,..,2395,..,2070,566,226,168,93,16,0,0,3141,..,632,255,158,241,385,335,200,111,2327
CED507,..,75,1991,4692,5290,5407,5297,2820,618,26195,..,603,2001,1439,1169,971,549,137,19,6894,..,20,79,347,481,203,103,59,37,1328,14708,..,..,..,..,..,..,..,..,14708,..,2691,..,..,..,..,..,..,..,2691,..,2780,960,413,264,124,21,0,0,4564,..,324,232,108,90,118,123,45,25,1056,..,225,281,132,92,60,35,15,0,827,..,335,582,253,248,263,171,56,15,1928,..,270,756,849,1097,1274,1286,666,294,6502,232,253,245,189,163,148,133,66,15,1445,4,3,19,8,8,10,5,3,0,68,14947,7583,7144,8438,8894,8585,7717,3867,1022,68207,..,134,2982,5849,5881,5719,4893,2059,302,27833,..,906,2330,1555,1317,952,386,101,0,7561,..,161,802,1566,1467,560,277,205,128,5174,13774,..,..,..,..,..,..,..,..,13774,..,2858,..,..,..,..,..,..,..,2858,..,1812,507,190,142,111,36,0,0,2803,..,234,122,49,89,230,240,158,92,1227
CED508,..,53,2701,6463,6059,5266,4159,2220,548,27473,..,530,3056,1808,1190,838,472,118,20,8028,..,7,93,320,477,306,139,65,40,1446,14873,..,..,..,..,..,..,..,..,14873,..,3680,..,..,..,..,..,..,..,3680,..,2881,1614,547,394,166,36,0,0,5644,..,435,358,144,117,139,114,64,31,1402,..,183,306,148,90,63,34,7,0,841,..,595,1104,408,259,237,184,66,7,2854,..,290,1200,1218,1282,1374,1182,626,282,7448,170,242,271,202,153,119,107,39,10,1326,3,6,20,13,10,18,26,4,3,110,15049,8917,10730,11276,10037,8533,6439,3209,943,75134,..,118,4068,7283,6345,5210,3821,1577,237,28665,..,868,3509,1833,1252,791,330,70,8,8658,..,90,645,1416,1677,950,372,277,164,5588,14158,..,..,..,..,..,..,..,..,14158,..,4008,..,..,..,..,..,..,..,4008,..,2079,1036,255,164,116,30,0,0,3672,..,371,236,68,109,266,297,191,142,1684
CED509,..,101,3311,6788,6435,5655,4596,2561,563,30005,..,564,2425,1576,1213,842,386,116,13,7140,..,15,106,307,472,259,125,61,39,1384,17805,..,..,..,..,..,..,..,..,17805,..,4192,..,..,..,..,..,..,..,4192,..,3716,1717,581,341,129,29,0,0,6521,..,467,464,187,154,187,156,87,38,1743,..,240,306,133,104,50,53,21,4,905,..,261,510,282,222,244,147,39,13,1715,..,216,948,898,971,1123,936,572,225,5893,223,247,240,223,157,117,86,55,22,1364,4,5,17,10,6,17,19,5,0,86,18033,10040,10047,10975,10078,8625,6523,3512,921,78746,..,208,5086,7585,6849,5622,4188,1838,281,31660,..,954,2809,1706,1268,765,298,78,8,7892,..,147,973,1540,1574,888,352,242,125,5837,16627,..,..,..,..,..,..,..,..,16627,..,4209,..,..,..,..,..,..,..,4209,..,2457,999,256,173,118,23,0,0,4028,..,433,261,75,155,323,426,293,145,2108
CED510,..,25,1820,6404,7661,7486,6759,2845,590,33580,..,293,1856,1354,1021,722,309,77,18,5656,..,6,39,248,471,277,116,51,36,1250,15401,..,..,..,..,..,..,..,..,15401,..,4961,..,..,..,..,..,..,..,4961,..,3458,1922,584,319,113,23,0,0,6417,..,304,220,86,82,105,94,53,42,978,..,149,211,83,55,37,18,8,0,573,..,355,569,206,142,142,108,51,13,1582,..,186,522,630,717,864,872,487,231,4504,185,198,177,151,141,78,85,22,13,1052,11,10,13,9,15,7,6,3,4,78,15595,9949,7353,9744,10622,9829,8400,3591,942,76027,..,72,2848,7565,8236,7911,5994,2020,310,34951,..,486,2230,1417,1031,659,239,48,4,6110,..,53,391,1062,1424,841,348,195,126,4439,14467,..,..,..,..,..,..,..,..,14467,..,5076,..,..,..,..,..,..,..,5076,..,2300,1140,248,141,96,32,0,0,3960,..,238,127,46,51,195,317,213,165,1354
