SOSR_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR501,457,445,1633,2572,3292,4807,8767,10913,6956,39840,87,228,1312,1851,2092,2153,1894,1547,1143,12315,4127,5503,14037,12488,10249,8722,9101,9263,7236,80727,52614,125751,286187,289618,255439,221447,176384,97847,39851,1545136
SOSR511,17,21,54,70,88,165,375,526,307,1622,5,0,30,19,28,48,32,33,24,215,168,195,518,432,451,435,421,350,298,3261,1996,3782,9070,9649,9463,8833,7065,3912,1511,55277
SOSR512,40,37,101,148,195,371,667,962,658,3172,7,13,71,72,91,69,71,60,63,524,502,516,1367,1330,1179,1262,1047,824,541,8568,3456,6340,14777,15138,15479,15218,12293,7024,2897,92608
SOSR513,25,12,49,92,130,166,280,267,116,1135,7,6,26,42,37,29,31,25,13,209,477,668,2240,2138,1945,1614,834,414,132,10468,1928,3820,12708,12751,10654,9199,6174,2466,563,60266
SOSR514,11,20,45,31,45,66,168,176,104,662,0,3,11,9,4,4,12,8,5,61,124,106,295,305,304,265,240,220,155,2013,716,1095,3163,3817,3641,3410,3197,1581,561,21180
SOSR515,56,30,101,142,210,310,621,827,405,2694,8,16,65,55,77,76,81,67,39,473,592,630,1654,1579,1588,1441,1215,814,394,9906,2563,4672,12619,12418,12658,13288,11920,5686,1895,77739
SOSR521,40,36,68,71,104,178,361,367,180,1407,5,4,15,14,17,18,25,31,18,143,185,280,866,821,898,925,732,426,140,5278,1077,1845,5009,4993,5449,6319,5428,2507,738,33364
SOSR522,34,27,62,54,79,145,214,207,80,898,7,6,7,9,23,29,32,24,14,148,110,134,321,333,351,456,468,227,78,2481,759,1279,2891,2789,2912,3640,3384,1482,369,19517
SOSR531,52,37,155,187,331,538,1084,1016,353,3754,14,21,49,96,140,124,72,92,40,655,818,1912,6158,5988,6055,4832,2555,1022,186,29533,4487,9665,25805,28670,32862,33675,23779,8657,1662,169264
SOSR579,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
