SOS_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
SOS50,53585,285,17,4,0,0,11,4134,58036,54048,2930,1053,235,26,5,8,4357,62657,46936,9450,5838,1812,454,109,39,4515,69160,32335,17711,17341,5620,1610,417,233,4052,79315,18016,15573,28156,10306,2888,846,508,3573,79867,11554,11017,27421,11760,3443,1036,709,2666,69618,9958,9858,26427,12402,3720,1158,800,2579,66901,9384,9247,25802,12301,3838,1209,839,2348,64975,8140,7749,23368,12453,4210,1160,800,2108,59999,6538,6532,21294,12735,4432,1226,679,1913,55346,5149,5476,19219,11774,4239,1113,682,1900,49557,3630,4149,17050,10639,4011,1071,618,2195,43357,2189,2353,10627,8007,3310,995,630,2119,30227,1409,1428,6147,6077,3315,1146,767,2192,22481,1393,1468,5429,5682,3772,1666,1476,3654,24539,264252,105241,235192,121814,43261,13173,8804,44298,836033
SOS51,9326,118,9,0,0,0,3,1311,10769,6905,1014,382,81,9,0,13,1186,9598,6464,2065,1687,620,177,46,18,1439,12523,4234,2525,3489,1613,530,160,67,1491,14104,2442,2065,4731,2469,826,254,164,1366,14313,1694,1605,4387,2428,988,295,216,1117,12725,1634,1520,4494,2518,971,306,240,1106,12777,1628,1572,4391,2609,1022,339,241,1156,12953,1493,1223,4154,2800,1093,352,208,1113,12439,1241,1065,4253,3059,1251,385,226,1030,12509,983,827,3880,2811,1130,326,195,930,11081,657,657,3311,2476,1063,303,160,790,9417,400,352,1907,1703,859,292,186,656,6355,217,194,951,1138,779,308,209,541,4341,186,216,728,988,819,435,366,733,4476,39504,17010,42762,27306,11532,3794,2506,15961,160377
SOS52,1188,40,6,0,5,0,0,289,1532,938,223,106,19,3,0,0,237,1532,818,315,282,124,29,14,0,263,1854,586,321,466,253,89,36,20,266,2038,341,253,539,362,167,64,44,247,2013,281,193,477,306,173,56,68,230,1789,265,217,508,290,130,75,54,224,1771,300,227,626,409,204,75,64,268,2168,307,228,675,500,222,73,80,324,2398,255,197,762,543,266,68,62,297,2457,186,169,701,552,243,83,59,303,2302,130,107,606,450,186,60,55,244,1848,84,65,304,297,152,51,34,179,1163,34,28,128,203,136,51,46,122,748,26,20,83,149,124,50,60,105,613,5736,2607,6273,4468,2122,756,656,3609,26222
SOS53,3562,23,4,0,0,0,8,595,4189,2839,181,67,17,0,0,0,689,3795,2545,488,400,125,39,6,3,835,4434,1723,697,1022,511,152,55,17,792,4961,1030,595,1559,976,314,71,50,703,5295,775,513,1720,1177,373,96,64,664,5377,836,570,2112,1233,435,129,76,764,6159,894,673,2377,1410,541,152,94,771,6913,860,643,2448,1721,666,172,90,763,7356,727,554,2393,1783,735,204,86,640,7120,504,435,2030,1604,642,173,80,590,6060,279,271,1574,1153,504,153,74,441,4457,136,149,783,701,345,97,43,290,2542,39,50,271,343,222,109,67,144,1246,30,31,150,207,148,101,70,70,820,16783,5876,18903,12961,5124,1521,818,8748,70735
SOS57,7,0,0,0,0,0,0,3,8,26,0,0,0,0,0,0,10,36,26,0,0,0,0,0,0,14,43,30,0,0,0,0,0,0,19,40,18,0,0,0,0,0,0,10,29,6,0,3,0,0,0,0,11,24,9,0,0,0,0,0,0,6,23,13,3,13,0,0,0,0,11,36,6,0,12,3,0,0,0,12,43,8,0,14,8,5,0,0,14,40,0,3,13,5,3,0,0,5,28,0,0,8,8,4,0,0,11,31,0,0,7,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,15,69,25,10,4,0,127,392
