CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED501,70029,71674,141699,33629,17990,51620,7628,19335,26964,3024,2794,5820,3043,2880,5920,47325,42995,90321,17702,25075,42780,6.4,6.7,6.6,67.6,60,63.7,63.2,56,59.6,1431,1698,3124,617,1563,2186,5092,8920,14013,5606,7707,13311,21222,12440,33666,1254,1832,3087,971,1722,2695,23447,15993,39444,70569,72961,143523,11858,12720,24584,45479,46030,91506,31223,34427,65647
CED502,69692,71717,141417,33515,17695,51213,9369,18235,27611,2434,2477,4906,3190,3126,6314,48512,41536,90047,16836,26414,43251,6.6,7.5,7,69.6,57.9,63.7,65,53.6,59.2,2822,3045,5869,716,1394,2106,7680,11038,18715,5897,7022,12921,16692,10047,26737,1118,1570,2691,877,1499,2383,18689,13116,31810,73683,74872,148557,10628,10974,21599,47428,47602,95030,30942,32562,63509
CED503,62773,66779,129549,26087,13859,39941,6955,17009,23963,2817,2415,5230,2211,2095,4307,38077,35371,73446,20371,27867,48238,5.8,5.9,5.9,60.7,53,56.7,57.1,49.8,53.4,1168,1275,2440,564,1417,1981,4259,7461,11720,4682,7127,11809,19436,10553,29990,923,1517,2434,880,1736,2611,21236,13798,35042,61832,65534,127360,10117,11241,21357,40910,42315,83227,26975,30409,57383
CED504,72324,75084,147408,32264,18683,50945,10966,19725,30692,2287,2525,4819,3023,2719,5750,48545,43656,92200,19774,27873,47644,6.2,6.2,6.2,67.1,58.1,62.5,62.9,54.5,58.6,2937,2939,5880,873,1812,2685,9507,12070,21575,6213,7370,13593,15904,8588,24494,1001,1334,2335,958,1782,2731,17857,11706,29566,73957,76002,149958,9697,9837,19528,51129,52604,103736,27708,28675,56380
CED505,68286,74980,143257,32251,20221,52468,11419,21849,33269,1859,2499,4365,1957,1830,3787,47492,46399,93886,17410,25399,42807,4.1,3.9,4,69.5,61.9,65.5,66.7,59.4,62.9,9747,8706,18452,2124,3920,6046,20478,23660,44142,5646,7469,13118,7636,4052,11686,472,645,1114,661,1440,2093,8760,6133,14896,65759,70403,136155,13293,14700,28001,40086,43409,83491,35225,38113,73338
CED506,83807,76576,160379,37639,22224,59858,7576,16595,24172,4060,3319,7384,2381,1849,4225,51651,43990,95647,19194,23212,42405,4.6,4.2,4.4,61.6,57.4,59.6,58.8,55,57,1300,1794,3096,651,1752,2406,4899,9508,14409,4639,6760,11401,23099,9979,33079,1237,2017,3250,1016,1428,2442,25356,13420,38773,71372,67536,138908,15934,16056,31994,44670,41430,86100,37028,36955,73976
CED507,62069,65428,127496,27381,14301,41686,7903,19100,27002,2890,2677,5568,1624,1507,3132,39799,37586,77387,17909,24306,42218,4.1,4,4,64.1,57.4,60.7,61.5,55.1,58.2,1351,1518,2865,723,1773,2490,5518,9555,15074,4570,6734,11301,18582,10549,29138,1020,1645,2667,869,1627,2496,20470,13826,34299,60253,63032,123283,11045,11924,22971,40004,41266,81265,27433,30095,57524
CED508,65985,70349,136332,33225,19812,53033,9144,20966,30102,2353,2692,5048,2292,2064,4356,47013,45528,92541,15270,21780,37049,4.9,4.5,4.7,71.2,64.7,67.9,67.8,61.8,64.7,4168,4502,8674,1291,2743,4030,10954,15656,26603,5864,7416,13286,15431,7772,23208,848,1166,2015,931,1492,2422,17212,10432,27643,64911,68121,133037,11351,12551,23904,41526,43419,84941,30209,33098,63306
CED509,68650,69938,138584,33605,19213,52814,8722,19702,28426,2657,2671,5326,2199,2085,4288,47188,43663,90849,17661,23281,40936,4.7,4.8,4.7,68.7,62.4,65.6,65.5,59.5,62.5,2332,2709,5043,980,1965,2951,7554,11290,18845,6080,7972,14049,18470,9973,28444,1014,1420,2435,931,1751,2678,20411,13139,33551,69820,71474,141297,10257,11118,21366,46345,47041,93389,28541,30835,59377
CED510,65320,68038,133353,32431,17243,49672,9554,21988,31542,2095,2515,4613,2103,1721,3822,46181,43480,89655,16581,22657,39242,4.6,4,4.3,70.7,63.9,67.2,67.5,61.4,64.4,3851,3351,7205,1447,2733,4182,11440,14926,26364,6818,8192,15010,16434,7298,23733,645,980,1625,903,1876,2776,17983,10154,28136,68487,70641,139129,9057,9402,18452,48861,50299,99158,24862,26094,50959
