POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6000,524,76,5,0,0,0,0,608
POA6003,150,23,0,0,0,0,0,183
POA6004,530,88,9,0,0,0,0,628
POA6005,257,36,4,0,0,0,0,297
POA6006,942,96,15,4,0,0,4,1057
POA6007,630,79,7,0,0,0,0,719
POA6008,1548,143,21,5,0,0,0,1724
POA6009,2035,167,40,11,0,0,0,2252
POA6010,2021,207,41,3,5,0,6,2284
POA6011,980,114,25,0,0,0,3,1118
POA6012,974,106,19,0,0,0,3,1104
POA6014,2759,220,46,12,0,0,3,3034
POA6015,881,98,20,7,0,0,3,1001
POA6016,1335,112,12,11,0,0,4,1474
POA6017,308,35,8,0,0,0,0,357
POA6018,4702,562,92,17,5,0,6,5392
POA6019,2200,334,57,9,5,0,5,2605
POA6020,2751,320,53,11,0,0,11,3149
POA6021,2331,221,57,14,4,0,9,2628
POA6022,554,87,24,9,0,0,4,679
POA6023,2070,260,66,10,6,0,6,2414
POA6024,1449,215,65,9,6,0,13,1757
POA6025,3626,519,109,22,5,0,10,4285
POA6026,2760,377,87,17,0,0,14,3261
POA6027,4453,810,191,30,0,4,19,5516
POA6028,3112,479,100,17,7,0,14,3735
POA6029,378,37,3,0,0,0,0,417
POA6030,4058,787,270,39,10,4,23,5193
POA6031,2224,437,146,26,9,4,15,2852
POA6032,14,3,0,0,0,0,0,24
POA6033,51,4,7,0,0,0,0,59
POA6034,397,104,39,0,0,0,0,550
POA6035,1005,288,99,11,3,0,7,1406
POA6036,1804,413,126,19,4,0,9,2377
POA6037,316,125,33,4,0,0,0,479
POA6038,1120,280,97,8,3,0,0,1518
POA6041,106,32,10,0,3,0,0,151
POA6042,0,0,0,0,0,0,0,0
POA6043,7,0,0,0,0,0,0,7
POA6044,51,21,5,0,0,0,6,88
POA6050,1495,156,25,8,0,0,0,1686
POA6051,906,110,17,3,0,0,0,1040
POA6052,1265,137,27,6,0,0,3,1441
POA6053,1599,194,36,8,0,0,9,1850
POA6054,1890,302,94,17,0,0,7,2313
POA6055,3934,609,166,66,9,0,17,4792
POA6056,3235,700,206,58,15,6,46,4256
POA6057,1524,316,102,15,5,3,9,1969
POA6058,1158,234,66,17,3,0,5,1485
POA6059,2637,239,69,24,4,0,6,2979
POA6060,2124,232,51,17,3,0,8,2430
POA6061,3638,409,121,52,7,5,23,4245
POA6062,3397,455,102,37,12,0,18,4015
POA6063,1661,200,74,34,5,4,11,1994
POA6064,3056,374,150,48,4,0,31,3654
POA6065,8668,1289,387,94,12,4,38,10489
POA6066,2046,277,95,32,9,0,9,2473
POA6067,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0
POA6069,5053,1045,340,76,19,12,29,6574
POA6070,430,74,18,3,0,0,6,533
POA6071,392,64,11,0,0,0,4,470
POA6072,75,19,3,0,4,0,0,109
POA6073,284,54,16,3,0,0,4,362
POA6074,95,30,3,3,0,0,0,133
POA6076,2341,389,96,20,9,0,14,2871
POA6077,149,21,5,6,0,0,3,180
POA6078,101,10,7,0,0,0,0,119
POA6079,0,0,0,0,0,0,0,4
POA6081,565,122,23,6,3,0,5,726
POA6082,312,95,20,0,0,0,4,445
POA6083,365,74,17,4,0,0,0,465
POA6084,833,225,82,15,7,3,8,1167
POA6090,0,0,0,0,0,0,0,0
POA6100,1227,184,22,5,0,0,7,1441
POA6101,1511,172,41,10,0,0,13,1749
POA6102,810,100,23,13,0,0,4,961
POA6103,763,92,22,8,0,0,6,889
POA6104,1177,180,46,13,4,0,0,1424
POA6105,1453,191,40,23,4,0,16,1734
POA6106,0,0,0,0,0,0,0,0
POA6107,5182,541,160,65,10,6,41,6001
POA6108,2460,355,119,34,10,4,23,2999
POA6109,1318,175,52,21,4,0,10,1578
POA6110,4845,718,224,75,14,4,36,5908
POA6111,2038,414,123,16,12,3,30,2634
POA6112,7973,1287,420,110,20,9,47,9865
POA6121,372,67,15,7,0,0,0,461
POA6122,2420,538,207,37,11,0,21,3241
POA6123,207,52,24,0,0,0,0,284
POA6124,111,27,5,4,0,0,0,150
POA6125,305,75,21,9,0,0,0,414
POA6126,14,9,3,0,0,0,0,23
POA6147,1565,175,52,23,0,0,15,1833
POA6148,2377,213,42,21,0,4,7,2667
POA6149,2431,268,45,18,0,0,3,2770
POA6150,1559,160,34,17,4,0,5,1775
POA6151,1567,173,29,4,4,0,5,1774
POA6152,2360,288,44,13,0,0,7,2717
POA6153,2495,280,45,15,5,0,3,2836
POA6154,1242,135,39,11,0,0,6,1431
